aertaishan 阿尔泰山
nengyuankexue 能源科学
nengyuanweiji 能源危机
nengyuanxiaohao 能源消耗
nengyuanxuqiu 能源需求
niandaijiuyuan 年代久远
niandubaogao 年度报告
nianlingjieduan 年龄阶段
nianlingjiegou 年龄结构
nianqingfufu 年轻夫妇
nianqingganbu 年轻干部
nianqingyidai 年轻一代
nianshaoqisheng 年少气盛
niaoleixuejia 鸟类学家
niaoquanshuzhi 脲醛树脂
niaoyuhuaxiang 鸟语花香
niezaoshishi 捏造事实
ningjiaodianyong 凝胶电泳
ningjifanying 凝集反应
ningshenzhuanzhu 凝神专注
ningsibuqu 宁死不屈
ningxiapingyuan 宁夏平原
nishuixingzhou 逆水行舟
niujindaxue 牛津大学
niulangzhinv 牛郎织女
niuyueshibao 纽约时报
nongcundiaocha 农村调查
nongcunfunv 农村妇女
nongcunjiceng 农村基层
nongcuntudi 农村土地
nongcunweisheng 农村卫生
nongdutidu 浓度梯度
nongfuchanpin 农副产品
nonghouxingqu 浓厚兴趣
nongjiafeiliao 农家肥料
nongminjieji 农民阶级
nongminqiyi 农民起义
nongminshouru 农民收入
nongminxiehui 农民协会
nongminyinhang 农民银行
nongminzhanzheng 农民战争
nongmozhongcai 浓墨重彩
nongnuzhidu 农奴制度
nongqingshishi 弄清事实
nongtianguangai 农田灌溉
nongyangungun 浓烟滚滚
nongyebumen 农业部门
nongyechanye 农业产业
nongyedaikuan 农业贷款
nongyegongren 农业工人
nongyejixie 农业机械
nongyekeyan 农业科研
nongyequhua 农业区划
nongyetouru 农业投入
nongyeyongdi 农业用地
nuanshiqiliu 暖湿气流
nulichuangzao 努力创造
nulifendou 努力奋斗
nulishehui 奴隶社会
nulishixian 努力实现
nulitigao 努力提高
nulixuexi 努力学习
nulizhengqu 努力争取
nulizhidu 奴隶制度
nulizuodao 努力做到
nuoyonggongkuan 挪用公款
nuqichongtian 怒气冲天
nvquanyundong 女权运动
nvshengduchang 女声独唱
nvwabutian 女娲补天
oumeigeguo 欧美各国
oumeiguojia 欧美国家
oumudianzu 欧姆电阻
oumudinglv 欧姆定律
ouxiangchongbai 偶像崇拜
ouyadalu 欧亚大陆
ouzhougeguo 欧洲各国
ouzhoulianmeng 欧洲联盟
ouzhouyihui 欧洲议会
paichengdianying 拍成电影
paichengyilie 排成一列
paichuguzhang 排除故障
paichujigou 派出机构
paihuaibuqian 徘徊不前
pailiezuhe 排列组合
paimaigonggao 拍卖公告
paiqiubisai 排球比赛
paishejiaodu 拍摄角度
paishuiguandao 排水管道
paishuixitong 排水系统
paiwaizhuyi 排外主义
paixieqiguan 排泄器官
paiyoujienan 排忧解难
pakupalei 怕苦怕累
panchusixing 判处死刑
panduannengli 判断能力
panduanshifei 判断是非
panluanfenzi 叛乱分子
paobingbudui 炮兵部队
paobingzhendi 炮兵阵地
paomosuliao 泡沫塑料
pasikaer 帕斯卡尔
paxingdongwu 爬行动物
peichangsunshi 赔偿损失
peihemoqi 配合默契
peiheqilai 配合起来
peilidaoqian 赔礼道歉
peitaocuoshi 配套措施
peitaogaige 配套改革
peiyangjiaoyu 培养教育
peiyangrencai 培养人才
peizhiwenjian 配置文件
pengbofazhan 蓬勃发展
pengbokaizhan 蓬勃开展
pengboshengji 蓬勃生机
pengchengwanli 鹏程万里
pengdaowenti 碰到问题
penghuliedao 澎湖列岛
penghuqundao 澎湖群岛
pengpengbobo 蓬蓬勃勃
pengzhangxishu 膨胀系数
pengzhuangjiance 碰撞检测
pianmianzhuiqiu 片面追求
pianpianqiwu 翩翩起舞
pianquqiancai 骗取钱财
piaolaipiaoqu 飘来飘去
pibeibukan 疲惫不堪
pidaichuandong 皮带传动
pifashichang 批发市场
pifuyouze 匹夫有责
pijuanbukan 疲倦不堪
pilaoqiangdu 疲劳强度
piliangshengchan 批量生产
pinbojingshen 拼搏精神
pindegaoshang 品德高尚
pindejiaoyu 品德教育
pinfubujun 贫富不均
pinfuchaju 贫富差距
pinfuxuanshu 贫富悬殊
pinganwushi 平安无事
pingbanboli 平板玻璃
pingbandianshi 平板电视
pingbanyinshua 平版印刷
pingdengdairen 平等待人
pingdenghuli 平等互利
pingdengjingzheng 平等竞争
pingfanggongli 平方公里
pingfanglimi 平方厘米
pingfangqianmi 平方千米
pingfanzhaoxue 平反昭雪
pingfenbiaozhun 评分标准
pingguogongsi 苹果公司
pinghengchangshu 平衡常数
pinghengtiaojian 平衡条件
pinghengweizhi 平衡位置
pingjingxialai 平静下来
pingjinzhanyi 平津战役
pingjunfenpei 平均分配
pingjungonglv 平均功率
pingjungongzi 平均工资
pingjunhaiba 平均海拔
pingjunqiwen 平均气温
pingjunshouming 平均寿命
pingjunshouru 平均收入
pingjunshuiping 平均水平
pingjunsudu 平均速度
pingjunwendu 平均温度
pingjunzhibiao 平均指标
pingjunzhuyi 平均主义
pingmianbuzhi 平面布置
pingmianjihe 平面几何
pingmianquxian 平面曲线
pingmiansheji 平面设计
pingmianzuobiao 平面坐标
pingminbaixing 平民百姓
pingmuxianshi 屏幕显示
pingpangqiudui 乒乓球队
pingpangqiupai 乒乓球拍
pingpangqiutai 乒乓球台
pingpangwaijiao 乒乓外交
pingpingchangchang 平平常常
pingpingdandan 平平淡淡
pingshawuyin 平沙无垠
pingshuixiangfeng 萍水相逢
pingtoubaixing 平头百姓
pingxingtouying 平行投影
pingxuanhuodong 评选活动
pingyijinren 平易近人
pingyuandidai 平原地带
pingzhengtudi 平整土地
pinjianbuyi 贫贱不移
pinkundiqu 贫困地区
pinkunjiating 贫困家庭
pinkunluohou 贫困落后
pinkunrenkou 贫困人口
pinkunshanqu 贫困山区
pinkunxuesheng 贫困学生
pinleifanduo 品类繁多
pinpaixingxiang 品牌形象
pinqiongluohou 贫穷落后
pinxiecuowu 拼写错误
pinyinshuru 拼音输入
pinyinwenzi 拼音文字
pinyinzimu 拼音字母
pinzhiyinshu 品质因数
pinzhongfanduo 品种繁多
pipingzhizheng 批评指正
pixiazhifang 皮下脂肪
pixiazhushe 皮下注射
pizhundaibu 批准逮捕
pizhunwenhao 批准文号
pochumixin 破除迷信
pohuaifenzi 破坏分子
pohuaihuodong 破坏活动
pojuguimo 颇具规模
pojujiangxin 颇具匠心
pokoudama 破口大骂
polangqianjin 破浪前进
pomoshanshui 泼墨山水
poqiexiwang 迫切希望
poqiexuyao 迫切需要
poqieyaoqiu 迫切要求
poshouhuanying 颇受欢迎
potudonggong 破土动工
pubiancunzai 普遍存在
pubianguilv 普遍规律
pubianrenwei 普遍认为
pubianxianxiang 普遍现象
pubianyiyi 普遍意义
pubianzhenli 普遍真理
pudongxinqu 浦东新区
pufajiaoyu 普法教育
pufuqianjin 匍匐前进
pujijiaoyu 普及教育
pumianerlai 扑面而来
pushiwuhua 朴实无华
pushuomili 扑朔迷离
putaoqiujun 葡萄球菌
putongbaixing 普通百姓
putonggaozhong 普通高中
putonggongren 普通工人
putongjiaoyu 普通教育
putongjiating 普通家庭
putongnongmin 普通农民
putongwaike 普通外科
putongyonghu 普通用户
putongyoupiao 普通邮票
putongyuangong 普通员工
puzhaodadi 普照大地
qianchengwanli 前程万里
qiandaoqundao 千岛群岛
qiandinghetong 签订合同
qiandingqiyue 签订契约
qiandingxieyi 签订协议
qianduanshijian 前段时间
qianfenzhiyi 千分之一
qiangguofumin 强国富民
qiangguozhilu 强国之路
qianghuashipin 强化食品
qianghuaxunlian 强化训练
qiangjingyouli 强劲有力
qiangjiuwuxiao 抢救无效
qiangliebuman 强烈不满
qiangliefankang 强烈反抗
qiangliefanxiang 强烈反响
qiangliejianyi 强烈建议
qiangliekangyi 强烈抗议
qianglieyaoqiu 强烈要求
qianglieyuwang 强烈欲望
qiangquanzhengzhi 强权政治
qiangshengshiqi 强盛时期
qiangubuxiu 千古不朽
qiangujuechang 千古绝唱
qianguxingwang 千古兴亡
qiangxianjiuzai 抢险救灾
qiangxingjinru 强行进入
qiangzhanshichang 抢占市场
qiangzhicuoshi 强制措施
qiangzhidanyao 枪支弹药
qiangzhishouduan 强制手段
qiangzhizhixing 强制执行
qiangzhuangyouli 强壮有力
qianhouyizhi 前后一致
qianhouzuoyou 前后左右
qianjiawanhu 千家万户
qianjinfangxiang 前进方向
qianjinzhongdan 千斤重担
qianjunyifa 千钧一发
qianjunzhongfu 千钧重负
qianlibingfeng 千里冰封
qianlizhixing 千里之行
qianlongnianjian 乾隆年间
qianqigongzuo 前期工作
qianqiuweiye 千秋伟业
qianshanwanhe 千山万壑
qiantitiaojian 前提条件
qiantuwuliang 前途无量
qiantuyuanda 前途远大
qianwanqianwan 千万千万
qianwaxiaoshi 千瓦小时
qianxianyidong 浅显易懂
qianxinyanjiu 潜心研究
qianxujinshen 谦虚谨慎
qianyanjishu 前沿技术
qianyanzhendi 前沿阵地
qianzainanfeng 千载难逢
qianzaiyonghu 潜在用户
qianziyishi 签字仪式
qiaolianggongcheng 桥梁工程
qiaoluodagu 敲锣打鼓
qiaoranliqu 悄然离去
qiaoranxingqi 悄然兴起
qiaozhuangdaban 乔装打扮
qiaqiaxiangfan 恰恰相反
qichechangjia 汽车厂家
qichechanliang 汽车产量
qichechanye 汽车产业
qichelingjian 汽车零件
qicheluntai 汽车轮胎
qichemaoyi 汽车贸易
qichepeijian 汽车配件
qicheweiqi 汽车尾气
qidongyuanjian 气动元件
qidubufan 气度不凡
qieheshiji 切合实际
qieshenganshou 切身感受
qieshenliyi 切身利益
qieshentihui 切身体会
qieshijiaqiang 切实加强
qieshikexing 切实可行
qieshiyouli 切实有力
qieshiyouxiao 切实有效
qieshizengqiang 切实增强
qieshizuohao 切实做好
qiexiaoxingneng 切削性能
qiezhongyaohai 切中要害
qifengguaishi 奇峰怪石
qiguanyizhi 器官移植
qihoubianhua 气候变化
qihoutiaojie 气候调节
qihouxitong 气候系统
qihouyichang 气候异常
qihouyiren 气候宜人
qihouzaihai 气候灾害
qihouziyuan 气候资源
qijinweizhi 迄今为止
qijinyiyou 迄今已有
qimengjiaoyu 启蒙教育
qimengyundong 启蒙运动
qimokaoshi 期末考试
qinchaidachen 钦差大臣
qinfengongzuo 勤奋工作
qinfenhaoxue 勤奋好学
qinfennuli 勤奋努力
qinfenxuexi 勤奋学习
qingbaojiansuo 情报检索
qingbaojigou 情报机构
qingbaoxinxi 情报信息
qingbaozhongxin 情报中心
qingbaoziliao 情报资料
qingchangzhaiwu 清偿债务
qingchejiandi 清澈见底
qingchunhuoli 青春活力
qingchunnianhua 青春年华
qingchunnianshao 青春年少
qingchunouxiang 青春偶像
qingchunshaonv 青春少女
qingchunsuiyue 青春岁月
qingchunyouxian 青春有限
qingcuiyudi 青翠欲滴
qingcuiyueer 清脆悦耳
qingdaodaxue 青岛大学
qingdianhuodong 庆典活动
qingdianliyi 庆典礼仪
qingganshenghuo 情感生活
qingganshijie 情感世界
qinghuadaxue 清华大学
qinghuaziguang 清华紫光
qingjieelie 情节恶劣
qingjieweisheng 清洁卫生
qingjieyanzhong 情节严重
qingjingjiaorong 情景交融
qingjingxiju 情景喜剧
qingkesongli 请客送礼
qingkongwanli 晴空万里
qingkuangbuming 情况不明
qingkuangjinji 情况紧急
qinglianjushi 青莲居士
qinglizhizhong 情理之中
qingmeizhuma 青梅竹马
qingnianshidai 青年时代
qingnianyidai 青年一代
qingnianyundong 青年运动
qingniaoyinqin 青鸟殷勤
qingpendayu 倾盆大雨
qingqingsongsong 轻轻松松
qingshanchangzai 青山常在
qingshanlvshui 青山绿水
qingsongshengji 轻松升级
qingsongyukuai 轻松愉快
qingsongziru 轻松自如
qingtongshidai 青铜时代
qingxikejian 清晰可见
qingximingque 清晰明确
qingxingguolai 清醒过来
qingxingrenshi 清醒认识
qingxinziran 清新自然
qingxudiluo 情绪低落
qingxufanying 情绪反应
qingxuwending 情绪稳定
qingyimianmian 情意绵绵
qingzanggaoyuan 青藏高原
qingzanggonglu 青藏公路
qingzangtielu 青藏铁路
qingzhusiliao 青贮饲料
qinhuarijun 侵华日军
qinjianjianguo 勤俭建国
qinjianjieyue 勤俭节约
qinjianwushi 勤俭务实
qinlaoyonggan 勤劳勇敢
qinlaozhifu 勤劳致富
qinlvekuozhang 侵略扩张
qinlvezhanzheng 侵略战争
qinmiguanxi 亲密关系
qinmihezuo 亲密合作
qinpenghaoyou 亲朋好友
qinqiguanxi 亲戚关系
qinqinrere 亲亲热热
qinqipengyou 亲戚朋友
qinquanxingwei 侵权行为
qinshenjingli 亲身经历
qinshiturang 侵蚀土壤
qinshizuoyong 侵蚀作用
qinshuguanxi 亲属关系
qinxuekulian 勤学苦练
qinyanjiandao 亲眼见到
qinyankandao 亲眼看到
qinyankanjian 亲眼看见
qinyusikao 勤于思考
qinzicanjia 亲自参加
qinzichuma 亲自出马
qinzidongshou 亲自动手
qinziguanxi 亲子关系
qinzijianding 亲子鉴定
qiongkunliaodao 穷困潦倒
qiongzhouhaixia 琼州海峡
qiqihaer 齐齐哈尔
qiqubuping 崎岖不平
qishibufan 气势不凡
qishiburan 其实不然
qishihuihong 气势恢宏
qishiniandai 七十年代
qishipangbo 气势磅礴
qishixiongwei 气势雄伟
qishixiongxiong 气势汹汹
qitacihui 其他词汇
qitatongxue 其他同学
qitiranliao 气体燃料
qitoubingjin 齐头并进
qiuleiyundong 球类运动
qiulingdiqu 丘陵地区
qiushouqiyi 秋收起义
qiuyuechunfeng 秋月春风
qiuzhenwushi 求真务实
qixiangbumen 气象部门
qixiangguance 气象观测
qixiangtiaojian 气象条件
qixiangwanqian 气象万千
qixiangweixing 气象卫星
qixiangxuejia 气象学家
qixiangyaosu 气象要素
qixiangyubao 气象预报
qixiangzhuanjia 气象专家
qixieticao 器械体操
qixinheli 齐心合力
qiyedaobi 企业倒闭
qiyekuisun 企业亏损
qiyepochan 企业破产
qiyexingxiang 企业形象
qiyubufen 其余部分
qizhixianming 旗帜鲜明
qizhongjixie 起重机械
qizhongkaoshi 期中考试
qiziernv 妻子儿女
quanbantongxue 全班同学
quandajiaoti 拳打脚踢
quandangquanguo 全党全国
quandangquanjun 全党全军
quandangtongzhi 全党同志
quanfuwuzhuang 全副武装
quanguorenda 全国人大
quanguotongbao 全国同胞
quanguoxuelian 全国学联
quanguozhengxie 全国政协
quanhenglibi 权衡利弊
quanjuguannian 全局观念
quanjunfumo 全军覆没
quanlixiafang 权力下放
quanliyiwu 权利义务
quanlizhichi 全力支持
quanmazhilao 犬马之劳
quanmianguihua 全面规划
quanmianjinbu 全面进步
quanmianjinzhi 全面禁止
quanmianluoshi 全面落实
quanmianpukai 全面铺开
quanmianshishi 全面实施
quanmianshixian 全面实现
quanmiantigao 全面提高
quanmiantuixing 全面推行
quanmianwancheng 全面完成
quanminsuoyou 全民所有
quanpanfouding 全盘否定
quanpanjieshou 全盘接受
quanpanxihua 全盘西化
quanqiuweixing 全球卫星
quanqiuzhanlve 全球战略
quanquandaibiao 全权代表
quanquanfuze 全权负责
quanranbutong 全然不同
quanranbuzhi 全然不知
quanshengshiqi 全盛时期
quanshenguanzhu 全神贯注
quanshenshangxia 全身上下
quantichengyuan 全体成员
quantihuiyi 全体会议
quantishisheng 全体师生
quantitongren 全体同仁
quantitongxue 全体同学
quantixuesheng 全体学生
quantiyizhi 全体一致
quanweijigou 权威机构
quanweirenshi 权威人士
quanxianbengkui 全线崩溃
quanxianguantong 全线贯通
quanxiantongche 全线通车
quanxiaoshisheng 全校师生
quanxiaotongxue 全校同学
quanxiaoxuesheng 全校学生
quanzhitaitai 全职太太
qubieduidai 区别对待
qudechenggong 取得成功
qudelianxi 取得联系
qudeshengli 取得胜利
qudeshixiao 取得实效
qudongchengxu 驱动程序
qudongdianliu 驱动电流
quebaoanquan 确保安全
quefahuoli 缺乏活力
quefajiaoyang 缺乏教养
quefajingyan 缺乏经验
queqiaoxianghui 鹊桥相会
quezaozhengju 确凿证据
quniantongqi 去年同期
qunshanhuanrao 群山环绕
quntisiwei 群体思维
qunzhongdouzheng 群众斗争
qunzhongfanying 群众反映
qunzhongguandian 群众观点
qunzhongjiandu 群众监督
qunzhongliyi 群众利益
qunzhongluxian 群众路线
qunzhongmanyi 群众满意
qunzhongtiyu 群众体育
qunzhongtuanti 群众团体
qunzhongyanyuan 群众演员
qunzhongyundong 群众运动
qunzhongzuzhi 群众组织
quqijinghua 取其精华
ququwanwan 曲曲弯弯
qushuiliushang 曲水流觞
quweiangran 趣味盎然
quweiwuqiong 趣味无穷
quxiannihe 曲线拟合
quxianyundong 曲线运动
quyubaohu 区域保护
quyufenge 区域分割
quyufenxi 区域分析
quyuguihua 区域规划
quyuhezuo 区域合作
quyuhuanjing 区域环境
quyukaifa 区域开发
quyumiaoshu 区域描述
quyuwending 趋于稳定
quzheliqi 曲折离奇
quzheqianjin 曲折前进
quzhikeshu 屈指可数
quzhuchujing 驱逐出境
ranfangbianpao 燃放鞭炮
ranfangyanhua 燃放烟花
ranliaodianchi 燃料电池
ranranshengqi 冉冉升起
raoyouxingwei 饶有兴味
reaigongzuo 热爱工作
reailaodong 热爱劳动
reairenmin 热爱人民
reaishenghuo 热爱生活
reaizuguo 热爱祖国
redaidiqu 热带地区
redaifengbao 热带风暴
redaihaiyang 热带海洋
redaiyulin 热带雨林
redaizuowu 热带作物
redianhuati 热点话题
redianwenti 热点问题
rehuochaotian 热火朝天
reliebenfang 热烈奔放
relieguzhang 热烈鼓掌
reliehuanying 热烈欢迎
reliexiangying 热烈响应
reliezhuhe 热烈祝贺
remenhuati 热门话题
remindianzu 热敏电阻
renaizhixin 仁爱之心
renaofeifan 热闹非凡
rencaibeichu 人才辈出
rencailiudong 人才流动
rencaipeiyang 人才培养
rencaiziyuan 人才资源
rendadaibiao 人大代表
rendaojingshen 人道精神
rendaozhongnian 人到中年
rendaozhuyi 人道主义
rendingxingwang 人丁兴旺
rengemeili 人格魅力
rengezunyan 人格尊严
rengongchengben 人工成本
rengongganyu 人工干预
rengonghecheng 人工合成
rengonghuxi 人工呼吸
rengongjiangyu 人工降雨
rengongkongzhi 人工控制
rengongliuchan 人工流产
rengongluru 人工录入
rengongzhineng 人工智能
rengongzhipin 人工制品
renhejiekou 任何借口
renheliyou 任何理由
renheshike 任何时刻
renheshiwu 任何事物
renheyifang 任何一方
renjiantianshang 人间天上
renjiantiantang 人间天堂
renjianxianjing 人间仙境
renjianxiju 人间喜剧
renjiduihua 人机对话
renjigongcheng 人机工程
renjigoutong 人际沟通
renjiguanxi 人际关系
renjijiaohu 人机交互
renjijiaowang 人际交往
renjijiekou 人机接口
renjijiemian 人机界面
renjunshouru 人均收入
renkoubili 人口比例
renkouchoumi 人口稠密
renkougoucheng 人口构成
renkoujianshao 人口减少
renkoujishu 人口基数
renkoumidu 人口密度
renkoupucha 人口普查
renkouqianyi 人口迁移
renkoushuliang 人口数量
renkousuzhi 人口素质
renkoutongji 人口统计
renkouzhongduo 人口众多
renkouzongshu 人口总数
renleiwenming 人类文明
renleixuejia 人类学家
renlianshibie 人脸识别
renliwuli 人力物力
renliziyuan 人力资源
renlunguanxi 人伦关系
renmindaibiao 人民代表
renmindazhong 人民大众
renminfayuan 人民法院
renmingongpu 人民公仆
renmingongshe 人民公社
renminguangchang 人民广场
renminjingcha 人民警察
renminjundui 人民军队
renminmanyi 人民满意
renminribao 人民日报
renmintuanti 人民团体
renminwuzhuang 人民武装
renminzhanzheng 人民战争
renminzhengfu 人民政府
renminzhengxie 人民政协
renqifazhan 任其发展
renqingshigu 人情世故
renqiziran 任其自然
renquanxuanyan 人权宣言
renrenjiezhi 人人皆知
renrenpingdeng 人人平等
renrenyouze 人人有责
renrenzhishi 仁人志士
renshenanquan 人身安全
renshenbaoxian 人身保险
renshengdaolu 人生道路
renshengjiazhi 人生价值
renshenglvtu 人生旅途
renshengmubiao 人生目标
renshengongji 人身攻击
renshengtaidu 人生态度
renshengyiyi 人生意义
renshengzaishi 人生在世
renshengzheli 人生哲理
renshenquanli 人身权利
renshenziyou 人身自由
renshibumen 人事部门
renshibuqing 认识不清
renshishuiping 认识水平
renshiyixia 认识一下
renshizhidu 人事制度
renshouyice 人手一册
rentimoxing 人体模型
rentiqiguan 人体器官
renweishiwu 人为失误
renweiyinsu 人为因素
renwenaoyun 人文奥运
renwendili 人文地理
renwenhuanjing 人文环境
renwenhuicui 人文荟萃
renwenjingguan 人文景观
renwenjingshen 人文精神
renwenkexue 人文科学
renwenzhuyi 人文主义
renwufenxi 任务分析
renwujianju 任务艰巨
renwumiaoxie 人物描写
renwuxingge 人物性格
renwuxingxiang 人物形象
renxinhuansan 人心涣散
renyidaode 仁义道德
renyuanbianzhi 人员编制
renyuangoucheng 人员构成
renyuanshangwang 人员伤亡
renzaocaoping 人造草坪
renzaohuangyou 人造黄油
renzaonaiyou 人造奶油
renzaoweixing 人造卫星
renzaoxianwei 人造纤维
renzheleshan 仁者乐山
renzhenduidai 认真对待
renzhendushu 认真读书
renzhenfuze 认真负责
renzhengbiaozhi 认证标志
renzhenguanche 认真贯彻
renzhenluoshi 认真落实
renzhensikao 认真思考
renzhentingjiang 认真听讲
renzhenwancheng 认真完成
renzhenxizhi 认真细致
renzhenxuexi 认真学习
renzhenzhixing 认真执行
renzhenzixi 认真仔细
renzhenzuoshi 认真做事
renzhewudi 仁者无敌
renzhijiegou 认知结构
renzhikexue 认知科学
reqingbenfang 热情奔放
reqinggaozhang 热情高涨
reqinghaoke 热情好客
reqingjiedai 热情接待
reqingyangyi 热情洋溢
reqingzhoudao 热情周到
rerentaoyan 惹人讨厌
reshenyundong 热身运动
rexiandianhua 热线电话
ribenguizi 日本鬼子
ribenliaoli 日本料理
ribenshouxiang 日本首相
ribentianhuang 日本天皇
ribenzhengfu 日本政府
richangshenghuo 日常生活
richangshiwu 日常事务
richangxingwei 日常行为
richangyongpin 日常用品
richenganpai 日程安排
richuriluo 日出日落
riguangwenshi 日光温室
riqujilie 日趋激烈
riquwanshan 日趋完善
riquyanzhong 日趋严重
ririyeye 日日夜夜
rixingqianli 日行千里
riyebuting 日夜不停
riyijiaju 日益加剧
riyijianshao 日益减少
riyipinfan 日益频繁
riyituchu 日益突出
riyiwanshan 日益完善
riyiyanzhong 日益严重
riyizengzhang 日益增长
riyizhuangda 日益壮大
riyongtaoci 日用陶瓷
riyuewuguang 日月无光
riyuexingchen 日月星辰
rizhenwanshan 日臻完善
ronghuafugui 荣华富贵
rongjienengli 溶解能力
rongmashengya 戎马生涯
rongyijieshou 容易接受
rongyuchenghao 荣誉称号
rongyuzhengshu 荣誉证书
rouruanguanghua 柔软光滑
roushidongwu 肉食动物
ruanjianceshi 软件测试
ruanjianchanpin 软件产品
ruanjianchanye 软件产业
ruanjianchengxu 软件程序
ruanjiangongju 软件工具
ruanjianjiami 软件加密
ruanjianjishu 软件技术
ruanjiankaifa 软件开发
ruanjianmingcheng 软件名称
ruanjianpingtai 软件平台
ruanjiansheji 软件设计
ruanjianxitong 软件系统
ruanruowuli 软弱无力
ruanruowuneng 软弱无能
ruantidongwu 软体动物
ruchiruzui 如痴如醉
rucidengdeng 如此等等
rucieryi 如此而已
rucizheban 如此这般
ruidiankelang 瑞典克朗
ruiliwuqi 锐利武器
ruishilianbang 瑞士联邦
ruiyigaige 锐意改革
ruiyijinqu 锐意进取
rujiasixiang 儒家思想
rujiawenhua 儒家文化
ruleiguaner 如雷贯耳
rulinwaishi 儒林外史
ruoshiqunti 弱势群体
ruoyousuosi 若有所思
ruqiansuoshu 如前所述
ruqijuxing 如期举行
ruqiwancheng 如期完成
rushangsuoshu 如上所述
rusheguangxian 入射光线
rushiruhua 如诗如画
rusuanganjun 乳酸杆菌
rutusuoshi 如图所示
ruzuiruchi 如醉如痴
saerwenjiang 萨尔温江
saierweiya 塞尔维亚
saishangjiangnan 塞上江南
sandajilv 三大纪律
sandazhanyi 三大战役
sandianyixian 三点一线
sanfachuandan 散发传单
sanfenzhier 三分之二
sanfenzhiyi 三分之一
sangedaibiao 三个代表
sangshidaijin 丧失殆尽
sangshinengli 丧失能力
sanguoyanyi 三国演义
sanhuangwudi 三皇五帝
sanjiaohanshu 三角函数
sanminzhuyi 三民主义
sanquanfenli 三权分立
sanshierli 三十而立
sanshigongli 三十公里
sanshisinian 三十四年
sanshiwunian 三十五年
sanshiwuwan 三十五万
sanshiyinian 三十一年
sanweikongjian 三维空间
sanweiyiti 三位一体
sanwensuibi 散文随笔
sanxiadaba 三峡大坝
sanxiagongcheng 三峡工程
saomiaodianjing 扫描电镜
saomiaomoshi 扫描模式
secaibanlan 色彩斑斓
secaibinfen 色彩缤纷
secaixianyan 色彩鲜艳
secaiyanli 色彩艳丽
senlingongyuan 森林公园
senlinziyuan 森林资源
shaduruanjian 杀毒软件
shaguaxiangji 傻瓜相机
shahuangtongzhi 沙皇统治
shandongbandao 山东半岛
shandongbangzi 山东梆子
shandongchibang 扇动翅膀
shangbiaozhuce 商标注册
shangcengjianzhu 上层建筑
shangchangbisai 上场比赛
shangchuangshuijiao 上床睡觉
shangdangshoupian 上当受骗
shangdibaoyou 上帝保佑
shangfabuming 赏罚不明
shangfafenming 赏罚分明
shanggushidai 上古时代
shanghenleilei 伤痕累累
shangjiaoguoku 上缴国库
shangjicaozuo 上机操作
shanglandefen 上篮得分
shangliangyixia 商量一下
shangliushehui 上流社会
shangpinjiage 商品价格
shangpinjiaohuan 商品交换
shangpinjiaoyi 商品交易
shangpinjingji 商品经济
shangpinliutong 商品流通
shangpinliuzhuan 商品流转
shangpinmingcheng 商品名称
shangpinmulu 商品目录
shangpinshengchan 商品生产
shangpinxiaoshou 商品销售
shangpinxinghao 商品型号
shangpinxinxi 商品信息
shangpinzhiliang 商品质量
shangpinzhonglei 商品种类
shangpixibao 上皮细胞
shangpizuzhi 上皮组织
shangshigongsi 上市公司
shangshuqingkuang 上述情况
shangshushishi 上述事实
shangwangcanzhong 伤亡惨重
shangwangrenshu 伤亡人数
shangwangshigu 伤亡事故
shangwuhuodong 商务活动
shangwurenshi 商务人士
shangwuzhongxin 商务中心
shangxiadiandao 上下颠倒
shangxiatiaodong 上下跳动
shangxiatongxin 上下同心
shangxiayixin 上下一心
shangxiayizhi 上下一致
shangxiazuoyou 上下左右
shangxinleshi 赏心乐事
shangxinyuemu 赏心悦目
shangyebaoxian 商业保险
shangyedaode 商业道德
shangyeguanggao 商业广告
shangyehuodong 商业活动
shangyejiazhi 商业价值
shangyejigou 商业机构
shangyelirun 商业利润
shangyeliyi 商业利益
shangyemaoyi 商业贸易
shangyemimi 商业秘密
shangyemoshi 商业模式
shangyexitong 商业系统
shangyexuexiao 商业学校
shangyeyinhang 商业银行
shangyeyongtu 商业用途
shangyezhineng 商业智能
shangyezhongxin 商业中心
shangyeziben 商业资本
shanheposui 山河破碎
shanhongbaofa 山洪暴发
shanjierenyi 善解人意
shanluanqifu 山峦起伏
shannandiqu 山南地区
shanqunongye 山区农业
shanshanfaguang 闪闪发光
shanshanfaliang 闪闪发亮
shanshanshuishui 山山水水
shanshuixianglian 山水相连
shanshuobuding 闪烁不定
shanxibangzi 山西梆子
shanxidatong 山西大同
shanxitaiyuan 山西太原
shanyangfumu 赡养父母
shaoerduwu 少儿读物
shaonanshaonv 少男少女
shaonianertong 少年儿童
shaonianfating 少年法庭
shaonianshidai 少年时代
shaoshuminzu 少数民族
shaoxunfengsao 稍逊风骚
sharenfanghuo 杀人放火
sharenruma 杀人如麻
shashazuoxiang 沙沙作响
sheanrenyuan 涉案人员
shebeichenjiu 设备陈旧
shebeiqiquan 设备齐全
shechilangfei 奢侈浪费
shehuianding 社会安定
shehuibaoxian 社会保险
shehuibaozhang 社会保障
shehuibiange 社会变革
shehuibianqian 社会变迁
shehuidiceng 社会底层
shehuidongtai 社会动态
shehuifengong 社会分工
shehuifengqi 社会风气
shehuifengshang 社会风尚
shehuifuli 社会福利
