阿曼米黄	amanmihuang
棱体	lengti
冷压钢板	lengyagangban
冷岩	lengyan
冷轧带肋	lengzhadailei
棱柱形位错环	lengzhuxingweicuohuan
篱笆剪	libajian
里程碑	lichengbei
立春	lichun
励磁机端	licijiduan
李德信	lidexin
立地类型	lidileixing
锂碘电池	lidiandianchi
立冬	lidong
励端	liduan
理发剪	lifajian
立方米	lifangmi
立管卡	liguanka
励弧管	lihuguan
李景云	lijingyun
李居坤	lijukun
里卡蒂方程	likadifangcheng
李美玲	limeiling
厘米波通信	limibotongxin
力敏感器	liminganqi
立木材积	limucaiji
立木材积表	limucaijibiao
黎帕管	lipaguan
礼品	lipin
立剖面	lipoumian
沥青	liqing
沥青磁漆	liqingciqi
沥青防潮层	liqingfangchaoceng
沥青缝	liqingfeng
沥青灌浆	liqingguanjiang
李庆华	liqinghua
沥青绝缘漆	liqingjueyuanqi
沥青耐酸漆	liqingnaisuanqi
沥青撒布车	liqingsabuche
沥青撒布机	liqingsabuji
沥青砂	liqingsha
沥青碎石路面	liqingsuishilumian
沥青油毡	liqingyouzhan
立秋	liqiu
李荣光	lirongguang
利润	lirun
离散分布	lisanfenbu
离散时间系统	lisanshijianxitong
离散时域信号	lisanshiyuxinhao
离散系数	lisanxishu
离散余弦变换	lisanyuxianbianhuan
离散指令	lisanzhiling
李世峰	lishifeng
利它素	litasu
离体保存	litibaocun
立体木纹面	litimuwenmian
立体农业	litinongye
立体声	litisheng
立体声唱片	litishengchangpian
立体声电视	litishengdianshi
立体声广播	litishengguangbo
离体突变发生	lititubianfasheng
立体像对	litixiangdui
立体战争	litizhanzheng
篱天剑	litianjian
里问	liwen
利息	lixi
离析	lixi
立夏	lixia
立项论证	lixianglunzheng
立项时间	lixiangshijian
理想指数公式	lixiangzhishugongshi
离心泵	lixinbeng
离心试验	lixinshiyan
锂蓄电池	lixudianchi
李旭家	lixujia
力学试验	lixueshiyan
鲤鱼钳	liyuqian
梨园蚧	liyuanjie
李月浦	liyuepu
理正	lizheng
理正勘察	lizhengkancha
离轴全息术	lizhouquanxishu
立柱	lizhu
离子	lizi
离子斑	liziban
离子管	liziguan
离子交换柱	lizijiaohuanzhu
离子敏感器	liziminganqi
离子磨削	lizimoxue
离子声激波	lizishengjibo
离子振荡	lizizhendang
莲瓣	lianban
镰刀	liandao
连拱隧道	liangongsuidao
链轨式拖拉机	lianguishituolaji
联行行号	lianhanghanghao
联行来帐	lianhanglaizhang
联行往来	lianhangwanglai
联行往帐	lianhangwangzhang
联合基础	lianhejichu
联合梁桥	lianheliangqiao
联合全宗	lianhequanzong
连环码	lianhuanma
联机	lianji
廉江中花	lianjiangzhonghua
联结	lianjie
连接	lianjie
连接测量	lianjieceliang
联结层	lianjieceng
连接法	lianjiefa
连接件	lianjiejian
连接开关	lianjiekaiguan
连接力矩	lianjieliju
连接螺栓	lianjieluoshuan
链接码	lianjiema
连接套管	lianjietaoguan
链接综合法	lianjiezonghefa
楝科	lianke
连梁表	lianliangbiao
链码	lianma
连体	lianti
联体病毒	liantibingdu
链条	liantiao
联系四边形法	lianxisibianxingfa
连续	lianxu
连续波磁控管	lianxubocikongguan
连续波雷达	lianxuboleida
连续处理	lianxuchuli
连续堵转电流	lianxuduzhuandianliu
连续驾驶	lianxujiashi
连续浇筑	lianxujiaozhu
连续梁桥	lianxuliangqiao
连续通风	lianxutongfeng
连续现浇箱梁	lianxuxianjiaoxiangliang
连续照明	lianxuzhaoming
连续指令	lianxuzhiling
帘子杆	lianzigan
莲座期	lianzuoqi
两岸植树	lianganzhishu
梁板构造	liangbangouzao
梁板式	liangbanshi
粮仓	liangcang
梁侧	liangce
两椽袱	liangchuanfu
梁椽袱	liangchuanfu
梁春丽	liangchunli
梁底钢筋	liangdigangjin
两电极	liangdianji
梁顶	liangding
梁枋	liangfang
梁袱	liangfu
梁桂茂	liangguimao
良好级配	lianghaojipei
量化	lianghua
梁截面	liangjiemian
梁宽	liangkuan
亮丽风景线	lianglifengjingxian
梁内箍筋	liangneigujin
梁内纵筋	liangneizongjin
凉棚	liangpeng
梁平法	liangpingfa
梁墙	liangqiang
量水槽	liangshuicao
量水堰	liangshuiyan
凉台	liangtai
两相三线制	liangxiangsanxianzhi
两相四线制	liangxiangsixianzhi
两相系统	liangxiangxitong
两型五化	liangxingwuhua
粮油加工机械	liangyoujiagongjixie
量针	liangzhen
辽东丁香	liaodongdingxiang
撩壕	liaohao
廖声银	liaoshengyin
聊以欣慰	liaoyixinwei
列表码	liebiaoma
猎蝽	liechun
捩断层	lieduanceng
裂缝	liefeng
裂缝监测	liefengjiance
劣迹昭彰	liejizhaozhang
列斯纳红	liesinahong
裂隙	liexi
裂隙式喷发	liexishipenfa
裂隙水	liexishui
裂叶榆	lieyeyu
林班测量	linbanceliang
林场	linchang
林达哈雷车	lindahaleiche
林地权属	lindiquanshu
林地使用权	lindishiyongquan
林地所有权	lindisuoyouquan
林敦志	lindunzhi
林分	linfen
林分起源	linfenqiyuan
林冠下造林	linguanxiazaolin
磷光	linguang
林海	linhai
磷化底漆	linhuadiqi
临界风速	linjiefengsu
临界流速	linjieliusu
临空墙	linkongqiang
林木	linmu
林木密度	linmumidu
林木权属	linmuquanshu
林木所有者	linmusuoyouzhe
林权流转	linquanliuzhuan
林权证书核发	linquanzhengshuhefa
淋溶	linrong
淋溶侵蚀	linrongqinshi
淋失	linshi
临时访客系统	linshifangkexitong
临时供电	linshigongdian
临时界桩	linshijiezhuang
临时设施费	linshisheshifei
淋水密度	linshuimidu
淋水面积	linshuimianji
淋水填料	linshuitianliao
临塑压力	linsuyali
磷酸二氘钾	linsuanerdaojia
磷酸燃料电池	linsuanranliaodianchi
林同炎	lintongyan
檩头	lintou
淋洗	linxi
林相图	linxiangtu
临湘组	linxiangzu
林业	linye
林业部	linyebu
林业部部长	linyebubuzhang
林业产业化	linyechanyehua
林业发展	linyefazhan
林业局局长	linyejujuzhang
林业专业术语	linyezhuanyeshuyu
临战封堵	linzhanfengdu
檩中心线	linzhongxinxian
令便器	lingbianqi
零差检测	lingchajiance
灵达塑业	lingdasuye
零带隙半导体	lingdaixibandaoti
零道阈	lingdaoyu
零点	lingdian
零点型测向	lingdianxingcexiang
零故障	lingguzhang
零极点相消	lingjidianxiangxiao
零记忆信道	lingjiyixindao
零记忆信源	lingjiyixinyuan
灵巧敏感器	lingqiaominganqi
陵寝	lingqin
零缺陷	lingquexian
灵山黄	lingshanhuang
零探测概率	lingtancegailv
零位电压	lingweidianya
零温度系数点	lingwenduxishudian
零误差系统	lingwuchaxitong
凌霄	lingxiao
铃行法	lingxingfa
零星构件	lingxinggoujian
铃行试验	lingxingshiyan
零序保护	lingxubaohu
零序电流保护	lingxudianliubaohu
令游客	lingyouke
刘本伟	liubenwei
溜槽	liucao
流程	liucheng
六出花	liuchuhua
流出水头	liuchushuitou
刘传君	liuchuanjun
柳穿鱼	liuchuanyu
流导	liudao
流导法	liudaofa
流动式	liudongshi
留洞图	liudongtu
流芳镇	liufangzhen
流光室	liuguangshi
流浩河	liuhaohe
流化床干燥	liuhuachuangganzao
硫化锑视象管	liuhuatishixiangguan
刘吉全	liujiquan
刘吉顺	liujishun
六角扳手	liujiaobanshou
溜金斗拱	liujindougong
柳兰	liulan
琉璃瓦	liuliwa
流量	liuliang
流量过程线	liuliangguochengxian
流量计	liuliangji
流量计井	liuliangjijing
流量率	liulianglv
流量模数	liuliangmoshu
流率	liulv
流密码	liumima
刘丕荣	liupirong
六铺作	liupuzuo
流沙	liusha
流沙红	liushahong
刘石冈	liushigang
流塑	liusu
流苏树	liusushu
硫酸三甘肽	liusuansangantai
流体动力学	liutidonglixue
刘文涛	liuwentao
流纹岩	liuwenyan
流星余迹通信	liuxingyujitongxin
刘学锋	liuxuefeng
刘勋庭	liuxunting
流域	liuyu
流域产流面积	liuyuchanliumianji
流域产沙量	liuyuchanshaliang
流域分水线	liuyufenshuixian
流域管理	liuyuguanli
流域面积	liuyumianji
流域输沙量	liuyushushaliang
流域响应	liuyuxiangying
流域形态特征	liuyuxingtaitezheng
流坠	liuzhui
流阻	liuzu
龙凤红	longfenghong
垄岗状	longgangzhuang
垄耕	longgeng
龙骨钳	longguqian
拢规矩	longguiju
龙卷风	longjuanfeng
龙马溪组	longmaxizu
龙门式起重机	longmenshiqizhongji
龙面花	longmianhua
笼石	longshi
龙文输入平台	longwenshurupingtai
龙爪柳	longzhualiu
垄作区田	longzuoqutian
楼板	louban
楼板构造	loubangouzao
楼板伸缩缝	loubanshensuofeng
楼层	louceng
楼层面积	loucengmianji
楼层平面图	loucengpingmiantu
楼层数	loucengshu
楼层组装	loucengzuzhuang
漏电	loudian
耧斗菜	loudoucai
漏感	lougan
漏过功率	louguogonglv
漏浆	loujiang
漏警概率	loujinggailv
漏率	loulv
楼梯	louti
楼梯板	loutiban
楼梯井	loutijing
楼梯栏杆	loutilangan
楼梯坡度	loutipodu
楼梯踏步	loutitabu
楼梯厅	loutiting
漏同步	loutongbu
漏振	louzhen
漏指令	louzhiling
楼装饰改造	louzhuangshigaizao
路槽	lucao
路侧安全净区	luceanquanjingqu
路侧护栏	lucehulan
陆地水文学	ludishuiwenxue
露地栽培	ludizaipei
露点试验	ludianshiyan
鲁海娟	luhaijuan
卤化物灯	luhuawudeng
路基	luji
路基护栏	lujihulan
路基宽度	lujikuandu
路基设计标高	lujishejibiaogao
路基设计高程	lujishejigaocheng
路肩宽度	lujiankuandu
鹿角柏	lujiaobai
陆金龙	lujinlong
路径	lujing
陆克喜	lukexi
路况	lukuang
路况调查	lukuangdiaocha
路面	lumian
路面板唧泥	lumianbanjini
路面病害	lumianbinghai
路面补强	lumianbuqiang
路面沉陷	lumianchenxian
路面粗糙度	lumiancucaodu
路面冻胀	lumiandongzhang
路面翻修	lumianfanxiu
路面厚度	lumianhoudu
路面滑溜	lumianhualiu
路面结构	lumianjiegou
路面结构层	lumianjiegouceng
路面锯缝机	lumianjufengji
路面龟裂	lumianjunlie
路面坑槽	lumiankengcao
路面平整度	lumianpingzhengdu
路面切缝机	lumianqiefengji
路面清缝机	lumianqingfengji
路面松散	lumiansongsan
路面弹簧	lumiantanhuang
路面填缝机	lumiantianfengji
路面网裂	lumianwanglie
露明管道	lumingguandao
露明金属结构	lumingjinshujiegou
路牌	lupai
路容	lurong
鲁善海	lushanhai
卤素电池	lusudianchi
卤素计数器	lusujishuqi
卤素检漏仪	lusujianlouyi
芦苇	luwei
陆围湖泊	luweihupo
路线控制点	luxiankongzhidian
路线水准测量	luxianshuizhunceliang
路线小结	luxianxiaojie
路沿石	luyanshi
录音机	luyinji
录制	luzhi
卵寄生物	luanjishengwu
乱砍盗伐	luankandaofa
乱神	luanshen
乱石	luanshi
卵石	luanshi
栾枝梅	luanzhimei
轮锋菊	lunfengju
轮回亲本	lunhuiqinben
轮廓草图	lunkuocaotu
轮廓尺寸	lunkuochicun
轮胎	luntai
轮胎扳手	luntaibanshou
轮休地	lunxiudi
轮压	lunya
落潮	luochao
罗茨真空泵	luocizhenkongbeng
落地价	luodijia
落地线	luodixian
裸电线	luodianxian
螺钉	luoding
螺杆	luogan
螺杆启闭机	luoganqibiji
螺杆式	luoganshi
螺杆式启闭机	luoganshiqibiji
螺杆式闸阀	luoganshizhafa
裸规	luogui
落洪期	luohongqi
落荚	luojia
落蕾	luolei
珞玛棕	luomazong
螺帽	luomao
萝藦科	luomoke
螺母	luomu
洛石	luoshi
螺栓杆	luoshuangan
螺栓固定	luoshuanguding
螺丝	luosi
螺丝固定	luosiguding
螺纹	luowen
落下灰	luoxiahui
裸线	luoxian
落新妇	luoxinfu
螺旋	luoxuan
螺旋电位器	luoxuandianweiqi
螺旋箍	luoxuangu
螺旋箍筋	luoxuangujin
螺旋口	luoxuankou
螺旋肋钢丝	luoxuanleigangsi
螺旋慢波线	luoxuanmanboxian
螺旋输送机	luoxuanshusongji
螺旋轴	luoxuanzhou
裸燕麦	luoyanmai
落叶果树	luoyeguoshu
落羽松	luoyusong
铝板材	lvbancai
铝板网	lvbanwang
绿板岩	lvbanyan
铝包电缆	lvbaodianlan
铝并沟线夹	lvbinggouxianjia
滤池冲洗水量	lvchichongxishuiliang
滤池配水系统	lvchipeishuixitong
履带拖拉机	lvdaituolaji
氯丁	lvding
吕发展	lvfazhan
铝合金框	lvhejinkuang
铝合金龙骨	lvhejinlonggu
铝合金纱扇	lvhejinshashan
铝合金网扇	lvhejinwangshan
铝合金消防箱	lvhejinxiaofangxiang
铝合金型材	lvhejinxingcai
绿化成绩	lvhuachengji
绿化带宽度	lvhuadaikuandu
绿化区域	lvhuaquyu
绿化沙地	lvhuashadi
绿化先进单位	lvhuaxianjindanwei
绿化用水	lvhuayongshui
绿化运动	lvhuayundong
绿化祖国	lvhuazuguo
铝及铝锭	lvjilvding
吕佳思	lvjiasi
铝接续管	lvjiexuguan
绿金钻	lvjinzuan
铝空气电池	lvkongqidianchi
铝框	lvkuang
铝框复合木	lvkuangfuhemu
绿篱修剪机	lvlixiujianji
氯离子含量	lvlizihanliang
滤料	lvliao
绿梅	lvmei
铝镍钴永磁体	lvnieguyongciti
绿皮番瓜	lvpifangua
率失真函数	lvshizhenhanshu
率失真理论	lvshizhenlilun
滤速	lvsu
铝塑板安装	lvsubananzhuang
铝塑管铜配件	lvsuguantongpeijian
铝塑料	lvsuliao
铝酸钇激光器	lvsuanyijiguangqi
滤体	lvti
驴蹄草	lvticao
铝芯	lvxin
铝芯橡皮线	lvxinxiangpixian
绿星钻	lvxingzuan
吕燕	lvyan
旅游壶	lvyouhu
旅游帐篷	lvyouzhangpeng
绿玉石	lvyushi
铝桌	lvzhuo
马鞭草科	mabiancaoke
马道	madao
马兜铃科	madoulingke
马恩列斯	maenliesi
码分多址	mafenduozhi
码分复用	mafenfuyong
马蜂橙	mafengcheng
麻箍	magu
麻黄科	mahuangke
码间干扰	majianganrao
马兰戈尼数	malangenishu
麻类作物	maleizuowu
马利筋	malijin
麻楝	malian
马铃薯挖掘机	malingshuwajueji
马络葵	maluokui
玛瑙石榴	manaoshiliu
马尼拉草皮	manilacaopi
马赛红	masaihong
马赛克	masaike
码生成器	mashengchengqi
码树	mashu
马蹄	mati
马蹄纹天竺葵	matiwentianzhukui
马蹄形螺栓	matixingluoshuan
马蹄脂	matizhi
马桶	matong
马牙槎	mayacha
马眼树	mayanshu
马眼树瘤	mayanshuliu
麻叶绣线菊	mayexiuxianju
蚂蚁危机	mayiweiji
马缨杜鹃	mayingdujuan
码元同步	mayuantongbu
蚂蚱腿子	mazhatuizi
马占相思	mazhanxiangsi
码字同步	mazitongbu
码组	mazu
脉搏描记术	maibomiaojishu
脉冲澄清池	maichongchengqingchi
脉冲充电	maichongchongdian
脉冲串	maichongchuan
脉冲磁控管	maichongcikongguan
脉冲电解	maichongdianjie
脉冲电容器	maichongdianrongqi
脉冲激光器	maichongjiguangqi
脉冲尖峰	maichongjianfeng
脉冲雷达	maichongleida
脉冲试验	maichongshiyan
脉冲压缩雷达	maichongyasuoleida
脉动场磁控管	maidongchangcikongguan
麦杆菊	maiganju
麦格利	maigeli
麦格利木	maigelimu
麦格利贴面板	maigelitiemianban
埋件	maijian
买空卖空	maikongmaikong
脉码调制遥测	maimatiaozhiyaoce
埋入长度	mairuchangdu
埋入式	mairushi
麦仙翁	maixianweng
脉相系统	maixiangxitong
脉压接收机	maiyajieshouji
埋置式桥台	maizhishiqiaotai
慢波比	manbobi
慢波结构	manbojiegou
慢波线	manboxian
蔓长春花	manchangchunhua
慢栱	mangong
漫灌	manguan
漫射灯	manshedeng
满水桥	manshuiqiao
慢速车道	mansuchedao
慢性辐照	manxingfuzhao
慢性伤害	manxingshanghai
芒果	mangguo
盲均衡	mangjunheng
盲速	mangsu
盲相	mangxiang
茅菜	maocai
毛刺槐	maocihuai
猫道	maodao
铆钉	maoding
锚碇	maoding
锚定板挡土墙	maodingbandangtuqiang
锚碇板式桥台	maodingbanshiqiaotai
毛丁香	maodingxiang
毛洞	maodong
锚杆	maogan
锚杆式挡土墙	maoganshidangtuqiang
锚固	maogu
锚固安装	maoguanzhuang
锚固长度	maoguchangdu
锚固螺栓	maoguluoshuan
毛管传导度	maoguanchuandaodu
毛管上限	maoguanshangxian
毛管势	maoguanshi
毛管水	maoguanshui
毛果巴豆	maoguobadou
毛果苦木	maoguokumu
毛果绣线菊	maoguoxiuxianju
毛黄栌	maohuanglu
毛接骨木	maojiegumu
锚筋	maojin
茅口组	maokouzu
锚块	maokuai
毛乱石	maoluanshi
毛毛雨	maomaoyu
茅莓悬钩子	maomeixuangouzi
毛泡桐	maopaotong
锚喷	maopen
毛坯	maopi
毛片儿	maopianer
毛渠	maoqu
锚入	maoru
毛蕊花	maoruihua
锚室	maoshi
帽石	maoshi
毛石	maoshi
毛刷	maoshua
锚栓	maoshuan
毛坦岗	maotangang
毛坦港	maotangang
锚头	maotou
猫尾木	maoweimu
猫眼草	maoyancao
猫眼贴面板	maoyantiemianban
贸易市场	maoyishichang
贸易协定	maoyixieding
毛樱桃	maoyingtao
铆足力气	maozuliqi
酶电极	meidianji
镁橄榄石瓷	meiganlanshici
酶工程	meigongcheng
玫瑰白麻	meiguibaima
玫瑰黄	meiguihuang
玫瑰米黄	meiguimihuang
美后	meihou
煤核	meihu
梅花草	meihuacao
梅花绿	meihualv
镁及镁锭	meijimeiding
霉菌试验	meijunshiyan
美利坚白麻	meilijianbaima
美利坚红	meilijianhong
眉脸	meilian
酶敏感器	meiminganqi
美女樱	meinvying
美容器具	meirongqiju
美蕊花	meiruihua
美术水磨石	meishushuimoshi
梅雨	meiyu
每增	meizeng
门窗材	menchuangcai
门窗五金	menchuangwujin
门窗一览表	menchuangyilanbiao
门磁报警	mencibaojing
门洞	mendong
门夹窗	menjiachuang
门禁控制器	menjinkongzhiqi
门控积分器	menkongjifenqi
门框	menkuang
门框墙	menkuangqiang
门楣	menmei
门碰	menpeng
门式刚架	menshigangjia
门厅	menting
门厅前踏步	mentingqiantabu
蒙古气旋	mengguqixuan
梦幻白	menghuanbai
梦幻金	menghuanjin
梦幻兰	menghuanlan
梦幻钻绿	menghuanzuanlv
猛火炉	menghuolu
梦已远	mengyiyuan
米白窿石	mibailongshi
迷彩石	micaishi
密度制约因子	miduzhiyueyinzi
密封	mifeng
密封灌浆	mifengguanjiang
密封性试验	mifengxingshiyan
猕猴桃	mihoutao
猕猴桃科	mihoutaoke
米黄石	mihuangshi
米黄玉	mihuangyu
密集多路通信	mijiduolutongxin
米勒区	milequ
密码	mima
迷你瘦身车	minishoushenche
靡然	miran
密生作物	mishengzuowu
密实度	mishidu
泌水	mishui
密斯黄	misihuang
蜜桃红	mitaohong
密钥分级结构	miyaofenjijiegou
面版	mianban
面板堆石坝	mianbanduishiba
面泵浦	mianbengpu
面层材料	miancengcailiao
缅甸绿	miandianlv
免费入口	mianfeirukou
面粉	mianfen
面粉处理	mianfenchuli
免耕	miangeng
免狗	miangou
免火再煮锅	mianhuozaizhuguo
面积高程曲线	mianjigaochengquxian
面筋	mianjin
面垒探测器	mianleitanceqi
面力	mianli
面理	mianli
面蚀	mianshi
面石膏板	mianshigaoban
面涂	miantu
棉叶蝉	mianyechan
免疫	mianyi
免疫敏感器	mianyiminganqi
面罩	mianzhao
面阵	mianzhen
面值	mianzhi
面砖胶	mianzhuanjiao
描述函数	miaoshuhanshu
描图	miaotu
瞄准干扰	miaozhunganrao
灭火设备	miehuoshebei
灭火系统	miehuoxitong
民办科技	minbankeji
敏感元	minganyuan
敏感作物	minganzuowu
民用爆炸物品	minyongbaozhawupin
民用航空安全	minyonghangkonganquan
民用剪	minyongjian
明袱	mingfu
明杆式闸阀	mingganshizhafa
明管	mingguan
明楼梯	minglouti
明设	mingshe
明挖法	mingwafa
明线	mingxian
明线布线	mingxianbuxian
明装搬把开关	mingzhuangbanbakaiguan
名状插销	mingzhuangchaxiao
明装荧光灯	mingzhuangyingguangdeng
明装荧光灯带	mingzhuangyingguangdengdai
明装照明设备	mingzhuangzhaomingshebei
磨刀棒	modaobang
耱地	modi
抹底层灰	modicenghui
抹滴水线	modishuixian
末端	moduan
末端互投	moduanhutou
末端设备	moduanshebei
莫尔模型	moermoxing
魔法之战	mofazhizhan
蘑菇石	mogushi
模糊度	mohudu
模糊函数	mohuhanshu
模糊图	mohutu
模糊信息	mohuxinxi
抹灰饼	mohuibing
抹灰顶棚	mohuidingpeng
抹灰工	mohuigong
抹灰厚度	mohuihoudu
模间色散	mojiansesan
抹角	mojiao
磨具磨料	mojumoliao
墨卡托投影	mokatuotouying
磨块	mokuai
莫来石瓷	molaishici
茉莉花	molihua
模量比	moliangbi
墨绿麻	molvma
抹面	momian
模内色散	moneisesan
抹泥刀	monidao
模拟交换	monijiaohuan
模拟试验	monishiyan
模拟通信	monitongxin
模拟仪器	moniyiqi
莫氏榄仁	moshilanren
模式噪声	moshizaosheng
磨损	mosun
模体积	motiji
摩托车轮胎	motuocheluntai
墨线图	moxiantu
模转换干扰	mozhuanhuanganrao
模板	moban|muban
模板材	mubancai|mobancai
木板墙	mubanqiang
木板条吊顶	mubantiaodiaoding
母本	muben
目标捕获	mubiaobuhuo
目标电磁特征	mubiaodiancitezheng
目标起伏	mubiaoqifu
目标区	mubiaoqu
目标容量	mubiaorongliang
目标散射矩阵	mubiaosanshejuzhen
目标闪烁	mubiaoshanshuo
目标识别	mubiaoshibie
目标噪声	mubiaozaosheng
目标照射雷达	mubiaozhaosheleida
木材	mucai
木材工业	mucaigongye
木材林	mucailin
木材消耗	mucaixiaohao
木材资源	mucaiziyuan
牧草减少	mucaojianshao
牡丹	mudan
木挡土板	mudangtuban
木隔断	mugeduan
木搁栅楼板	mugezhalouban
木工刨	mugongbao
木工刨刀	mugongbaodao
木工锉	mugongcuo
木工斧	mugongfu
木工工具	mugonggongju
木工弹簧夹	mugongtanhuangjia
木工压紧器	mugongyajinqi
木工园锯机	mugongyuanjuji
木构件	mugoujian
木构造	mugouzao
木荷	muhe
目黑	muhei
木桁架	muhengjia
木护墙	muhuqiang
木基层	mujiceng
木架砖墙房屋	mujiazhuanqiangfangwu
木结构体系	mujiegoutixi
母菊	muju
模具制造	mujuzhizao
牡蛎珍珠	mulizhenzhu
木龙骨楼板	mulonggulouban
木楼板	mulouban
母螺纹	muluowen
木门框	mumenkuang
目前唉	muqianai
幕墙	muqiang
幕墙胶	muqiangjiao
目视飞行规则	mushifeixingguize
木踢脚板	mutijiaoban
木贴	mutie
木望板	muwangban
木纹黄	muwenhuang
木纹米黄	muwenmihuang
木纹面防火板	muwenmianfanghuoban
木纹砂岩	muwenshayan
木纹紫砂岩	muwenzishayan
木屋顶	muwuding
木樨科	muxike
木樨榄	muxilan
母线保护	muxianbaohu
母线管道	muxianguandao
母线连接	muxianlianjie
墓穴	muxue
木油桐	muyoutong
木制脚手架	muzhijiaoshoujia
钠灯光	nadengguang
钠光	naguang
娜娟红	najuanhong
纳米交联	namijiaolian
拿破仑金	napolunjin
纳税	nashui
耐旱作物	naihanzuowu
耐火材料	naihuocailiao
耐火吊顶	naihuodiaoding
耐火顶棚	naihuodingpeng
耐火混凝土	naihuohunningtu
耐火结构	naihuojiegou
耐火楼梯	naihuolouti
耐火时限	naihuoshixian
耐火试验	naihuoshiyan
耐火塑料	naihuosuliao
耐火填料	naihuotianliao
耐火涂料	naihuotuliao
耐火植草砖	naihuozhicaozhuan
耐久寿命	naijiushouming
耐久系数	naijiuxishu
耐久性试验	naijiuxingshiyan
奈奎斯特判据	naikuisitepanju
奈奎斯特速率	naikuisitesulv
奈奎斯特图	naikuisitetu
耐热玻璃	naireboli
耐热蔬菜	naireshucai
耐湿期	naishiqi
耐水胶粘剂	naishuijiaozhanji
耐水腻子	naishuinizi
耐水粘合剂	naishuinianheji
耐酸缸瓦器	naisuangangwaqi
耐酸面板	naisuanmianban
耐酸水泥砂浆	naisuanshuinishajiang
耐酸陶瓷	naisuantaoci
耐酸陶瓷制品	naisuantaocizhipin
耐盐作物	naiyanzuowu
奶油金麻	naiyoujinma
奶油砂石	naiyoushashi
耐张	naizhang
耐张段	naizhangduan
耐渍性	naizixing
南非半边莲	nanfeibanbianlian
南桂	nangui
南津关组	nanjinguanzu
南美梨	nanmeili
南泉镇	nanquanzhen
难燃材料	nanrancailiao
南山茶	nanshancha
南山青	nanshanqing
南天竺	nantianzhu
南阳楹	nanyangying
脑磁描记术	naocimiaojishu
脑电描记术	naodianmiaojishu
脑功能仪	naogongnengyi
内标准化	neibiaozhunhua
内存注册机	neicunzhuceji
内额	neie
内海水面波动	neihaishuimianbodong
内接	neijie
内力	neili
内力重分布	neilizhongfenbu|neilichongfenbu
内力重分配	neilizhongfenpei|neilichongfenpei
内六角扳手	neiliujiaobanshou
内陆湖	neiluhu
内摩擦角	neimocajiao
内排水	neipaishui
内排水系统	neipaishuixitong
内气体探测器	neiqititanceqi
内墙	neiqiang
内墙釉面砖	neiqiangyoumianzhuan
内墙专用腻子	neiqiangzhuanyongnizi
内外勾结	neiwaigoujie
内外呼应	neiwaihuying
内烟道	neiyandao
内营力	neiyingli
内运	neiyun
内装修工程	neizhuangxiugongcheng
能不能访问	nengbunengfangwen
能动断层	nengdongduanceng
能工作时间	nenggongzuoshijian
能量刻度	nengliangkedu
能流物流分析	nengliuwuliufenxi
能使该问题	nengshigaiwenti
能源材料费	nengyuancailiaofei
泥饼产率	nibingchanlv
拟布设	nibushe
逆冲断层	nichongduanceng
泥刀	nidao
泥道栱	nidaogong
逆断层	niduanceng
匿伏	nifu
泥夹层	nijiaceng
泥浆	nijiang
泥晶灰岩	nijinghuiyan
逆流继电器	niliujidianqi
逆流式冷却塔	niliushilengqueta
逆流再生	niliuzaisheng
尼龙帽	nilongmao
尼罗红	niluohong
逆滤波器	nilvboqi
泥沙采样器	nishacaiyangqi
泥沙输移比	nishashuyibi
泥石流	nishiliu
逆式塔康	nishitakang
铌酸钡钠	nisuanbeina
铌酸钡锶	nisuanbeisi
铌酸盐系陶瓷	nisuanyanxitaoci
铌钽酸钾	nitansuanjia
泥炭沼	nitanzhao
泥炭质土	nitanzhitu
逆信道	nixindao
逆增益干扰	nizengyiganrao
泥沼地	nizhaodi
逆止阀	nizhifa
泥质粉砂结构	nizhifenshajiegou
腻子	nizi
年报	nianbao
年报中	nianbaozhong
辇道	niandao
年俸	nianfeng
粘附概率	nianfugailv
年间	nianjian
粘结处理	nianjiechuli
粘结磁体	nianjieciti
年金	nianjin
年景预报	nianjingyubao
粘聚力	nianjuli
捻口	niankou
年轮	nianlun
粘土	niantu
粘土脊瓦	niantujiwa
粘土心墙	niantuxinqiang
碾压	nianya
碾压混凝土	nianyahunningtu
粘质粉土	zhanzhifentu|nianzhifentu
粘滞流	nianzhiliu
粘质砂土	nianzhishatu|zhanzhishatu
粘质土	zhanzhitu|nianzhitu
鸟巢蕨	niaochaojue
鸟桕	niaojiu
鸟瞰透视图	niaokantoushitu
茑萝	niaoluo
镍铬	niege
镍铬合金	niegehejin
啮合力	nieheli
凝结水箱	ningjieshuixiang
凝聚沉淀	ningjuchendian
柠檬	ningmeng
扭波导	niubodao
牛轭湖	niuehu
扭面	niumian
牛奶喝	niunaihe
牛皮显	niupixian
扭坡	niupo
扭曲	niuqu
扭曲向列模式	niuquxiangliemoshi
牛头刨床	niutoubaochuang
农场	nongchang
农历	nongli
农渠	nongqu
浓缩倍数	nongsuobeishu
农用分流计	nongyongfenliuji
农用机械	nongyongjixie
农用品	nongyongpin
农用五金	nongyongwujin
农用智能仪表	nongyongzhinengyibiao
奴隶主义	nulizhuyi
暖流	nuanliu
暖棚栽培	nuanpengzaipei
暖气管沟	nuanqiguangou
暖气管盘	nuanqiguanpan
暖气设备	nuanqishebei
暖气总管	nuanqizongguan
挪城	nuocheng
