吖啶橙	adingcheng
硫酰氯	liuxianlv
硫辛酸	liuxinsuan
硫氧化物	liuyanghuawu
硫唑嘌呤	liuzuopiaoling
卤代烃	ludaiting
卤化	luhua
卤化反应	luhuafanying
卤化碳	luhuatan
炉气分离器	luqifenliqi
炉气洗涤塔	luqixidita
卤酸盐	lusuanyan
路易斯酸	luyisisuan
卤族元素	luzuyuansu
罗丹明	luodanming
络合滴定	luohediding
络合反应	luohefanying
络合物	luohewu
滤氨	lvan
氯铵包装	lvanbaozhuang
氯胺酮	lvantong
滤氨液泵	lvanyebeng
滤氨液桶	lvanyetong
氯苯	lvben
氯苯氧乙酸	lvbenyangyisuan
氯丙二醇	lvbingerchun
氯丙咪嗪	lvbingmiqin
氯丙烯	lvbingxi
氯铂酸	lvbosuan
氯铂酸铵	lvbosuanan
氯铂酸钾	lvbosuanjia
氯代十八烷	lvdaishibawan
氯丁二烯	lvdingerxi
氯丁胶	lvdingjiao
氯丁酰氯	lvdingxianlv
滤毒罐	lvduguan
氯二甲苯酚	lverjiabenfen
氯仿	lvfang
氯根	lvgen
滤光片	lvguangpian
氯化铵	lvhuaan
氯化氨基汞	lvhuaanjigong
氯化铵离心机	lvhuaanlixinji
氯化铵皮带	lvhuaanpidai
氯化钯	lvhuaba
氯化钡	lvhuabei
氯化苯	lvhuaben
氯化铋	lvhuabi
氯化铂	lvhuabo
氯化胆碱	lvhuadanjian
氯化钙	lvhuagai
氯化高汞	lvhuagaogong
氯化铬	lvhuage
氯化汞	lvhuagong
氯化钴	lvhuagu
氯化钾	lvhuajia
氯化镓	lvhuajia
氯化金	lvhuajin
氯化金钾	lvhuajinjia
氯化聚丙烯	lvhuajubingxi
氯化苦	lvhuaku
氯化镧	lvhualan
氯化锂	lvhuali
氯化铝	lvhualv
氯化镁	lvhuamei
氯化锰	lvhuameng
氯化钠	lvhuana
氯化镍	lvhuanie
氯化铍	lvhuapi
氯化铅	lvhuaqian
氯化氢	lvhuaqing
氯化氰	lvhuaqing
氯化溶菌酶	lvhuarongjunmei
氯化铯	lvhuase
氯化铈	lvhuashi
氯化石蜡	lvhuashila
氯化锶	lvhuasi
氯化铊	lvhuata
氯化铁	lvhuatie
氯化铜	lvhuatong
氯化筒箭毒碱	lvhuatongjiandujian
氯化物	lvhuawu
氯化锡	lvhuaxi
氯化硒	lvhuaxi
氯化锌	lvhuaxin
氯化锌铵	lvhuaxinan
氯化溴	lvhuaxiu
氯化血红素	lvhuaxuehongsu
氯化亚砜	lvhuayafeng
氯化亚汞	lvhuayagong
氯化亚铊	lvhuayata
氯化亚铁	lvhuayatie
氯化亚铜	lvhuayatong
氯化亚锡	lvhuayaxi
氯化银	lvhuayin
氯化锗	lvhuazhe
氯磺酸	lvhuangsuan
氯甲酸甲酯	lvjiasuanjiazhi
氯甲烷	lvjiawan
滤碱机	lvjianji
氯间甲酚	lvjianjiafen
氯金酸	lvjinsuan
氯金酸钾	lvjinsuanjia
氯离子	lvlizi
铝镁合金	lvmeihejin
氯嘌呤	lvpiaoling
氯氢处理	lvqingchuli
铝热反应	lvrefanying
铝热剂	lvreji
氯噻酮	lvsaitong
绿色化学	lvsehuaxue
氯酸铵	lvsuanan
氯酸钡	lvsuanbei
氯酸钾	lvsuanjia
氯酸镁	lvsuanmei
氯酸钠	lvsuanna
氯酸盐	lvsuanyan
铝土矿	lvtukuang
氯烟酸	lvyansuan
滤液桶	lvyetong
氯乙醇	lvyichun
氯乙腈	lvyijing
氯乙酸	lvyisuan
氯乙酸甲酯	lvyisuanjiazhi
氯乙酸乙酯	lvyisuanyizhi
氯乙烷	lvyiwan
氯乙烯	lvyixi
氯乙酰胺	lvyixianan
马来酸	malaisuan
马来酸酐	malaisuangan
吗啉	malin
马林斯效应	malinsixiaoying
马尿酸	maniaosuan
马钱子碱	maqianzijian
马日夫盐	marifuyan
脉冲电流	maichongdianliu
脉冲宽度	maichongkuandu
麦角胺	maijiaoan
麦角酸	maijiaosuan
麦克劳德真空规	maikelaodezhenkonggui
麦芽糖	maiyatang
麦芽糖醇	maiyatangchun
莽草酸	mangcaosuan
毛地黄毒苷	maodihuangdugan
茂金属	maojinshu
镁带	meidai
美芬妥英	meifentuoying
镁合金	meihejin
煤焦油	meijiaoyou
镁块	meikuai
镁粒	meili
镁锰合金	meimenghejin
没食子酸	meishizisuan
煤锁	meisuo
美索巴莫	meisuobamo
蒙特卡罗法	mengtekaluofa
嘧啶	miding
醚化剂	mihuaji
咪喹莫特	mikuimote
米吐尔	mituer
咪唑	mizuo
免疫电泳	mianyidianyong
明矾	mingfan
膜分离器	mofenliqi
膜回收	mohuishou
母粉	mufen
钼酸铵	musuanan
钼酸钡	musuanbei
钼酸钙	musuangai
钼酸钠	musuanna
钼酸铅	musuanqian
钼酸盐	musuanyan
木酮糖	mutongtang
母液	muye
母液泵	muyebeng
母液澄清桶	muyedengqingtong
母液换热器	muyehuanreqi
母液回收泵	muyehuishoubeng
母液回收桶	muyehuishoutong
母液一泵	muyeyibeng
木质素磺酸钙	muzhisuhuangsuangai
那可汀	naketing
萘酚绿	naifenlv
萘磺酸	naihuangsuan
萘甲酸	naijiasuan
萘醌	naikun
萘乙酸	naiyisuan
萘酯	naizhi
内啡肽	neifeitai
内旋转	neixuanzhuan
能量衡算	nenglianghengsuan
逆流泵	niliubeng
尼纳尔	ninaer
逆渗透	nishentou
粘度	niandu
粘合剂	nianheji
粘胶纤维	nianjiaoxianwei
尿苷	niaogan
尿黑酸	niaoheisuan
脲甲醛树脂	niaojiaquanshuzhi
尿嘧啶	niaomiding
尿囊素	niaonangsu
脲醛树脂	niaoquanshuzhi
脲醛塑料	niaoquansuliao
尿酸酶	niaosuanmei
镍丝	niesi
凝集素	ningjisu
柠檬酸	ningmengsuan
柠檬酸铵	ningmengsuanan
柠檬酸钙	ningmengsuangai
柠檬酸钾	ningmengsuanjia
柠檬酸钠	ningmengsuanna
柠檬酸三甲酯	ningmengsuansanjiazhi
柠檬酸三钠	ningmengsuansanna
柠檬酸铁	ningmengsuantie
柠檬酸铁铵	ningmengsuantiean
牛华盐厂	niuhuayanchang
牛华镇	niuhuazhen
扭力天平	niulitianping
浓度敏感型检测器	nongduminganxingjianceqi
浓硫酸	nongliusuan
浓溶液	nongrongye
浓水	nongshui
偶氮苯	oudanben
偶氮二异丁腈	oudaneryidingjing
哌啶	paiding
排污沟	paiwugou
排污罐	paiwuguan
排污冷却器	paiwulengqueqi
排液	paiye
判别分析	panbiefenxi
盘车器	pancheqi
旁路阀	panglufa
配合物	peihewu
培美曲塞二钠	peimeiqusaierna
配气站	peiqizhan
配体	peiti
配位化合物	peiweihuahewu
配位化学	peiweihuaxue
配位聚合	peiweijuhe
配位体	peiweiti
配制溶液	peizhirongye
喷釉	penyou
硼化物	penghuawu
硼氢化钾	pengqinghuajia
硼氢化钠	pengqinghuana
硼酸	pengsuan
硼酸钙	pengsuangai
硼酸镁	pengsuanmei
硼酸锰	pengsuanmeng
硼酸铅	pengsuanqian
硼酸三异丙酯	pengsuansanyibingzhi
硼酸锌	pengsuanxin
硼酸盐	pengsuanyan
偏苯三甲酸三辛酯	pianbensanjiasuansanxinzhi
偏二氯乙烯	pianerlvyixi
偏钒酸铵	pianfansuanan
偏钒酸钾	pianfansuanjia
偏钒酸钠	pianfansuanna
偏硅酸钠	pianguisuanna
偏酒石酸	pianjiushisuan
偏磷酸	pianlinsuan
偏磷酸钡	pianlinsuanbei
偏磷酸钾	pianlinsuanjia
偏磷酸铝	pianlinsuanlv
偏磷酸镁	pianlinsuanmei
偏磷酸盐	pianlinsuanyan
偏铝酸	pianlvsuan
偏摩尔量	pianmoerliang
偏硼酸钡	pianpengsuanbei
偏硼酸钙	pianpengsuangai
偏硼酸钾	pianpengsuanjia
偏硼酸锂	pianpengsuanli
偏硼酸钠	pianpengsuanna
偏钛酸	piantaisuan
贫液	pinye
贫液泵	pinyebeng
贫液再生度	pinyezaishengdu
屏蔽泵	pingbibeng
平底烧瓶	pingdishaoping
苹果酸	pingguosuan
平均相对偏差	pingjunxiangduipiancha
破泡剂	popaoji
葡甲胺	pujiaan
葡聚糖	pujutang
葡聚糖酶	pujutangmei
普鲁士蓝	pulushilan
普瑞巴林	puruibalin
葡糖胺	putangan
葡糖苷酶	putangganmei
葡糖醛酸	putangquansuan
葡萄糖	putaotang
葡萄糖口服	putaotangkoufu
葡萄糖酸钠	putaotangsuanna
葡萄糖酸内酯	putaotangsuanneizhi
葡萄糖酸亚铁	putaotangsuanyatie
葡辛胺	puxinan
汽包液位	qibaoyewei
气闭阀	qibifa
气动阀	qidongfa
七氟烷	qifuwan
气关阀	qiguanfa
气化炉	qihualu
歧化终止	qihuazhongzhi
气开阀	qikaifa
齐留通	qiliutong
汽轮机油	qilunjiyou
气密性	qimixing
启普发生器	qipufashengqi
气溶胶	qirongjiao
气提塔	qitita
七叶皂苷钠	qiyezaoganna
铅箔	qianbo
嵌段共聚物	qianduangongjuwu
嵌段聚合	qianduanjuhe
浅铬黄	qiangehuang
前后截止阀	qianhoujiezhifa
前截阀	qianjiefa
铅蓄电池	qianxudianchi
羟氨苄青霉素	qianganbianqingmeisu
强电解质	qiangdianjiezhi
羟化物	qianghuawu
羟基苯甲醛	qiangjibenjiaquan
羟基喹啉	qiangjikuilin
羟基磷灰石	qiangjilinhuishi
羟基酸	qiangjisuan
羟基乙酸	qiangjiyisuan
羟甲基淀粉钠	qiangjiajidianfenna
羟甲基烟酰胺	qiangjiajiyanxianan
羟甲香豆素	qiangjiaxiangdousu
强力碘	qianglidian
羟醛缩合	qiangquansuohe
强酸性	qiangsuanxing
强氧化剂	qiangyanghuaji
羟乙基	qiangyiji
羟乙基纤维素	qiangyijixianweisu
鞘磷脂	qiaolinzhi
切变结构	qiebianjiegou
切片石蜡	qiepianshila
亲电试剂	qindianshiji
亲核反应	qinhefanying
亲核试剂	qinheshiji
亲和素	qinhesu
氰胺	qingan
氰氨化钙	qinganhuagai
氢氮	qingdan
氢氮比	qingdanbi
氢氮分析	qingdanfenxi
氢氮分析仪	qingdanfenxiyi
氢氮机	qingdanji
氢氮压缩机	qingdanyasuoji
氢碘酸	qingdiansuan
氢二段	qingerduan
氢氟酸	qingfusuan
氢化钙	qinghuagai
氢化钾	qinghuajia
氰化钾	qinghuajia
氢化锂	qinghuali
氢化铝锂	qinghualvli
氢化钠	qinghuana
氰化钠	qinghuana
氰化氢	qinghuaqing
氢化物	qinghuawu
氰化物	qinghuawu
氰化锌	qinghuaxin
氰化亚金钾	qinghuayajinjia
氰化亚铜	qinghuayatong
氰化银	qinghuayin
氰化银钾	qinghuayinjia
轻灰	qinghui
轻灰煅烧炉	qinghuiduanshaolu
轻灰料仓	qinghuiliaocang
轻灰炉气洗涤塔	qinghuiluqixidita
轻灰螺旋输送机	qinghuiluoxuanshusongji
轻灰埋刮板输送机	qinghuimaiguabanshusongji
轻灰提升机	qinghuitishengji
氰基吡啶	qingjibiding
氰基吡嗪	qingjibiqin
氢硫酸	qingliusuan
氰尿酸	qingniaosuan
氢硼化钠	qingpenghuana
氢氰酸	qingqingsuan
氢三段	qingsanduan
氢四段	qingsiduan
氰酸钾	qingsuanjia
氰酸钠	qingsuanna
倾析	qingxi
清洗氨母液二泵	qingxianmuyeerbeng
清洗剂	qingxiji
氢溴酸	qingxiusuan
氢循机	qingxunji
氢氧化铵	qingyanghuaan
氢氧化钡	qingyanghuabei
氢氧化钙	qingyanghuagai
氢氧化锆	qingyanghuagao
氢氧化铬	qingyanghuage
氢氧化镉	qingyanghuage
氢氧化钴	qingyanghuagu
氢氧化铪	qingyanghuaha
氢氧化钾	qingyanghuajia
氢氧化镓	qingyanghuajia
氢氧化镧	qingyanghualan
氢氧化锂	qingyanghuali
氢氧化铝	qingyanghualv
氢氧化镁	qingyanghuamei
氢氧化钼	qingyanghuamu
氢氧化钠	qingyanghuana
氢氧化镍	qingyanghuanie
氢氧化铍	qingyanghuapi
氢氧化铅	qingyanghuaqian
氢氧化铷	qingyanghuaru
氢氧化铯	qingyanghuase
氢氧化铈	qingyanghuashi
氢氧化锶	qingyanghuasi
氢氧化铊	qingyanghuata
氢氧化铁	qingyanghuatie
氢氧化铜	qingyanghuatong
氢氧化钍	qingyanghuatu
氢氧化物	qingyanghuawu
氢氧化锌	qingyanghuaxin
氢氧化亚铁	qingyanghuayatie
氢一段	qingyiduan
轻质碱	qingzhijian
轻质碳酸钙	qingzhitansuangai
轻质氧化镁	qingzhiyanghuamei
巯基嘌呤	qiujipiaoling
巯基乙醇	qiujiyichun
球磨机	qiumoji
球形冷凝管	qiuxinglengningguan
祛臭液	quchouye
取代反应	qudaifanying
屈服应力	qufuyingli
曲颈甑	qujingzeng
曲酸	qusuan
曲线拟合	quxiannihe
全氟丙烯	quanfubingxi
醛固酮	quangutong
醛缩酶	quansuomei
醛脱氢酶	quantuoqingmei
燃料电池	ranliaodianchi
燃料气缓冲罐	ranliaoqihuanchongguan
燃料天然气	ranliaotianranqi
燃烧热	ranshaore
热爆炸	rebaozha
热导检测器	redaojianceqi
热导式分析仪	redaoshifenxiyi
热滴定法	redidingfa
热分解	refenjie
热化学	rehuaxue
热降解	rejiangjie
热力学第二定律	relixuedierdinglv
热力学第三定律	relixuedisandinglv
热力学平衡	relixuepingheng
热量计	reliangji
热容	rerong
热重法	rezhongfa
壬二酸	renersuan
壬基酚	renjifen
人参皂苷	renshenzaogan
壬酸乙酯	rensuanyizhi
壬烷	renwan
人血清白蛋白	renxueqingbaidanbai
日落黄	riluohuang
熔化热	ronghuare
熔剂	rongji
溶剂萃取	rongjicuiqu
溶剂效应	rongjixiaoying
溶剂油	rongjiyou
溶解度	rongjiedu
溶解度曲线	rongjieduquxian
溶解热	rongjiere
溶解性	rongjiexing
溶解氧	rongjieyang
容量瓶	rongliangping
熔融指数	rongrongzhishu
熔融状态	rongrongzhuangtai
溶液泵	rongyebeng
溶液换热器	rongyehuanreqi
鞣革	rouge
肉桂醇	rouguichun
肉桂醛	rouguiquan
肉桂油	rouguiyou
柔软剂	rouruanji
乳果糖	ruguotang
乳化硅油	ruhuaguiyou
乳化剂	ruhuaji
乳酸钙	rusuangai
乳酸甲氧苄啶	rusuanjiayangbianding
乳酸钠	rusuanna
乳酸脱氢酶	rusuantuoqingmei
乳酸亚铁	rusuanyatie
乳酸乙酯	rusuanyizhi
乳糖酸	rutangsuan
乳液增稠剂	ruyezengchouji
乳状液	ruzhuangye
乳浊液	ruzhuoye
软脂酸	ruanzhisuan
润湿剂	runshiji
弱电解质	ruodianjiezhi
弱碱性	ruojianxing
弱酸性	ruosuanxing
噻吩	saifen
赛璐珞	sailuluo
噻唑	saizuo
三苯基硅烷	sanbenjiguiwan
三苯基膦	sanbenjilin
三苯基氯甲烷	sanbenjilvjiawan
三次气阀	sanciqifa
三碘化砷	sandianhuashen
三氟化氮	sanfuhuadan
三氟化磷	sanfuhualin
三氟化氯	sanfuhualv
三氟化砷	sanfuhuashen
三氟甲苯	sanfujiaben
三氟甲磺酸	sanfujiahuangsuan
三氟甲磺酸酐	sanfujiahuangsuangan
三氟甲烷磺酸	sanfujiawanhuangsuan
三氟氯乙烯	sanfulvyixi
三氟乙酸	sanfuyisuan
伞花烃	sanhuating
三甲胺	sanjiaan
三甲基吡啶	sanjiajibiding
三甲基甲醇	sanjiajijiachun
三甲基氯硅烷	sanjiajilvguiwan
三甲氧基硅烷	sanjiayangjiguiwan
三碱式硫酸铅	sanjianshiliusuanqian
三江自控	sanjiangzikong
三角架	sanjiaojia
三角烧瓶	sanjiaoshaoping
三聚磷酸钾	sanjulinsuanjia
三聚磷酸钠	sanjulinsuanna
三聚氰胺	sanjuqingan
三聚氰酸	sanjuqingsuan
三口烧瓶	sankoushaoping
三硫化二砷	sanliuhuaershen
三硫化二锑	sanliuhuaerti
三硫化四磷	sanliuhuasilin
三氯硅烷	sanlvguiwan
三氯化铋	sanlvhuabi
三氯化氮	sanlvhuadan
三氯化钒	sanlvhuafan
三氯化金	sanlvhuajin
三氯化钌	sanlvhualiao
三氯化磷	sanlvhualin
三氯化硼	sanlvhuapeng
三氯化砷	sanlvhuashen
三氯化钛	sanlvhuatai
三氯化锑	sanlvhuati
三氯化铁	sanlvhuatie
三氯化铀	sanlvhuayou
三氯甲烷	sanlvjiawan
三氯硫磷	sanlvliulin
三氯三氟乙烷	sanlvsanfuyiwan
三氯叔丁醇	sanlvshudingchun
三氯氧磷	sanlvyanglin
三氯乙醛	sanlvyiquan
三氯乙酸	sanlvyisuan
三氯乙烷	sanlvyiwan
三氯乙烯	sanlvyixi
三氯乙酰胺	sanlvyixianan
三偏磷酸钠	sanpianlinsuanna
三嵌段共聚物	sanqianduangongjuwu
三羟基苯甲酸	sanqiangjibenjiasuan
散射矩阵	sanshejuzhen
三仙丹	sanxiandan
三相点	sanxiangdian
三硝基苯酚	sanxiaojibenfen
三硝基甲苯	sanxiaojijiaben
三效蒸发器	sanxiaozhengfaqi
三辛胺	sanxinan
三溴苯	sanxiuben
三溴苯酚	sanxiubenfen
三溴化磷	sanxiuhualin
三溴化硼	sanxiuhuapeng
三溴甲烷	sanxiujiawan
三溴氧磷	sanxiuyanglin
三氧化二铋	sanyanghuaerbi
三氧化二铬	sanyanghuaerge
三氧化二钴	sanyanghuaergu
三氧化二锰	sanyanghuaermeng
三氧化二镍	sanyanghuaernie
三氧化二砷	sanyanghuaershen
三氧化二锑	sanyanghuaerti
三氧化二铁	sanyanghuaertie
三氧化铬	sanyanghuage
三氧化硫	sanyanghualiu
三氧化钼	sanyanghuamu
三氧化钨	sanyanghuawu
三氧化铀	sanyanghuayou
三乙胺	sanyian
三乙醇胺	sanyichunan
三异丁基铝	sanyidingjilv
三乙基铝	sanyijilv
三元乙丙橡胶	sanyuanyibingxiangjiao
三唑磷	sanzuolin
扫描隧道显微镜	saomiaosuidaoxianweijing
色酚	sefen
色谱法	sepufa
色谱分析仪	sepufenxiyi
色谱图	seputu
杀菌剂	shajunji
沙利度胺	shaliduan
杀鼠灵	shashuling
闪发器	shanfaqi
山梨酸钾	shanlisuanjia
上部温度	shangbuwendu
上部液位	shangbuyewei
上段触媒层	shangduanchumeiceng
上段换热器	shangduanhuanreqi
熵流	shangliu
烧杯夹	shaobeijia
烧石膏	shaoshigao
摄谱仪	shepuyi
麝香酮	shexiangtong
砷化氢	shenhuaqing
砷化三氢	shenhuasanqing
神经氨酸酶	shenjingansuanmei
砷酸二氢钠	shensuanerqingna
砷酸钙	shensuangai
砷酸镁	shensuanmei
砷酸铅	shensuanqian
渗透系数	shentouxishu
生发剂	shengfaji
升高温度	shenggaowendu
升华硫	shenghualiu
生理盐水	shengliyanshui
生石膏	shengshigao
生物传感器	shengwuchuanganqi
生物碱	shengwujian
生物陶瓷	shengwutaoci
湿铵	shian
湿铵带式输送机	shiandaishishusongji
湿铵皮带	shianpidai
十八醇	shibachun
十八烯	shibaxi
示蛋白胨	shidanbaidong
石吊兰素	shidiaolansu
十二水磷酸氢二钠	shiershuilinsuanqingerna
十二烷酸	shierwansuan
石膏粉	shigaofen
试管夹	shiguanjia
试管架	shiguanjia
试管刷	shiguanshua
石灰氮	shihuidan
石灰石	shihuishi
石灰石仓	shihuishicang
石灰石加料器	shihuishijialiaoqi
石灰水	shihuishui
试剂	shiji
十六醇	shiliuchun
石棉网	shimianwang
石棉纤维	shimianxianwei
石墨电极	shimodianji
石脑油	shinaoyou
试亚铁灵	shiyatieling
实验方案	shiyanfangan
实验室	shiyanshi
实验仪器	shiyanyiqi
实验用品	shiyanyongpin
十一烷	shiyiwan
十一烯酸	shiyixisuan
石英坩埚	shiyingganguo
石英棉	shiyingmian
石英砂	shiyingsha
石油磺酸钠	shiyouhuangsuanna
石油醚	shiyoumi
石油树脂	shiyoushuzhi
收集装置	shoujizhuangzhi
输氨	shuan
输氨气相管	shuanqixiangguan
输氨液相管	shuanyexiangguan
舒巴坦酸	shubatansuan
叔丁醇	shudingchun
叔丁醇钾	shudingchunjia
叔丁基苯酚	shudingjibenfen
叔丁基蒽醌	shudingjienkun
鼠李糖	shulitang
熟石灰	shushihui
梳形聚合物	shuxingjuhewu
树枝状晶体	shuzhizhuangjingti
双碘喹啉	shuangdiankuilin
双酚	shuangfen
双环戊二烯	shuanghuanwuerxi
双键	shuangjian
双氰胺	shuangqingan
双戊烯	shuangwuxi
双香豆素	shuangxiangdousu
双氧	shuangyang
双氧水	shuangyangshui
双乙酸钠	shuangyisuanna
水玻璃	shuiboli
水合	shuihe
水合反应	shuihefanying
水合机	shuiheji
水合肼	shuihejing
水合离子	shuihelizi
水合氯醛	shuihelvquan
水合物	shuihewu
水解	shuijie
水解反应	shuijiefanying
水冷器	shuilengqi
水煤气	shuimeiqi
水汽车间	shuiqichejian
水溶性	shuirongxing
水苏碱	shuisujian
水苏糖	shuisutang
水杨酸	shuiyangsuan
水杨酸苯酯	shuiyangsuanbenzhi
水杨酸甲脂	shuiyangsuanjiazhi
水杨酸甲酯	shuiyangsuanjiazhi
水杨酸镁	shuiyangsuanmei
水杨酸钠	shuiyangsuanna
水杨酰胺	shuiyangxianan
水杨酰苯胺	shuiyangxianbenan
水浴	shuiyu
水蒸气	shuizhengqi
顺城包装	shunchengbaozhuang
顺丁烯二酸	shundingxiersuan
顺丁烯二酸酐	shundingxiersuangan
丝氨酸	siansuan
四川和邦集团	sichuanhebangjituan
四氮唑	sidanzuo
四碘化锆	sidianhuagao
四碘化钨	sidianhuawu
四碘化锗	sidianhuazhe
四丁基氟化铵	sidingjifuhuaan
四丁基脲	sidingjiniao
四分法	sifenfa
四氟化硅	sifuhuagui
四氟化铈	sifuhuashi
四氟化钛	sifuhuatai
四氟化碳	sifuhuatan
四氟化钍	sifuhuatu
四氟化铀	sifuhuayou
四甲苯	sijiaben
四甲基乙二胺	sijiajiyieran
四口烧瓶	sikoushaoping
饲料添加剂	siliaotianjiaji
四氯硅烷	silvguiwan
四氯化锆	silvhuagao
四氯化硅	silvhuagui
四氯化钛	silvhuatai
四氯化碳	silvhuatan
四氯化铀	silvhuayou
四氯化锗	silvhuazhe
四氯甲烷	silvjiawan
四氯乙烯	silvyixi
司盘	sipan
四硼酸钾	sipengsuanjia
四硼酸锂	sipengsuanli
四硼酸钠	sipengsuanna
四氢苯酐	siqingbengan
四氢呋喃	siqingfunan
四氢化苯	siqinghuaben
四氢喹啉	siqingkuilin
四氢噻吩	siqingsaifen
四氢叶酸	siqingyesuan
四溴甲烷	sixiujiawan
四溴双酚	sixiushuangfen
四氧化锇	siyanghuae
四氧化二氮	siyanghuaerdan
四氧化钌	siyanghualiao
四氧化三锰	siyanghuasanmeng
四氧化三铅	siyanghuasanqian
四氧化三铁	siyanghuasantie
四氧化物	siyanghuawu
四乙基铅	siyijiqian
四乙烯五胺	siyixiwuan
松节油	songjieyou
松香胶	songxiangjiao
松油醇	songyouchun
苏氨酸	suansuan
苏打粉	sudafen
苏丹黑	sudanhei
塑晶	sujing
速率控制步骤	sulvkongzhibuzhou
塑性体	suxingti
酸罐	suanguan
酸化	suanhua
酸碱滴定法	suanjiandidingfa
酸碱值	suanjianzhi
酸碱指示剂	suanjianzhishiji
酸式滴定管	suanshididingguan
酸式磷酸锰	suanshilinsuanmeng
酸洗泵	suanxibeng
酸洗桶	suanxitong
酸锌	suanxin
酸性橙	suanxingcheng
酸性黑	suanxinghei
酸性蓝黑	suanxinglanhei
酸性品红	suanxingpinhong
酸性气体	suanxingqiti
酸性枣红	suanxingzaohong
损耗模量	sunhaomoliang
锁定螺母	suodingluomu
缩二脲	suoerniao
羧基丁腈橡胶	suojidingjingxiangjiao
羧甲基纤维素	suojiajixianweisu
缩节胺	suojiean
缩聚反应	suojufanying
缩水甘油醚	suoshuiganyoumi
羧酸	suosuan
羧酸酐	suosuangan
羧酸衍生物	suosuanyanshengwu
缩酮	suotong
钛白粉	taibaifen
钛合金	taihejin
酞菁蓝	taijinglan
钛酸钡	taisuanbei
钛酸钙	taisuangai
碳分子筛	tanfenzishai
碳黑	tanhei
碳化钙	tanhuagai
碳化锆	tanhuagao
碳化硅	tanhuagui
碳化硼	tanhuapeng
碳化塔	tanhuata
碳化钛	tanhuatai
碳化钨	tanhuawu
弹簧夹	tanhuangjia
碳氢化合物	tanqinghuahewu
弹式热量计	tanshireliangji
碳水化合物	tanshuihuahewu
碳素钢	tansugang
碳酸铵	tansuanan
碳酸钡	tansuanbei
碳酸二苯酯	tansuanerbenzhi
碳酸二甲酯	tansuanerjiazhi
碳酸二乙酯	tansuaneryizhi
碳酸钙	tansuangai
碳酸锆	tansuangao
碳酸镉	tansuange
碳酸根	tansuangen
碳酸钴	tansuangu
碳酸胍	tansuangua
碳酸钾	tansuanjia
碳酸镧	tansuanlan
碳酸锂	tansuanli
碳酸锰	tansuanmeng
碳酸钠	tansuanna
碳酸镍	tansuannie
碳酸氢铵	tansuanqingan
碳酸氢钾	tansuanqingjia
碳酸氢钠	tansuanqingna
碳酸铯	tansuanse
碳酸锶	tansuansi
碳酸锌	tansuanxin
碳酸亚铁	tansuanyatie
碳酸盐	tansuanyan
碳烯	tanxi
碳酰氯	tanxianlv
弹性散射	tanxingsanshe
碳氧血红蛋白	tanyangxuehongdanbai
碳正离子	tanzhenglizi
糖胺	tangan
烫发剂	tangfaji
羰基镍	tangjinie
羰基铁	tangjitie
糖精钠	tangjingna
糖类	tanglei
桃醛	taoquan
特戊酸	tewusuan
梯度寻优	tiduxunyou
锑粉	tifen
锑块	tikuai
替米沙坦	timishatan
锑酸钠	tisuanna
天冬酰胺	tiandongxianan
天二段	tianerduan
添加剂	tianjiaji
天空机	tiankongji
天空压缩机	tiankongyasuoji
天然碱	tianranjian
天然气加热炉	tianranqijiarelu
天然气流量	tianranqiliuliang
天然气压力	tianranqiyali
天然樟脑粉	tianranzhangnaofen
天一段	tianyiduan
铁合金	tiehejin
铁架台	tiejiatai
萜类化合物	tieleihuahewu
铁氰化钾	tieqinghuajia
铜蛋白	tongdanbai
铜合金	tonghejin
筒箭毒碱	tongjiandujian
铜试剂	tongshiji
同素异形体	tongsuyixingti
同位素	tongweisu
同位素标记	tongweisubiaoji
酮戊二酸	tongwuersuan
透平机	toupingji
钍粉	tufen
吐根酊	tugending
土建部	tujianbu
涂饰剂	tushiji
脱灰剂	tuohuiji
脱硫系统	tuoliuxitong
脱落酸	tuoluosuan
脱氯塔	tuolvta
脱毛剂	tuomaoji
脱墨剂	tuomoji
脱模剂	tuomoji
托盘天平	tuopantianping
托品酮	tuopintong
托普霉素	tuopumeisu
脱氢抗坏血酸	tuoqingkanghuaixuesuan
脱氢乙酸	tuoqingyisuan
脱碳风机	tuotanfengji
脱碳塔	tuotanta
拖尾峰	tuoweifeng
拖尾因子	tuoweiyinzi
脱盐水槽	tuoyanshuicao
脱盐水箱	tuoyanshuixiang
脱盐水预热器	tuoyanshuiyureqi
脱氧胞苷	tuoyangbaogan
脱氧胆酸	tuoyangdansuan
脱氧核糖	tuoyanghetang
脱氧剂	tuoyangji
脱氧鸟苷	tuoyangniaogan
脱氧尿苷	tuoyangniaogan
脱氧葡萄糖	tuoyangputaotang
脱氧腺苷	tuoyangxiangan
脱氧胸苷	tuoyangxionggan
外标法	waibiaofa
外扩散	waikuosan
外冷楼	wailenglou
外冷器	wailengqi
烷基	wanji
烷基苯	wanjiben
万能夹	wannengjia
弯曲表面	wanqubiaomian
往复压缩机	wangfuyasuoji
位号	weihao
微晶蜡	weijingla
微晶纤维素	weijingxianweisu
微库仑检测器	weikulunjianceqi
尾气排气槽	weiqipaiqicao
尾气洗涤塔	weiqixidita
微扰理论	weiraolilun
微填充柱	weitianchongzhu
微载体	weizaiti
微正则系综	weizhengzexizong
温度计	wenduji
文字表达式	wenzibiaodashi
