阿巴斯港	abasigang
空化衡准	konghuahengzhun
空化螺旋桨	konghualuoxuanjiang
空化试验	konghuashiyan
空化数	konghuashu
空化水筒	konghuashuitong
空泡长度	kongpaochangdu
空泡厚度	kongpaohoudu
空泡压力	kongpaoyali
空气抽除装置	kongqichouchuzhuangzhi
空气断路器	kongqiduanluqi
空气绝缘电缆	kongqijueyuandianlan
空气冷却器	kongqilengqueqi
空气螺旋桨	kongqiluoxuanjiang
空气驱动灯	kongqiqudongdeng
空气箱	kongqixiang
空气消耗率	kongqixiaohaolv
孔雀港	kongquegang
空调机室	kongtiaojishi
空坞吃水	kongwuchishui
空坞排水量	kongwupaishuiliang
空载吃水	kongzaichishui
控制管路	kongzhiguanlu
控制空气瓶	kongzhikongqiping
控制站	kongzhizhan
口岸船厂	kouanchuanchang
库尔纳	kuerna
库马纳	kumana
夸察尔科斯	kuachaerkesi
快速换向试验	kuaisuhuanxiangshiyan
快速解脱接头	kuaisujietuojietou
宽带发射	kuandaifashe
宽带干扰	kuandaiganrao
宽度吃水比	kuanduchishuibi
宽深比	kuanshenbi
矿砂船	kuangshachuan
矿油船	kuangyouchuan
亏舱	kuicang
亏舱费	kuicangfei
馈电品	kuidianpin
坤甸	kundian
昆新港	kunxingang
括纲吊臂	kuogangdiaobi
拉布安	labuan
拉各斯	lagesi
拉瓜伊拉	laguayila
拉普拉塔	lapulata
拉斯帕尔马斯	lasipaermasi
拉斯佩齐亚	lasipeiqiya
拉索塔	lasuota
拉塔基亚	latajiya
拉完那	lawanna
拉希德港	laxidegang
拉桩	lazhuang
莱戈恩	laigeen
来航	laihang
莱雄厄什	laixiongeshen
栏杆柱头	langanzhutou
缆绳缓冲器	lanshenghuanchongqi
缆索	lansuo
缆索卷车	lansuojuanche
浪高仪	langgaoyi
浪蚀	langshi
锒头	langtou
浪向	langxiang
劳莱收信机	laolaishouxinji
捞缆钩	laolangou
捞雷船	laoleichuan
勒阿佛尔	leafoer
了望桅	lewangwei
肋板	leiban
雷达	leida
雷达平台	leidapingtai
雷达室	leidashi
雷达桅	leidawei
雷达应答器	leidayingdaqi
肋骨框架强度	leigukuangjiaqiangdu
肋距	leiju
雷克雅未克	leikeyaweike
雷鸟尼翁	leiniaoniweng
类危险区域	leiweixianquyu
累西非	leixifei
累西脾	leixipi
冷藏船	lengcangchuan
冷藏货舱	lengcanghuocang
冷冻机室	lengdongjishi
冷库呼叫	lengkuhujiao
冷凝水柜	lengningshuigui
冷却水泵	lengqueshuibeng
冷却水系统	lengqueshuixitong
冷态起动	lengtaiqidong
冷态应急起动	lengtaiyingjiqidong
棱形系数	lengxingxishu
里奥格兰德	liaogelande
里奥热内卢	liaoreneilu
李柏君	libaijun
李伯军	libojun
利伯维尔	liboweier
利尔昆	lierkun
立丰船厂	lifengchuanchang
黎佛诺	lifonuo
立管管卡	liguanguanka
立管支撑件	liguanzhichengjian
离合器试验	liheqishiyan
利马索尔	limasuoer
利蒙港	limenggang
里那卡	linaka
利纳克里	linakeli
利萨斯港	lisasigang
立时得胶水	lishidejiaoshui
里斯本	lisiben
利特尔顿	liteerdun
立体分段	litifenduan
理网机	liwangji
利物普	liwupu
利物浦	liwupu
立向上焊	lixiangshanghan
立向下焊	lixiangxiahan
里耶卡	liyeka
联邦海事委员会	lianbanghaishiweiyuanhui
联动脱钩装置	liandongtuogouzhuangzhi
链斗装置	liandouzhuangzhi
联合动力装置	lianhedonglizhuangzhi
联合国海上货物运输公约	lianheguohaishanghuowuyunshugongyue
连接链环	lianjielianhuan
链节链环	lianjielianhuan
连接桥	lianjieqiao
连接卸扣	lianjiexiekou
链径	lianjing
连锁	liansuo
连续板	lianxuban
连续斗链	lianxudoulian
连续构件	lianxugoujian
连续航程	lianxuhangcheng
连续式拉桩	lianxushilazhuang
连云港	lianyungang
两段造船法	liangduanzaochuanfa
梁拱	lianggong
梁拱甲板	lianggongjiaban
梁拱线	lianggongxian
粮食库	liangshiku
两用水枪	liangyongshuiqiang
两支点滑道	liangzhidianhuadao
梁肘板	liangzhouban
列板	lieban
猎雷舰艇	lieleijianting
猎潜艇	lieqianting
林查班	linchaban
临界舵角	linjieduojiao
临界空化数	linjiekonghuashu
临时应急电源	linshiyingjidianyuan
淋水试验	linshuishiyan
领盘	lingpan
令司板	lingsiban
流刺网振网机	liuciwangzhenwangji
六分仪	liufenyi
溜泥槽	liunicao
流水沟	liushuigou
流水孔	liushuikong
流通能力	liutongnengli
流线试验	liuxianshiyan
流线型舵	liuxianxingduo
龙骨舱	longgucang
龙骨墩	longgudun
龙骨净空	longgujingkong
龙骨设计斜度	longgushejixiedu
龙骨水平半宽	longgushuipingbankuan
龙骨线	longguxian
龙骨翼板	longguyiban
龙骨折角线	longguzhejiaoxian
笼形天线	longxingtianxian
漏水口	loushuikou
炉舱棚	lucangpeng
炉胆顶圆	ludandingyuan
炉胆焊装	ludanhanzhuang
鹿儿岛	luerdao
鲁琅特王子港	lulangtewangzigang
炉墙砌筑	luqiangqizhu
鹿特丹	lutedan
露天船台	lutianchuantai
路易港	luyigang
录音机	luyinji
伦敦	lundun
轮机工程	lunjigongcheng
轮机日志	lunjirizhi
轮机员安全	lunjiyuananquan
轮机员呼叫	lunjiyuanhujiao
轮机长	lunjizhang
轮机长室	lunjizhangshi
罗安达	luoanda
罗北	luobei
洛比托	luobituo
裸船体	luochuanti
罗德城	luodecheng
落点能力	luodiannengli
罗航向	luohangxiang
螺检	luojian
罗津	luojin
罗经	luojing
罗经甲板	luojingjiaban
螺距比	luojubi
螺距规	luojugui
螺距角	luojujiao
洛美	luomei
洛杉机	luoshanji
洛杉矶	luoshanji
罗艏向	luoshouxiang
螺栓窗	luoshuanchuang
螺线试验	luoxianshiyan
螺旋风管	luoxuanfengguan
螺旋桨	luoxuanjiang
螺旋桨测力仪	luoxuanjiangceliyi
螺旋桨船	luoxuanjiangchuan
螺旋桨灯	luoxuanjiangdeng
螺旋桨基准线	luoxuanjiangjizhunxian
螺旋桨模型	luoxuanjiangmoxing
螺旋桨盘	luoxuanjiangpan
螺旋桨盘面积	luoxuanjiangpanmianji
螺旋桨平面	luoxuanjiangpingmian
螺旋桨推力	luoxuanjiangtuili
螺旋桨推入力	luoxuanjiangtuiruli
螺旋桨推入量	luoxuanjiangtuiruliang
螺旋桨尾流	luoxuanjiangweiliu
螺旋桨校平衡	luoxuanjiangxiaopingheng
螺旋桨噪声	luoxuanjiangzaosheng
螺旋桨直径	luoxuanjiangzhijing
螺旋桨中点	luoxuanjiangzhongdian
螺旋桨轴	luoxuanjiangzhou
螺旋桨轴配键	luoxuanjiangzhoupeijian
螺旋桨转矩	luoxuanjiangzhuanju
螺旋桨纵倾角	luoxuanjiangzongqingjiao
螺旋扣	luoxuankou
裸置管道	luozhiguandao
履带式布缆机	lvdaishibulanji
旅游船	lvyouchuan
滤油设备	lvyoushebei
马埃	maai
马辰	machen
马但萨斯	madansasi
马德拉斯	madelasi
马德普拉塔	madepulata
马尔默	maermo
马哈赞加	mahazanjia
麻拉	mala
马拉加	malajia
马拉开波	malakaibo
马拉松革新	malasonggexin
马累	malei
马林迪	malindi
马六甲	maliujia
马纳瓜	managua
马瑙斯	manaosi
马尼拉	manila
马尼拉北	manilabei
马尼拉南	manilanan
马普托	maputuo
马任加	marenjia
马萨特兰	masatelan
马萨瓦	masawa
马赛	masai
马塞	masai
马塞福斯	masaifusi
马斯喀特	masikate
马塔迪	matadi
马尾船厂	maweichuanchang
迈阿密	maiami
脉动空泡	maidongkongpao
埋管驳	maiguanbo
埋弧自动焊	maihuzidonghan
麦鲁舵	mailuduo
麦纳麦	mainamai
麦纳麦巴林	mainamaibalin
埋入式人孔盖	mairushirenkonggai
埋设管道	maisheguandao
埋设深度	maisheshendu
满舵舵角	manduoduojiao
曼谷	mangu
曼萨尼约	mansaniyue
曼萨尼约角	mansaniyuejiao
曼塔	manta
满载吃水	manzaichishui
满载排水量	manzaipaishuiliang
满载水线	manzaishuixian
满载水线长	manzaishuixianchang
盲板法兰	mangbanfalan
锚臂	maobi
锚柄	maobing
锚泊定位	maobodingwei
锚泊设备	maoboshebei
锚泊状态	maobozhuangtai
锚床	maochuang
锚唇	maochun
毛淡棉	maodanmian
锚灯	maodeng
锚端链节	maoduanlianjie
锚浮标	maofubiao
锚干	maogan
锚杆	maogan
锚冠	maoguan
锚横杆	maohenggan
锚机底座	maojidizuo
锚架	maojia
锚铰机	maojiaoji
铆接船体结构	maojiechuantijiegou
锚拉力试验	maolalishiyan
锚缆	maolan
锚链	maolian
锚链舱	maoliancang
锚链等级	maoliandengji
锚链管	maolianguan
锚链环	maolianhuan
锚链节	maolianjie
锚链拉断试验	maolianladuanshiyan
锚链拉力试验	maolianlalishiyan
锚链轮	maolianlun
锚链筒	maoliantong
锚链脱钩	maoliantuogou
锚链转环	maolianzhuanhuan
锚啮入性	maonieruxing
锚球	maoqiu
锚投落试验	maotouluoshiyan
锚腿	maotui
锚卸扣	maoxiekou
锚卸扣锥销	maoxiekouzhuixiao
锚穴	maoxue
锚眼圈锚台	maoyanquanmaotai
锚爪	maozhao
锚爪袭角	maozhaoxijiao
锚爪折角	maozhaozhejiao
锚抓力	maozhuali
锚抓重比	maozhuazhongbi
煤舱盖	meicanggai
梅尔辛	meierxin
美国标准局	meiguobiaozhunju
美国船级社	meiguochuanjishe
梅花钣	meihuaban
梅花板手	meihuabanshou
眉毛板	meimaoban
煤油试验	meiyoushiyan
门坑	menkeng
门司	mensi
门型柱	menxingzhu
蒙巴萨	mengbasa
孟克力矩	mengkeliju
孟拉	mengla
蒙罗维亚	mengluoweiya
孟买	mengmai
蒙特雷	mengtelei
蒙特利尔	mengtelier
米尔福德港	mierfudegang
密集气孔	mijiqikong
米纳卡布斯	minakabusi
米苏拉塔	misulata
面板	mianban
面板切斜连接	mianbanqiexielianjie
免除处所	mianchuchusuo
免除证书	mianchuzhengshu
面积渗透率	mianjishentoulv
面节线	mianjiexian
棉兰拉湾	mianlanlawan
面螺距	mianluoju
民都港	mindougang
敏感度门限	mingandumenxian
明德卢	mingdelu
名古屋	mingguwu
明轮	minglun
莫比尔	mobier
磨擦减震器	mocajianzhenqi
摩擦阻力	mocazuli
摩擦阻尼	mocazuni
末端链节	moduanlianjie
末端卸扣	moduanxiekou
墨尔本	moerben
莫尔灯	moerdeng
摩尔曼斯克	moermansike
莫尔兹比港	moerzibigang
摩加迪沙	mojiadisha
模块	mokuai
模拟腐蚀试验	monifushishiyan
模拟手	monishou
莫氏灯	moshideng
莫氏信号灯	moshixinhaodeng
莫斯键	mosijian
墨西哥城	moxigecheng
墨西拿	moxina
模型拖车	moxingtuoche
模型拖点	moxingtuodian
木船	muchuan
木船防污涂料	muchuanfangwutuliao
木工间	mugongjian
木滑车	muhuache
穆卡拉	mukala
穆卡拉也门	mukalayemen
木浦	mupu
木浦朝鲜	mupuchaoxian
母子钟	muzizhong
那霸	naba
那垻	nabei|naba
那不勒斯	nabulesi
纳霍德卡	nahuodeka
纳卡拉	nakala
纳米贝	namibei
拿骚	nasao
那瓦夏瓦	nawaxiawa
耐波性	naiboxing
耐波性衡准	naiboxinghengzhun
耐波性试验	naiboxingshiyan
耐海水不锈钢	naihaishuibuxiugang
耐火舱壁	naihuocangbi
耐火电缆	naihuodianlan
耐火救生艇	naihuojiushengting
耐久性试验	naijiuxingshiyan
耐水刚玉	naishuigangyu
奶头锤	naitouchui
耐压壳体钢板	naiyaqiaotigangban
南安普敦	nananpudun
南浦	nanpu
南圣胡安	nanshenghuan
南圣克鲁斯	nanshengkelusi
南特	nante
南通	nantong
南通港闸	nantonggangzha
南通荣胜	nantongrongsheng
南洋船厂	nanyangchuanchang
挠性密封装置	naoxingmifengzhuangzhi
挠性轴系	naoxingzhouxi
内底板	neidiban
内底边板	neidibianban
内底横骨	neidihenggu
内底纵骨	neidizonggu
内底纵桁	neidizongheng
内河船	neihechuan
内立管	neiliguan
内六角板手	neiliujiaobanshou
内通道	neitongdao
内舾装	neixizhuang
内斜轴系	neixiezhouxi
泥泵	nibeng
泥舱	nicang
泥舱稀释装置	nicangxishizhuangzhi
逆帆	nifan
逆功率	nigonglv
泥阱	nijing
尼科西亚	nikexiya
逆螺线试验	niluoxianshiyan
泥门	nimen
泥门启闭机构	nimenqibijigou
泥箱	nixiang
粘性阻力	nianxingzuli
宁波新乐	ningboxinyue|ningboxinle
凝水泵	ningshuibeng
凝水给水系统	ningshuigeishuixitong
纽黑文	niuheiwen
纽黑文美国	niuheiwenmeiguo
纽卡斯尔	niukasier
纽瓦克	niuwake
牛油枪	niuyouqiang
纽约	niuyue
扭振减振器	niuzhenjianzhenqi
扭转强度	niuzhuanqiangdu
扭转强度试验	niuzhuanqiangdushiyan
农用船	nongyongchuan
努美阿	numeia
努瓦克肖特	nuwakexiaote
暖机起动	nuanjiqidong
暖机起动试验	nuanjiqidongshiyan
暖机蒸汽系统	nuanjizhengqixitong
诺福克	nuofuke
耦合运动	ouheyundong
欧姆收信机	oumushouxinji
爬坡能力	paponengli
排放浓度	paifangnongdu
排放条件	paifangtiaojian
排流保护	pailiubaohu
排泥浮筒	painifutong
排泥设备	painishebei
排气侧	paiqice
排气水封箱	paiqishuifengxiang
排汽系统	paiqixitong
排绳装置	paishengzhuangzhi
排水航行机组	paishuihangxingjizu
排水量	paishuiliang
排水型船	paishuixingchuan
排油监控系统	paiyoujiankongxitong
排油控制	paiyoukongzhi
盘车机构	panchejigou
盘车联锁装置	pancheliansuozhuangzhi
盘线装置	panxianzhuangzhi
旁桁材	panghengcai
旁内龙骨	pangneilonggu
旁视声呐	pangshishengna
旁通调节	pangtongtiaojie
抛落式救生艇	paoluoshijiushengting
抛锚激振试验	paomaojizhenshiyan
抛锚试验	paomaoshiyan
泡沫柜	paomogui
泡沫空化	paomokonghua
泡沫灭火机	paomomiehuoji
泡沫浓缩液	paomonongsuoye
泡沫室	paomoshi
泡沫液循环泵	paomoyexunhuanbeng
泡沫原液泵	paomoyuanyebeng
配汽机构	peiqijigou
喷浆法	penjiangfa
喷气推进船	penqituijinchuan
喷洒装置	pensazhuangzhi
喷射泵	penshebeng
喷射过渡	pensheguodu
喷水推进	penshuituijin
喷水推进船	penshuituijinchuan
喷水推进器	penshuituijinqi
喷丸除锈	penwanchuxiu
喷丸清理	penwanqingli
喷盐雾试验	penyanwushiyan
碰垫	pengdian
篷顶灯	pengdingdeng
砰击	pengji
砰击载荷	pengjizaihe
蓬莱渤海	penglaibohai
蓬塞	pengsai
蓬塔阿雷纳斯	pengtaaleinasi
蓬塔雷纳斯	pengtaleinasi
膨胀容积	pengzhangrongji
膨胀水箱	pengzhangshuixiang
膨胀弯管	pengzhangwanguan
皮龙带	pilongdai
皮龙接扣	pilongjiekou
皮龙牙扣	pilongyakou
匹配箱	pipeixiang
皮特尔角	piteerjiao
偏航角	pianhangjiao
偏流角	pianliujiao
偏模直拖试验	pianmozhituoshiyan
片体	pianti
片体间距	piantijianju
片体水线宽	piantishuixiankuan
片状空化	pianzhuangkonghua
漂浮式下水	piaofushixiashui
漂浮烟雾信号	piaofuyanwuxinhao
漂心	piaoxin
撇缆	pielan
撇缆绳	pielansheng
撇缆头	pielantou
频率	pinlv
频谱吸收	pinpuxishou
拼箱	pinxiang
拼箱货	pinxianghuo
平板舵	pingbanduo
平板龙骨	pingbanlonggu
瓶柜	pinggui
平衡舱盖	pinghengcanggai
平衡舵	pinghengduo
平甲板船	pingjiabanchuan
平均吃水	pingjunchishui
平均叶宽	pingjunyekuan
平均叶宽比	pingjunyekuanbi
平面舱壁	pingmiancangbi
平面分段	pingmianfenduan
平面运动机构	pingmianyundongjigou
屏幕屏蔽	pingmupingbi
平台	pingtai
平台罗经	pingtailuojing
平台调平	pingtaitiaoping
平行中体	pingxingzhongti
平旋推进器	pingxuantuijinqi
平旋推进器船	pingxuantuijinqichuan
平泽	pingze
平置式人孔盖	pingzhishirenkonggai
破冰船	pobingchuan
破冰型艏	pobingxingshou
破舱水线	pocangshuixian
破舱稳性	pocangwenxing
坡口面	pokoumian
破雷舰	poleijian
剖面仪绞车	poumianyijiaoche
普遍腐蚀	pubianfushi
朴次茅斯	pucimaosi
铺管驳	puguanbo
铺管参数	puguancanshu
铺管船	puguanchuan
铺管船法	puguanchuanfa
普拉塔港	pulatagang
普拉亚	pulaya
普列茅斯	puliemaosi
普洛切	puluoqie
普通手电	putongshoudian
弃船船员	qichuanchuanyuan
弃船者	qichuanzhe
脐带	qidai
气笛	qidi
气垫船	qidianchuan
气垫减震器	qidianjianzhenqi
气电立焊	qidianlihan
气垫面积	qidianmianji
起吊设备	qidiaoshebei
起吊索	qidiaosuo
起吊眼板	qidiaoyanban
起动带	qidongdai
启动阀	qidongfa
起动加速度	qidongjiasudu
起动空气系统	qidongkongqixitong
起动气瓶	qidongqiping
气动式造波机	qidongshizaoboji
起动压力	qidongyali
起动用给水泵	qidongyonggeishuibeng
起动装置	qidongzhuangzhi
汽封系统	qifengxitong
气缸体定位	qigangtidingwei
气缸油泵	qigangyoubeng
气缸油计量柜	qigangyoujilianggui
气缸油贮存柜	qigangyouzhucungui
弃管	qiguan
汽化油灶	qihuayouzao
起货吊	qihuodiao
起货机平台	qihuojipingtai
起货绞车	qihuojiaoche
起货设备	qihuoshebei
起货索具	qihuosuoju
起居舱室	qijucangshi
起居甲板	qijujiaban
气力提升泵	qilitishengbeng
弃链器	qilianqi
汽轮给水泵	qilungeishuibeng
汽轮机船	qilunjichuan
起落绞车	qiluojiaoche
起锚机	qimaoji
起锚绞盘	qimaojiaopan
气密挡板	qimidangban
气密门	qimimen
气密试验	qimishiyan
气囊下水	qinangxiashui
起升机械下水	qishengjixiexiashui
气体报警装置	qitibaojingzhuangzhi
起艇绞车	qitingjiaoche
起网机	qiwangji
起网机组	qiwangjizu
旗箱	qixiang
七星造船	qixingzaochuan
汽油浮力系统	qiyoufulixitong
气载磨料	qizaimoliao
气胀救生筏	qizhangjiushengfa
气胀密封垫	qizhangmifengdian
气胀式设备	qizhangshishebei
起重船	qizhongchuan
起重桅	qizhongwei
起重柱	qizhongzhu
洽订舱位	qiadingcangwei
嵌补分段	qianbufenduan
欠电压	qiandianya
前端壁	qianduanbi
千斤索	qianjinsuo
千斤索具	qianjinsuoju
千斤座	qianjinzuo
前倾型艏	qianqingxingshou
潜水导索	qianshuidaosuo
潜水电话	qianshuidianhua
潜水服	qianshuifu
潜水工作间	qianshuigongzuojian
潜水呼吸器	qianshuihuxiqi
潜水加压舱	qianshuijiayacang
潜水减压架	qianshuijianyajia
潜水泥泵	qianshuinibeng
潜水平台	qianshuipingtai
潜水器	qianshuiqi
潜水器材舱	qianshuiqicaicang
潜水器母船	qianshuiqimuchuan
潜水器系统	qianshuiqixitong
浅水试验水池	qianshuishiyanshuichi
潜水梯	qianshuiti
潜水头盔	qianshuitoukui
浅水效应	qianshuixiaoying
潜水鞋	qianshuixie
潜水行进绳	qianshuixingjinsheng
潜水腰节阀	qianshuiyaojiefa
潜水员运行器	qianshuiyuanyunxingqi
潜水钟	qianshuizhong
潜水装具	qianshuizhuangju
浅水阻力	qianshuizuli
牵索	qiansuo
牵索索具	qiansuosuoju
牵索眼板	qiansuoyanban
牵索柱	qiansuozhu
前体	qianti
前桅	qianwei
铅吸收体	qianxishouti
千叶	qianye
牵引绞机	qianyinjiaoji
牵引式滑道	qianyinshihuadao
牵引式下水	qianyinshixiashui
签字	qianzi
强横梁	qianghengliang
强肋骨	qiangleigu
强力甲板	qianglijiaban
强胸横梁	qiangxionghengliang
强胸结构	qiangxiongjiegou
强制自航试验	qiangzhizihangshiyan
翘棒	qiaobang
敲铲	qiaochan
翘度	qiaodu
桥楼	qiaolou
桥楼甲板	qiaoloujiaban
桥楼结构	qiaoloujiegou
壳体加速度	qiaotijiasudu
敲绣护目镜	qiaoxiuhumujing
敲渣锤	qiaozhachui
乔治敦	qiaozhidun
乔治市	qiaozhishi
撬装块	qiaozhuangkuai
切缆器	qielanqi
切斜端	qiexieduan
钦博特	qinbote
秦皇岛	qinhuangdao
轻舱壁	qingcangbi
轻柴油输送泵	qingchaiyoushusongbeng
青岛	qingdao
青岛北海	qingdaobeihai
青岛现代	qingdaoxiandai
轻吨	qingdun
轻合金船	qinghejinchuan
清洁	qingjie
清洁压载舱	qingjieyazaicang
清洁压载水	qingjieyazaishui
清洁油漆	qingjieyouqi
清津	qingjin
清奈	qingnai
氢气压缩机	qingqiyasuoji
青铅床	qingqianchuang
请上船	qingshangchuan
清水	qingshui
轻水泡沫	qingshuipaomo
清洗试验	qingxishiyan
倾斜船台	qingxiechuantai
倾斜试验	qingxieshiyan
轻型吊杆	qingxingdiaogan
轻型肋板	qingxingleiban
氢致裂纹	qingzhiliewen
球鼻艏	qiubishou
球鼻首肋骨	qiubishouleigu
球扁钢	qiubiangang
球臌型剖面	qiuguxingpoumian
球曲型肋骨	qiuquxingleigu
泅水	qiushui
球形接头	qiuxingjietou
球形艉	qiuxingwei
曲柄销轴承	qubingxiaozhoucheng
去船上	quchuanshang
去流段	quliuduan
曲面分段	qumianfenduan
去耦能力	quounengli
区配电板	qupeidianban
驱气	quqi
驱绳绞车	qushengjiaoche
曲线	quxian
去锈水	quxiushui
曲轴就地加工	quzhoujiudijiagong
曲轴量表	quzhouliangbiao
曲轴修正	quzhouxiuzheng
驱逐舰	quzhujian
全船报警装置	quanchuanbaojingzhuangzhi
全船积载因数	quanchuanjizaiyinshu
全电调节	quandiantiaojie
全封闭救生艇	quanfengbijiushengting
全回转推进器	quanhuizhuantuijinqi
全降落区标志	quanjiangluoqubiaozhi
全浸区腐蚀	quanjinqufushi
全潜船	quanqianchuan
全速倒车工况	quansudaochegongkuang
全速级组	quansujizu
全体上船	quantishangchuan
全洗舱	quanxicang
全向信标	quanxiangxinbiao
群桩效应	qunzhuangxiaoying
燃料消耗试验	ranliaoxiaohaoshiyan
燃料油输送泵	ranliaoyoushusongbeng
燃气轮机船	ranqilunjichuan
燃气稳压箱	ranqiwenyaxiang
燃油驳运系统	ranyouboyunxitong
燃油舱	ranyoucang
燃油沉淀柜	ranyouchendiangui
燃油澄清舱	ranyoudengqingcang|ranyouchengqingcang
燃油单元	ranyoudanyuan
燃油分油机	ranyoufenyouji
燃油供给泵	ranyougongjibeng
燃油柜	ranyougui
燃油净化系统	ranyoujinghuaxitong
燃油日用柜	ranyouriyonggui
燃油深舱	ranyoushencang
燃油系统	ranyouxitong
燃油泄放系统	ranyouxiefangxitong
燃油溢油舱	ranyouyiyoucang
燃油油渣舱	ranyouyouzhacang
燃油增压泵	ranyouzengyabeng
让蒂尔港	rangdiergang
扰动力	raodongli
热管热交换器	reguanrejiaohuanqi
热井	rejing
热量发散	reliangfasan
热量吸收	reliangxishou
热裂纹	reliewen
热那亚	renaya
热平衡计算	repinghengjisuan
热平衡试验	repinghengshiyan
热水柜	reshuigui
热水循环泵	reshuixunhuanbeng
热水压力柜	reshuiyaligui
热态起动	retaiqidong
热线图	rexiantu
热亚陶罗	reyataoluo
仁川	renchuan
人工越控装置	rengongyuekongzhuangzhi
人孔	renkong
人孔盖	renkonggai
人力操舵装置	renlicaoduozhuangzhi
人为噪声	renweizaosheng
刃形腐蚀	renxingfushi
人字式坞门	renzishiwumen
人字桅	renziwei
日用淡水泵	riyongdanshuibeng
日用燃油泵	riyongranyoubeng
熔敷效率	rongfuxiaolv
熔合比	ronghebi
容积曲线	rongjiquxian
容积渗透率	rongjishentoulv
容积吸收	rongjixishou
溶气计	rongqiji
容许加速度	rongxujiasudu
柔性构件	rouxinggoujian
入级	ruji
入级标志	rujibiaozhi
入级符号	rujifuhao
入级检验	rujijianyan
入级证书	rujizhengshu
入试航速	rushihangsu
软管吊	ruanguandiao
软件	ruanjian
软梯	ruanti
软梯存放座	ruanticunfangzuo
萨尔瓦多	saerwaduo
萨法加港	safajiagang
萨凡纳	safanna
萨非	safei
萨洛尼卡	saluonika
洒水短管	sashuiduanguan
塞德港	saidegang
塞科港	saikegang
塞拉莱	sailalai
塞萨洛尼基	saisaluoniji
塞图巴尔	saitubaer
三宝垄	sanbaolong
三段式浮船坞	sanduanshifuchuanwu
三副	sanfu
三副室	sanfushi
三管轮	sanguanlun
三管轮室	sanguanlunshi
散货船	sanhuochuan
散货集装箱	sanhuojizhuangxiang
三脚桅	sanjiaowei
三角形链	sanjiaoxinglian
三角眼板	sanjiaoyanban
三角眼环沙	sanjiaoyanhuansha
三井商船	sanjingshangchuan
三缆定位系统	sanlandingweixitong
三螺桨船	sanluojiangchuan
三潘市	sanpanshi
散射锚泊系统	sanshemaoboxitong
三位四通阀	sanweisitongfa
三星定位	sanxingdingwei
三用拖船	sanyongtuochuan
散装舱容	sanzhuangcangrong
桑佛	sangfo
桑给巴尔	sangjibaer
桑托斯	sangtuosi
扫舱泵	saocangbeng
扫舱系统	saocangxitong
扫海绞车	saohaijiaoche
扫海具	saohaiju
扫雷舰艇	saoleijianting
扫炉	saolu
扫描声呐	saomiaoshengna
扫气口	saoqikou
扫线清管器	saoxianqingguanqi
刹车	shache
沙璜	shahuang
沙迦	shajia
纱口罩	shakouzhao
砂箱墩	shaxiangdun
舢板信号灯	shanbanxinhaodeng
山打根	shandagen
闪发室	shanfashi
山海关船厂	shanhaiguanchuanchang
山字钩	shanzigou
上驳分析	shangbofenxi
上层建筑甲板	shangcengjianzhujiaban
上层建筑强度	shangcengjianzhuqiangdu
商船	shangchuan
上船澄西	shangchuanchengxi
上导轮	shangdaolun
上导轮平台	shangdaolunpingtai
上舵承	shangduocheng
上舵承底座	shangduochengdizuo
上海	shanghai
上甲板	shangjiaban
梢厚	shaohou
少量油污	shaoliangyouwu
梢涡	shaowo
梢涡空化	shaowokonghua
梢隙	shaoxi
射电天文导航	shediantianwendaohang
设计吃水	shejichishui
设计航速	shejihangsu
设计环境条件	shejihuanjingtiaojian
设计排水量	shejipaishuiliang
设计水深	shejishuishen
设计水线	shejishuixian
设计水线长	shejishuixianchang
射频无反射室	shepinwufansheshi
射水抽气器	sheshuichouqiqi
射水抽水器	sheshuichoushuiqi
射线吸收体	shexianxishouti
蛇形造波机	shexingzaoboji
深舱	shencang
深舱舱壁	shencangcangbi
深舱肋骨	shencangleigu
甚长波通信	shenchangbotongxin
渗镀	shendu
深海海面	shenhaihaimian
神户	shenhu
神户海运	shenhuhaiyun
深潜救生艇	shenqianjiushengting
深潜器	shenqianqi
深潜系统	shenqianxitong
深溶焊	shenronghan
深水锚锚缆	shenshuimaomaolan
深水密封电缆	shenshuimifengdianlan
深水抛锚绞车	shenshuipaomaojiaoche
伸缩接管	shensuojieguan
伸缩接头	shensuojietou
伸缩型舱口盖	shensuoxingcangkougai
渗透探伤	shentoutanshang
深温计绞车	shenwenjijiaoche
伸张轮廓	shenzhanglunkuo
伸张面积	shenzhangmianji
伸张面积比	shenzhangmianjibi
深圳	shenzhen
圣安东尼奥	shengandongniao
圣彼德堡	shengbidebao
声波测井仪	shengbocejingyi
生产测试船	shengchanceshichuan
生产储油船	shengchanchuyouchuan
升船机	shengchuanji
生存吃水	shengcunchishui
生存环境条件	shengcunhuanjingtiaojian
生存排水量	shengcunpaishuiliang
圣地亚哥	shengdiyage
圣迭戈	shengdiege
圣多美	shengduomei
圣多明各	shengduomingge
圣多斯	shengduosi
圣费尔南多	shengfeiernanduo
圣弗朗西斯科	shengfulangxisike
升高甲板	shenggaojiaban
声光信号设备	shengguangxinhaoshebei
圣胡安	shenghuan
生活舱	shenghuocang
生活平台	shenghuopingtai
声级仪	shengjiyi
升降式舱口盖	shengjiangshicangkougai
升降状态	shengjiangzhuangtai
升降装置	shengjiangzhuangzhi
圣克鲁期	shengkeluqi
圣克鲁瓦	shengkeluwa
圣劳伦斯	shenglaolunsi
声力电话	shenglidianhua
