阿代尔	adaier
张量	zhangliang
张量分析	zhangliangfenxi
折扣	zhekou
折射角	zheshejiao
折线	zhexian
镇定	zhending
振动	zhendong
振动模式	zhendongmoshi
诊断	zhenduan
诊断程序	zhenduanchengxu
真分数	zhenfenshu
振幅	zhenfu
真误差	zhenwucha
真值	zhenzhi
真值表	zhenzhibiao
真子集	zhenziji
正八面体	zhengbamianti
正比	zhengbi
正比计数器	zhengbijishuqi
正比区	zhengbiqu
整除	zhengchu
整点	zhengdian
正定矩阵	zhengdingjuzhen
正多边形	zhengduobianxing
正方形	zhengfangxing
正负号函数	zhengfuhaohanshu
正割	zhengge
正规曲线	zhengguiquxian
正号	zhenghao
正角	zhengjiao
正交	zhengjiao
正交变换	zhengjiaobianhuan
正交表	zhengjiaobiao
正交对合	zhengjiaoduihe
正交信号	zhengjiaoxinhao
正逻辑	zhengluoji
证明	zhengming
正偏差	zhengpiancha
正切	zhengqie
整群抽样	zhengqunchouyang
证实	zhengshi
整式	zhengshi
正视图	zhengshitu
整数	zhengshu
正数	zhengshu
整数规划	zhengshuguihua
整数线性规划	zhengshuxianxingguihua
正态分布	zhengtaifenbu
整体性质	zhengtixingzhi
正投影法	zhengtouyingfa
正弦	zhengxian
正弦波	zhengxianbo
正弦定理	zhengxiandingli
正弦函数	zhengxianhanshu
正相关	zhengxiangguan
正则	zhengze
正则函数	zhengzehanshu
正则化	zhengzehua
正则集	zhengzeji
制表	zhibiao
指标	zhibiao
制表机	zhibiaoji
指标体系	zhibiaotixi
支撑点	zhichengdian
支撑线	zhichengxian
直尺	zhichi
纸带	zhidai
支点	zhidian
直方图	zhifangtu
支付	zhifu
直观	zhiguan
置换	zhihuan
置换群	zhihuanqun
直角	zhijiao
直角边	zhijiaobian
直角三角形	zhijiaosanjiaoxing
直角坐标	zhijiaozuobiao
直接法	zhijiefa
直接推理	zhijietuili
直径	zhijing
直觉主义	zhijuezhuyi
质量	zhiliang
质量控制	zhiliangkongzhi
质量守恒	zhiliangshouheng
指令	zhiling
指令码	zhilingma
指令系统	zhilingxitong
支配	zhipei
支配权	zhipeiquan
指示	zhishi
指示函数	zhishihanshu
质数	zhishu
指数	zhishu
指数定律	zhishudinglv
指数方程	zhishufangcheng
指数分布	zhishufenbu
指数函数	zhishuhanshu
指数曲线	zhishuquxian
制图学	zhituxue
直纹	zhiwen
直线	zhixian
直线法	zhixianfa
直线性	zhixianxing
直线运动	zhixianyundong
质心	zhixin
置信界限	zhixinjiexian
置信区间	zhixinqujian
置信水平	zhixinshuiping
置信系数	zhixinxishu
置信限	zhixinxian
置信域	zhixinyu
执行程序	zhixingchengxu
值域	zhiyu
直柱	zhizhu
中垂线	zhongchuixian
重点	zhongdian
中点	zhongdian
终点	zhongdian
重点调查	zhongdiandiaocha
终端	zhongduan
中国剩余定理	zhongguoshengyudingli
中国统计学会	zhongguotongjixuehui
重力	zhongli
重力加速度	zhonglijiasudu
种群	zhongqun
众数	zhongshu
中位数	zhongweishu
中文	zhongwen
中线	zhongxian
重心	zhongxin
中心	zhongxin
中心点	zhongxindian
中心极限定理	zhongxinjixiandingli
中心矩	zhongxinju
重心坐标	zhongxinzuobiao|chongxinzuobiao
中性点	zhongxingdian
中性平面	zhongxingpingmian
终止	zhongzhi
终止时间	zhongzhishijian
周边	zhoubian
轴测法	zhoucefa
周长	zhouchang
轴对称	zhouduichen
周环	zhouhuan
周角	zhoujiao
周期	zhouqi
周期函数	zhouqihanshu
周期图	zhouqitu
周期误差	zhouqiwucha
周期性	zhouqixing
周期运动	zhouqiyundong
周围	zhouwei
轴线	zhouxian
周线	zhouxian
逐步回归	zhubuhuigui
主成分分析	zhuchengfenfenxi
逐次近似法	zhucijinsifa
逐次性	zhucixing
主方向	zhufangxiang
柱面	zhumian
柱面波	zhumianbo
主曲率	zhuqulv
主视图	zhushitu
主效应	zhuxiaoying
主值	zhuzhi
主轴	zhuzhou
转换	zhuanhuan
转矩	zhuanju
专门名词	zhuanmenmingci
转向	zhuanxiang
转向点	zhuanxiangdian
转移	zhuanyi
转移函数	zhuanyihanshu
转移指令	zhuanyizhiling
转置	zhuanzhi
状态	zhuangtai
状态变量	zhuangtaibianliang
状态反馈	zhuangtaifankui
状态方程	zhuangtaifangcheng
状态空间	zhuangtaikongjian
状态向量	zhuangtaixiangliang
准静态过程	zhunjingtaiguocheng
准确度	zhunquedu
准确性	zhunquexing
准线	zhunxian
准则	zhunze
着色	zhuose
自变量	zibianliang
子层	ziceng
字长	zichang
自乘	zicheng
子程序	zichengxu
子带编码	zidaibianma
自动化	zidonghua
自动机	zidongji
自动机理论	zidongjililun
自动计算	zidongjisuan
自动检验	zidongjianyan
自动控制	zidongkongzhi
自动控制理论	zidongkongzhililun
子对象	ziduixiang
子格	zige
子集	ziji
自激振荡	zijizhendang
字节	zijie
子空间	zikongjian
子类	zilei
字母表	zimubiao
自然边界	ziranbianjie
自然对数	ziranduishu
自然数	ziranshu
自然性	ziranxing
自然序	ziranxu
自然语言	ziranyuyan
子图	zitu
子网	ziwang
子午线	ziwuxian
子系统	zixitong
自相关函数	zixiangguanhanshu
自相关系数	zixiangguanxishu
自信息	zixinxi
子样本	ziyangben
自由度	ziyoudu
自由端	ziyouduan
自由面	ziyoumian
子域	ziyu
自治系统	zizhixitong
自助法	zizhufa
子族	zizu
总概率	zonggailv
综合指数	zonghezhishu
总计	zongji
总量指标	zongliangzhibiao
总平均	zongpingjun
总体	zongti
纵轴	zongzhou
纵坐标	zongzuobiao
纵坐标轴	zongzuobiaozhou
阻碍	zuai
组成	zucheng
组分	zufen
组合	zuhe
组合分析	zuhefenxi
组合数学	zuheshuxue
组界	zujie
组距	zuju
阻尼	zuni
阻尼因子	zuniyinzi
阻尼振动	zunizhendong
组限	zuxian
组中值	zuzhongzhi
最大	zuida
最大独立集	zuidaduliji
最大匹配	zuidapipei
最大偏差	zuidapiancha
最大熵	zuidashang
最大值	zuidazhi
最大值原理	zuidazhiyuanli
最短距离	zuiduanjuli
最概然分布	zuigairanfenbu
最高位	zuigaowei
最后判决	zuihoupanjue
最佳	zuijia
最速上升法	zuisushangshengfa
最速下降法	zuisuxiajiangfa
最小	zuixiao
最小二乘法	zuixiaoerchengfa
最小公倍数	zuixiaogongbeishu
最小生成树	zuixiaoshengchengshu
最小正周期	zuixiaozhengzhouqi
最小值	zuixiaozhi
最优化	zuiyouhua
最优化方法	zuiyouhuafangfa
最优控制	zuiyoukongzhi
最优控制理论	zuiyoukongzhililun
最优性	zuiyouxing
最优值	zuiyouzhi
最终检验	zuizhongjianyan
左边	zuobian
坐标	zuobiao
坐标尺	zuobiaochi
坐标函数	zuobiaohanshu
坐标系	zuobiaoxi
坐标轴	zuobiaozhou
左商	zuoshang
左视图	zuoshitu
