阿姆可铁	amuketie
环境试验	huanjingshiyan
环境因数	huanjingyinshu
环路	huanlu
环路参数	huanlucanshu
环路带宽	huanludaikuan
环路滤波器	huanlulvboqi
环路相应	huanluxiangying
环路增益	huanluzengyi
环面反射器	huanmianfansheqi
换能器	huannengqi
环天线	huantianxian
环形缝隙天线	huanxingfengxitianxian
环形解调器	huanxingjietiaoqi
环行器	huanxingqi
环形阵	huanxingzhen
环形振荡器	huanxingzhendangqi
环状网	huanzhuangwang
黄胶	huangjiao
回波抵消器	huibodixiaoqi
回波损耗	huibosunhao
回波箱	huiboxiang
回波抑制器	huiboyizhiqi
彗差	huicha
回差现象	huichaxianxiang
灰度	huidu
灰度级	huiduji
回复磁导率	huifucidaolv
恢复电路	huifudianlu
恢复二极管	huifuerjiguan
恢复时间	huifushijian
惠更斯源	huigengsiyuan
辉光放电	huiguangfangdian
辉光放电管	huiguangfangdianguan
会话层	huihuaceng
汇接局	huijieju
会聚	huiju
回流	huiliu
回流焊	huiliuhan
灰熔点	huirongdian
回蚀	huishi
回收指令	huishouzhiling
灰体	huiti
彗形象差	huixingxiangcha
回旋磁控管	huixuancikongguan
回旋放大管	huixuanfangdaguan
回旋共振加热	huixuangongzhenjiare
回旋管	huixuanguan
回旋潘尼管	huixuanpanniguan
回旋频率	huixuanpinlv
回旋器	huixuanqi
回旋速调管	huixuansudiaoguan
回旋振荡管	huixuanzhendangguan
回旋质谱仪	huixuanzhipuyi
回转器	huizhuanqi
混叠	hundie
混沌	hundun
混合环	hunhehuan
混合集成	hunhejicheng
混合集成电路	hunhejichengdianlu
混合继电器	hunhejidianqi
混合交换	hunhejiaohuan
混合接入	hunhejieru
混合接头	hunhejietou
混合路径	hunhelujing
混频	hunpin
混频器	hunpinqi
混响室	hunxiangshi
混淆区	hunxiaoqu
霍耳迁移率	huoerqianyilv
霍尔特系统	huoertexitong
霍耳效应器件	huoerxiaoyingqijian
或非门	huofeimen
火花检漏仪	huohuajianlouyi
火花室	huohuashi
火花探测器	huohuatanceqi
火控雷达	huokongleida
获能腔	huonengqiang
活时间	huoshijian
活性物质	huoxingwuzhi
基板	jiban
基本接入	jibenjieru
基本模式	jibenmoshi
基本时限	jibenshixian
基本噪声	jibenzaosheng
急变时间	jibianshijian
基波	jibo
极长波通信	jichangbotongxin
机场监视雷达	jichangjianshileida
集成电感器	jichengdianganqi
集成电路	jichengdianlu
集成度	jichengdu
集成二极管太阳电池	jichengerjiguantaiyangdianchi
集成光电子学	jichengguangdianzixue
集成光学	jichengguangxue
集成敏感器	jichengminganqi
集成注入逻辑	jichengzhuruluoji
击穿	jichuan
击穿电压	jichuandianya
击穿强度	jichuanqiangdu
肌磁描记术	jicimiaojishu
寄存器	jicunqi
极大值原理	jidazhiyuanli
基带传输	jidaichuanshu
基带频率	jidaipinlv
基带信号	jidaixinhao
极低频通信	jidipintongxin
基地站	jidizhan
极点	jidian
集电极	jidianji
集电结	jidianjie
肌电描记术	jidianmiaojishu
机电耦合系数	jidianouhexishu
继电器	jidianqi
集电区	jidianqu
机电调向	jidiantiaoxiang
机动性	jidongxing
基尔霍夫定律	jierhuofudinglv
积分电路	jifendianlu
集肤效应	jifuxiaoying
极高频通信	jigaopintongxin
妓瓜窒	jiguazhi
激光泵浦	jiguangbengpu
激光测距	jiguangceju
激光测云仪	jiguangceyunyi
激光传输	jiguangchuanshu
激光打孔	jiguangdakong
激光淀积	jiguangdianji
激光多普勒雷达	jiguangduopuleleida
激光二极管	jiguangerjiguan
激光放大器	jiguangfangdaqi
激光干涉仪	jiguanggansheyi
激光感生	jiguanggansheng
激光焊接	jiguanghanjie
激光航道标	jiguanghangdaobiao
激光核聚变	jiguanghejubian
激光加工	jiguangjiagong
激光键合	jiguangjianhe
激光刻槽	jiguangkecao
激光雷达	jiguangleida
激光破碎	jiguangposui
激光器	jiguangqi
激光切割	jiguangqiege
激光染料	jiguangranliao
激光损伤	jiguangsunshang
激光通信	jiguangtongxin
激光退火	jiguangtuihuo
激光陀螺	jiguangtuoluo
激光线宽	jiguangxiankuan
激光显示	jiguangxianshi
激光引发等离子体	jiguangyinfadengliziti
激光再结晶	jiguangzaijiejing
激光振荡器	jiguangzhendangqi
激光振荡条件	jiguangzhendangtiaojian
激光蒸发	jiguangzhengfa
机柜连接器	jiguilianjieqi
几何码	jihema
几何因子	jiheyinzi
极化	jihua
极化分集	jihuafenji
极化继电器	jihuajidianqi
激活	jihuo
激活光纤	jihuoguangxian
激活媒质	jihuomeizhi
激活能	jihuoneng
基极	jiji
极间电容	jijiandianrong
基间平面	jijianpingmian
寂静时间	jijingshijian
积累层	jileiceng
积累接触	jileijiechu
积累区	jileiqu
激励函数	jilihanshu
激励器	jiliqi
级联放大器	jilianfangdaqi
级联码	jilianma
级联综合法	jilianzonghefa
计量	jiliang
计量标准	jiliangbiaozhun
计量单位	jiliangdanwei
剂量计	jiliangji
剂量率计	jilianglvji
计量型检查	jiliangxingjiancha
记录头	jilutou
基模	jimo
机内测试装置	jineiceshizhuangzhi
奇偶校验	jioujiaoyan
基片	jipian
基平面	jipingmian
机器人	jiqiren
机器语言	jiqiyuyan
机器智能	jiqizhineng
基区	jiqu
基区渡越时间	jiquduyueshijian
基区接触	jiqujiechu
基区宽度调制	jiqukuandutiaozhi
基区扩展效应	jiqukuozhanxiaoying
基区输运系数	jiqushuyunxishu
基群	jiqun
基色单元	jisedanyuan
寄生电容	jishengdianrong
寄生发射	jishengfashe
寄生反馈	jishengfankui
寄生回波	jishenghuibo
寄生晶体管	jishengjingtiguan
寄生频率	jishengpinlv
寄生调幅	jishengtiaofu
寄生效应	jishengxiaoying
寄生振荡	jishengzhendang
基矢	jishi
计数触发器	jishuchufaqi
计数管	jishuguan
计数率表	jishulvbiao
计数瓶	jishuping
计数器	jishuqi
计数器描迹仪	jishuqimiaojiyi
计数器望远镜	jishuqiwangyuanjing
计数型检查	jishuxingjiancha
计算机控制	jisuanjikongzhi
计算机通信网	jisuanjitongxinwang
脊髓电描记术	jisuidianmiaojishu
基台	jitai
极限环	jixianhuan
基线恢复	jixianhuifu
基线漂移	jixianpiaoyi
极限真空	jixianzhenkong
极限质量	jixianzhiliang
机械电子学	jixiedianzixue
机械激活电池	jixiejihuodianchi
机械抛光	jixiepaoguang
机械品质因数	jixiepinzhiyinshu
机械扫描	jixiesaomiao
机械扇形扫描	jixieshanxingsaomiao
极性半导体	jixingbandaoti
极性电容器	jixingdianrongqi
脊形喇叭	jixinglaba
挤压	jiya
记忆电路	jiyidianlu
记忆效应	jiyixiaoying
记忆裕度	jiyiyudu
机载雷达	jizaileida
极值控制	jizhikongzhi
集中监控	jizhongjiankong
集中控制	jizhongkongzhi
集中器	jizhongqi
集中衰减器	jizhongshuaijianqi
基准记号	jizhunjihao
集总参数网络	jizongcanshuwangluo
集总模型	jizongmoxing
价带	jiadai
价带顶	jiadaiding
夹断电压	jiaduandianya
假负载	jiafuzai
甲类放大器	jialeifangdaqi
加密	jiami
加密钥	jiamiyao
假目标	jiamubiao
加权曲线	jiaquanquxian
加速常数	jiasuchangshu
加速电容	jiasudianrong
加速实验	jiasushiyan
假想参考连接	jiaxiangcankaolianjie
加压焊接	jiayahanjie
加重传输	jiazhongchuanshu
加重网络	jiazhongwangluo
甲状腺功能仪	jiazhuangxiangongnengyi
渐变光纤	jianbianguangxian
渐变折射率	jianbianzheshelv
简并半导体	jianbingbandaoti
检波	jianbo
检测	jiance
检测概率	jiancegailv
检查批	jianchapi
检查钻孔层	jianchazuankongceng
舰船停靠系统	jianchuantingkaoxitong
检错码	jiancuoma
检定	jianding
鉴定试验	jiandingshiyan
间断观察	jianduanguancha
间隔标准	jiangebiaozhun
键合点	jianhedian
监护病室	jianhubingshi
间接带隙半导体	jianjiedaixibandaoti
间接复合	jianjiefuhe
渐近稳定性	jianjinwendingxing
简立方	jianlifang
检流计	jianliuji
检漏	jianlou
检漏气体	jianlouqiti
检漏试验	jianloushiyan
检漏仪	jianlouyi
减落因数	jianluoyinshu
键盘	jianpan
键盘开关	jianpankaiguan
鉴频	jianpin
鉴频鉴相	jianpinjianxiang
鉴频器	jianpinqi
坚韧性	jianrenxing
兼容性	jianrongxing
溅射	jianshe
溅射离子泵	jianshelizibeng
监视雷达	jianshileida
检索业务	jiansuoyewu
间隙	jianxi
碱洗	jianxi
间隙扩散	jianxikuosan
鉴相	jianxiang
检相	jianxiang
鉴相器	jianxiangqi
检相器	jianxiangqi
间歇放电	jianxiefangdian
间歇振荡器	jianxiezhendangqi
碱性锌锰电池	jianxingxinmengdianchi
碱性蓄电池	jianxingxudianchi
减压氧化	jianyayanghua
简约关联矩阵	jianyueguanlianjuzhen
简约信道	jianyuexindao
降额因数	jiangeyinshu
降负荷曲线	jiangfuhequxian
降阶状态观测器	jiangjiezhuangtaiguanceqi
交变潮热试验	jiaobianchaoreshiyan
交叉极化	jiaochajihua
交叉极化干扰	jiaochajihuaganrao
交叉极化鉴别	jiaochajihuajianbie
交叉调制	jiaochatiaozhi
交错定理	jiaocuodingli
交迭	jiaodie
交迭点	jiaodiedian
交迭脉冲列	jiaodiemaichonglie
交付批	jiaofupi
角跟踪	jiaogenzong
胶含量	jiaohanliang
绞合导线	jiaohedaoxian
交互点播电视	jiaohudianbodianshi
交互式结构	jiaohushijiegou
交互型图文	jiaohuxingtuwen
交换机	jiaohuanji
交换局	jiaohuanju
交换网络	jiaohuanwangluo
交换系统	jiaohuanxitong
交换子	jiaohuanzi
交会雷达	jiaohuileida
胶流量	jiaoliuliang
搅模器	jiaomoqi
胶片剂量计	jiaopianjiliangji
焦平面阵列	jiaopingmianzhenlie
交收检查	jiaoshoujiancha
交替码	jiaotima
交调	jiaotiao
角位移	jiaoweiyi
校验位	jiaoyanwei
校验指令	jiaoyanzhiling
胶渣	jiaozha
校正	jiaozheng
校正网络	jiaozhengwangluo
校正子	jiaozhengzi
交织码	jiaozhima
交织文法	jiaozhiwenfa
交轴电压	jiaozhoudianya
交轴输出阻抗	jiaozhoushuchuzukang
角锥喇叭天线	jiaozhuilabatianxian
校准	jiaozhun
校准带	jiaozhundai
校准漏孔	jiaozhunloukong
校准因数	jiaozhunyinshu
捷变频磁控管	jiebianpincikongguan
结侧壁	jiecebi
接触导线	jiechudaoxian
接触电势	jiechudianshi
接触电阻	jiechudianzu
接触件	jiechujian
接触孔	jiechukong
接触式曝光法	jiechushibaoguangfa|jiechushipuguangfa
接触式活塞	jiechushihuosai
接触式掩模	jiechushiyanmo
接地平面	jiedipingmian
节点	jiedian
介电	jiedian
结点	jiedian
介电常数	jiedianchangshu
结点分析法	jiedianfenxifa
介电强度	jiedianqiangdu
结电容	jiedianrong
介电损耗	jiediansunhao
介电陶瓷	jiediantaoci
结电阻	jiedianzu
结隔离	jiegeli
结构式传感器	jiegoushichuanganqi
结构组态	jiegouzutai
结环行器	jiehuanxingqi
截获概率	jiehuogailv
结间距	jiejianju
接近式曝光法	jiejinshibaoguangfa|jiejinshipuguangfa
洁净室	jiejingshi
洁净台	jiejingtai
解卷积	jiejuanji
接口	jiekou
接口规范	jiekouguifan
解理	jieli
接力站	jielizhan
解码	jiema
解码器	jiemaqi
解密	jiemi
界面态	jiemiantai
界面陷阱电荷	jiemianxianjingdianhe
接入	jieru
接入规约	jieruguiyue
接入控制	jierukongzhi
介入损耗	jierusunhao
结深	jieshen
接收	jieshou
接收机	jieshouji
结探测器	jietanceqi
阶梯天线	jietitianxian
解调	jietiao
接通率	jietonglv
截尾检查	jieweijiancha
解吸	jiexi
结型场效应管	jiexingchangxiaoyingguan
阶跃电压	jieyuedianya
阶跃恢复二极管	jieyuehuifuerjiguan
阶跃折射率	jieyuezheshelv
介质	jiezhi
截止波长	jiezhibochang
介质波导	jiezhibodao
截止波导	jiezhibodao
截止电压	jiezhidianya
截止阀	jiezhifa
介质隔离	jiezhigeli
介质击穿	jiezhijichuan
介质极化	jiezhijihua
截止频率	jiezhipinlv
介质强度	jiezhiqiangdu
截止式衰减器	jiezhishishuaijianqi
介质天线	jiezhitianxian
介质吸收	jiezhixishou
近场区	jinchangqu
紧充码	jinchongma
禁带	jindai
金红石瓷	jinhongshici
进近窗口	jinjinchuangkou
进近着陆系统	jinjinzhuoluxitong
近晶相液晶	jinjingxiangyejing
浸没式电子枪	jinmoshidianziqiang
浸没透镜	jinmotoujing
浸没物镜	jinmowujing
浸镍金	jinniejin
紧耦合	jinouhe
金手指斜边	jinshouzhixiebian
金属	jinshu
金属半导体	jinshubandaoti
金属玻璃釉电阻器	jinshuboliyoudianzuqi
金属带	jinshudai
金属封装	jinshufengzhuang
金属化	jinshuhua
金属化孔	jinshuhuakong
金属化纸介电容器	jinshuhuazhijiedianrongqi
金属间化合物半导体	jinshujianhuahewubandaoti
金属空气电池	jinshukongqidianchi
金属膜电位器	jinshumodianweiqi
金属膜电阻器	jinshumodianzuqi
金属软磁材料	jinshuruancicailiao
金属有机	jinshuyouji
金属蒸气激光器	jinshuzhengqijiguangqi
近贴聚焦	jintiejujiao
进位输出	jinweishuchu
进位输入	jinweishuru
晶胞	jingbao
静磁泵	jingcibeng
静磁表面波	jingcibiaomianbo
静磁波	jingcibo
静电保护	jingdianbaohu
静电存储管	jingdiancunchuguan
静电放电损伤	jingdianfangdiansunshang
静电计	jingdianji
静电控制	jingdiankongzhi
静电透镜	jingdiantoujing
晶锭研磨	jingdingyanmo
晶格	jingge
晶格常数	jinggechangshu
晶格畸变	jinggejibian
晶格结构	jinggejiegou
晶格结合力	jinggejieheli
晶格匹配	jinggepipei
晶格缺陷	jinggequexian
径迹探测器	jingjitanceqi
精密测距器	jingmicejuqi
精密电位器	jingmidianweiqi
精密电阻器	jingmidianzuqi
精密度	jingmidu
精密伏尔	jingmifuer
精密进场雷达	jingmijinchangleida
晶面	jingmian
净面积	jingmianji
静摩擦力矩	jingmocaliju
经皮电刺激	jingpidianciji
晶片	jingpian
晶片波动方程	jingpianbodongfangcheng
镜频干扰	jingpinganrao
警旗	jingqi
精缩	jingsuo
晶体	jingti
晶体管	jingtiguan
晶体管电动机	jingtiguandiandongji
晶体管解调	jingtiguanjietiao
晶体管老化	jingtiguanlaohua
晶体管逻辑	jingtiguanluoji
晶体光纤	jingtiguangxian
晶体混频器	jingtihunpinqi
晶体滤波器	jingtilvboqi
晶体生长	jingtishengzhang
晶体振荡器	jingtizhendangqi
晶向	jingxiang
镜象参数	jingxiangcanshu
镜象平面	jingxiangpingmian
径向线	jingxiangxian
镜象抑制比	jingxiangyizhibi
镜象原理	jingxiangyuanli
晶闸管	jingzhaguan
静止图象广播	jingzhituxiangguangbo
纠错编码	jiucuobianma
纠错码	jiucuoma
纠突发错误码	jiutufacuowuma
锯齿波形	juchiboxing
锯齿形电压	juchixingdianya
聚光太阳电池	juguangtaiyangdianchi
聚合物半导体	juhewubandaoti
聚焦	jujiao
矩角位移特性	jujiaoweiyitexing
拒绝域	jujueyu
距离标志	julibiaozhi
居里点	julidian
居里温度	juliwendu
距离噪声	julizaosheng
巨脉冲激光器	jumaichongjiguangqi
巨脉冲技术	jumaichongjishu
巨屏幕显示	jupingmuxianshi
巨群	juqun
拒收	jushou
聚束管	jushuguan
矩形波导	juxingbodao
矩形窗	juxingchuang
矩形脉冲	juxingmaichong
局域网	juyuwang
矩阵接收机	juzhenjieshouji
矩阵显示	juzhenxianshi
卷积	juanji
卷积定理	juanjidingli
卷积码	juanjima
涓流充电	juanliuchongdian
决策	juece
决策函数	juecehanshu
决断高度	jueduangaodu
绝对电势	jueduidianshi
绝对电压降	jueduidianyajiang
绝对抖动	jueduidoudong
绝对高度	jueduigaodu
绝对静电单位	jueduijingdiandanwei
绝对静电计	jueduijingdianji
绝对误差	jueduiwucha
绝对压力	jueduiyali
绝对真空计	jueduizhenkongji
绝对转速变动	jueduizhuansubiandong
绝对准确度	jueduizhunquedu
绝缘电阻	jueyuandianzu
绝缘电阻表	jueyuandianzubiao
绝缘硅	jueyuangui
绝缘栅	jueyuanshan
绝缘体	jueyuanti
绝缘阻抗	jueyuanzukang
均衡器	junhengqi
均匀线	junyunxian
均匀展宽	junyunzhankuan
卡尔曼滤波器	kaermanlvboqi
卡皮管	kapiguan
卡普线	kapuxian
凯尔系数	kaierxishu
开关电路	kaiguandianlu
开关电容器	kaiguandianrongqi
开关二极管	kaiguanerjiguan
开关晶体管	kaiguanjingtiguan
开关时间	kaiguanshijian
开关损耗	kaiguansunhao
开关网络	kaiguanwangluo
开关指令	kaiguanzhiling
开环	kaihuan
开环带宽	kaihuandaikuan
开环控制	kaihuankongzhi
开环频率响应	kaihuanpinlvxiangying
开路电压	kailudianya
开路线	kailuxian
开路终端	kailuzhongduan
抗饱和型逻辑	kangbaohexingluoji
抗剥强度	kangboqiangdu
抗磁性	kangcixing
康复工程	kangfugongcheng
抗腐蚀剂	kangfushiji
抗彗尾枪	kanghuiweiqiang
康普顿效应	kangpudunxiaoying
抗烧毁能量	kangshaohuinengliang
抗蚀剂掩模	kangshijiyanmo
抗撕强度	kangsiqiangdu
康索尔系统	kangsuoerxitong
抗噪声传声器	kangzaoshengchuanshengqi
可饱和吸收	kebaohexishou
可编程逻辑阵列	kebianchengluojizhenlie
可编程遥测	kebianchengyaoce
可变电感器	kebiandianganqi
可变电容器	kebiandianrongqi
可变阈逻辑	kebianyuluoji
可擦编程只读存储器	kecabianchengzhiducunchuqi
可擦取存储器	kecaqucunchuqi
可达区域	kedaquyu
可达信息率	kedaxinxilv
可达性	kedaxing
可懂度	kedongdu
可动离子	kedonglizi
可动缺陷	kedongquexian
克尔盒	keerhe
克尔效应	keerxiaoying
可观测性	keguancexing
可关断可控硅元件	keguanduankekongguiyuanjian
可焊性试验	kehanxingshiyan
客户原稿	kehuyuangao
可及性	kejixing
可见度系数	kejianduxishu
可靠度	kekaodu
可靠寿命	kekaoshouming
可靠性	kekaoxing
可靠性认证	kekaoxingrenzheng
可靠性试验	kekaoxingshiyan
可控硅	kekonggui
可控硅整流器	kekongguizhengliuqi
可控性	kekongxing
可逆定标器	kenidingbiaoqi
克努森数	kenusenshu
克努森真空计	kenusenzhenkongji
可渗透基区	keshentoujiqu
刻蚀	keshi
可视电话	keshidianhua
刻蚀剂	keshiji
可视区	keshiqu
可视图文	keshituwen
可维护性	keweihuxing
可信性	kexinxing
可用性	keyongxing
孔槽形谐振腔	kongcaoxingxiezhenqiang
空串	kongchuan
空分多址	kongfenduozhi
空分复用	kongfenfuyong
空分制交换	kongfenzhijiaohuan
空管	kongguan
空管雷达	kongguanleida
空号	konghao
空基导航	kongjidaohang
空间电荷	kongjiandianhe
空间电荷波	kongjiandianhebo
空间电荷栅极	kongjiandianheshanji
空间点阵	kongjiandianzhen
空间电子学	kongjiandianzixue
空间分集	kongjianfenji
空间通信	kongjiantongxin
空间谐波	kongjianxiebo
孔径	kongjing
空速	kongsu
空位	kongwei
空位流	kongweiliu
空位团	kongweituan
空心导线	kongxindaoxian
空心电子束	kongxindianzishu
空穴	kongxue
空穴陷阱	kongxuexianjing
空域划分	kongyuhuafen
控制规程	kongzhiguicheng
控制论	kongzhilun
控制栅极	kongzhishanji
控制指令	kongzhizhiling
空中交通管制	kongzhongjiaotongguanzhi
扣式电池	koushidianchi
跨导	kuadao
快波	kuaibo
快界面态	kuaijiemiantai
快离子导电	kuailizidaodian
快时间控制	kuaishijiankongzhi
快速充电	kuaisuchongdian
快速反应能力	kuaisufanyingnengli
快速分组交换	kuaisufenzujiaohuan
宽带放大器	kuandaifangdaqi
馈线	kuixian
馈源	kuiyuan
扩频多址	kuopinduozhi
扩频通信	kuopintongxin
扩频遥控	kuopinyaokong
扩散	kuosan
扩散泵	kuosanbeng
扩散电容	kuosandianrong
扩散工艺	kuosangongyi
扩散激活能	kuosanjihuoneng
扩散控制	kuosankongzhi
扩散势	kuosanshi
扩散系数	kuosanxishu
扩展电阻	kuozhandianzu
扩展码	kuozhanma
扩展频谱	kuozhanpinpu
扩展器	kuozhanqi
喇叭	laba
喇叭反射天线	labafanshetianxian
喇叭天线	labatianxian
拉曼激光器	lamanjiguangqi
拉曼效应	lamanxiaoying
拉莫尔旋动	lamoerxuandong
拉平计算机	lapingjisuanji
拉平引导单元	lapingyindaodanyuan
拉脱强度	latuoqiangdu
来复接收机	laifujieshouji
兰姆凹陷	lanmuaoxian
兰姆消噪电路	lanmuxiaozaodianlu
朗道阻尼	langdaozuni
浪涌电流	langyongdianliu
浪涌电压	langyongdianya
浪涌能力	langyongnengli
老化	laohua
劳森判据	laosenpanju
劳斯	laosi
捞型	laoxing
类别电压	leibiedianya
雷达	leida
雷达地平线	leidadipingxian
雷达点迹	leidadianji
雷达对抗	leidaduikang
雷达反侦察	leidafanzhencha
雷达方程	leidafangcheng
雷达仿真器	leidafangzhenqi
雷达分辨力	leidafenbianli
雷达航迹	leidahangji
雷达回波	leidahuibo
雷达截面积	leidajiemianji
雷达领航	leidalinghang
雷达模拟器	leidamoniqi
雷达数据库	leidashujuku
雷达探测距离	leidatancejuli
雷达天文学	leidatianwenxue
雷达网	leidawang
雷达威力图	leidaweilitu
雷达显示器	leidaxianshiqi
雷达诱饵	leidayouer
雷达站	leidazhan
雷达中继	leidazhongji
雷达转发器	leidazhuanfaqi
累积故障概率	leijiguzhanggailv
累积和图	leijihetu
累积频数	leijipinshuo
累积失效概率	leijishixiaogailv
累接阻抗	leijiezukang
雷诺数	leinuoshu
冷壁反应器	lengbifanyingqi
冷冻升华阱	lengdongshenghuajing
冷焊	lenghan
冷焊点	lenghandian
冷阱	lengjing
冷凝泵	lengningbeng
冷阴极	lengyinji
棱柱形位错环	lengzhuxingweicuohuan
励磁电压	licidianya
里德二极管	lideerjiguan
锂电池	lidianchi
锂碘电池	lidiandianchi
励弧管	lihuguan
里卡蒂方程	likadifangcheng
厘米波	limibo
厘米波通信	limibotongxin
力敏感器	liminganqi
黎帕管	lipaguan
李普曼全息术	lipumanquanxishu
离散分布	lisanfenbu
离散时间系统	lisanshijianxitong
离散时域信号	lisanshiyuxinhao
离散希尔伯特变换	lisanxierbotebianhuan
离散余弦变换	lisanyuxianbianhuan
离散指令	lisanzhiling
立体电视	litidianshi
立体声	litisheng
立体声唱片	litishengchangpian
立体声电视	litishengdianshi
立体声广播	litishengguangbo
立体显示	litixianshi
理想媒质	lixiangmeizhi
理想频域滤波器	lixiangpinyulvboqi
离心试验	lixinshiyan
例行试验	lixingshiyan
锂蓄电池	lixudianchi
力学试验	lixueshiyan
离轴全息术	lizhouquanxishu
离子	lizi
离子斑	liziban
离子镀	lizidu
离子管	liziguan
离子轰击	lizihongji
离子回旋共振加热	lizihuixuangongzhenjiare
离子晶体半导体	lizijingtibandaoti
离子刻蚀	lizikeshi
离子敏感器	liziminganqi
离子磨削	lizimoxue
离子声激波	lizishengjibo
离子束淀积	lizishudianji
离子束镀	lizishudu
粒子数反转	lizishufanzhuan
粒子数反转分布	lizishufanzhuanfenbu
离子束光刻	lizishuguangke
离子束抛光	lizishupaoguang
离子束外延	lizishuwaiyan
离子束蒸发	lizishuzhengfa
离子团束淀积	lizituanshudianji
离子团束外延	lizituanshuwaiyan
离子微分析	liziweifenxi
离子铣	lizixi
离子性污染	lizixingwuran
离子源	liziyuan
离子振荡	lizizhendang
离子注入	lizizhuru
离子注入机	lizizhuruji
连环码	lianhuanma
联机	lianji
连接	lianjie
连接力矩	lianjieliju
链接码	lianjiema
连接盘	lianjiepan
连接器	lianjieqi
链接综合法	lianjiezonghefa
链路	lianlu
链码	lianma
廉幕印刷	lianmuyinshua
连续波磁控管	lianxubocikongguan
连续波发射机	lianxubofasheji
连续波雷达	lianxuboleida
连续波调制	lianxubotiaozhi
连续堵转电流	lianxuduzhuandianliu
连续分布	lianxufenbu
连续性条件	lianxuxingtiaojian
连续指令	lianxuzhiling
量程	liangcheng
亮度	liangdu
亮度温度	liangduwendu
梁式引线	liangshiyinxian
两性杂质	liangxingzazhi
量子电子学	liangzidianzixue
列表码	liebiaoma
列译码器	lieyimaqi
磷光	linguang
磷硅玻璃	linguiboli
临界波长	linjiebochang
临界功率	linjiegonglv
临界频率	linjiepinlv
临界阻尼	linjiezuni
磷酸二氘钾	linsuanerdaojia
磷酸二氢铵	linsuanerqingan
磷酸二氢钾	linsuanerqingjia
磷酸燃料电池	linsuanranliaodianchi
零差检测	lingchajiance
零带隙半导体	lingdaixibandaoti
零道阈	lingdaoyu
零点	lingdian
零电位	lingdianwei
零点型测向	lingdianxingcexiang
零点移位法	lingdianyiweifa
零极点相消	lingjidianxiangxiao
零记忆信道	lingjiyixindao
零记忆信源	lingjiyixinyuan
零假设	lingjiashe
零件孔	lingjiankong
零件面	lingjianmian
零交叉检测器	lingjiaochajianceqi
零阶保持器	lingjiebaochiqi
灵敏电流计	lingmindianliuji
灵敏度	lingmindu
灵敏度时间控制	lingmindushijiankongzhi
灵巧敏感器	lingqiaominganqi
零任偶	lingrenou
零散	lingsan
零探测概率	lingtancegailv
零位电压	lingweidianya
零位误差	lingweiwucha
零温度系数点	lingwenduxishudian
零误差系统	lingwuchaxitong
零子	lingzi
流导	liudao
流导法	liudaofa
流动式	liudongshi
流光室	liuguangshi
硫化锑视象管	liuhuatishixiangguan
流量	liuliang
流量控制	liuliangkongzhi
流率	liulv
流密码	liumima
硫酸三甘肽	liusuansangantai
流星余迹通信	liuxingyujitongxin
流阻	liuzu
笼形天线	longxingtianxian
漏波天线	loubotianxian
漏感	lougan
漏过功率	louguogonglv
漏极电导	loujidiandao
漏警概率	loujinggailv
漏率	loulv
漏失	loushi
漏同步	loutongbu
漏泄同轴电缆	louxietongzhoudianlan
漏指令	louzhiling
鲁棒性	lubangxing
露点试验	ludianshiyan
路径	lujing
录取标志	luqubiaozhi
录取显示器	luquxianshiqi
卤素计数器	lusujishuqi
卤素检漏仪	lusujianlouyi
录象带	luxiangdai
录象机	luxiangji
录象头	luxiangtou
录音机	luyinji
路由	luyou
路由控制中心	luyoukongzhizhongxin
路由器	luyouqi
录制	luzhi
孪晶	luanjing
孪晶间界	luanjingjianjie
罗茨真空泵	luocizhenkongbeng
裸导线	luodaoxian
罗尔特	luoerte
裸规	luogui
络合物	luohewu
逻辑摆幅	luojibaifu
逻辑电路	luojidianlu
逻辑分析仪	luojifenxiyi
逻辑模拟	luojimoni
逻辑特征分析仪	luojitezhengfenxiyi
罗兰	luolan
罗兰通信	luolantongxin
罗兰转发	luolanzhuanfa
洛沦兹	luolunzi
罗坦系统	luotanxitong
罗谢尔盐	luoxieeryan
螺形位错	luoxingweicuo
螺旋电感	luoxuandiangan
螺旋电位器	luoxuandianweiqi
螺旋慢波线	luoxuanmanboxian
螺旋透镜	luoxuantoujing
螺旋相位天线	luoxuanxiangweitianxian
滤波电容器	lvbodianrongqi
滤波器	lvboqi
铝电解电容器	lvdianjiedianrongqi
铝钝化	lvdunhua
铝空气电池	lvkongqidianchi
铝镍钴永磁体	lvnieguyongciti
率失真函数	lvshizhenhanshu
率失真理论	lvshizhenlilun
铝酸钇激光器	lvsuanyijiguangqi
铝氧化物	lvyanghuawu
码本	maben
码长	machang
码分多址	mafenduozhi
码分复用	mafenfuyong
码间干扰	majianganrao
马兰戈尼数	malangenishu
码率	malv
码生成器	mashengchengqi
码树	mashu
码元同步	mayuantongbu
码字	mazi
码字同步	mazitongbu
码组	mazu
脉搏描记术	maibomiaojishu
埋层	maiceng
脉冲	maichong
脉冲变压器	maichongbianyaqi
脉冲充电	maichongchongdian
脉冲重复频率	maichongchongfupinlv
脉冲串	maichongchuan
脉冲磁控管	maichongcikongguan
脉冲电容器	maichongdianrongqi
脉冲发射机	maichongfasheji
脉冲发生器	maichongfashengqi
脉冲放大器	maichongfangdaqi
脉冲幅度	maichongfudu
脉冲功率	maichonggonglv
脉冲后沿	maichonghouyan
