阿莫科国际石油公司	amokeguojishiyougongsi
群速度	qunsudu
裙桩	qunzhuang
燃点	randian
燃料型炼油厂	ranliaoxinglianyouchang
燃料油	ranliaoyou
燃料油排放罐	ranliaoyoupaifangguan
绕射波层析成象	raoshebocengxichengxiang
绕射反射波	raoshefanshebo
绕射求和	raosheqiuhe
热补偿器	rebuchangqi
热采方法	recaifangfa
热传导液	rechuandaoye
热解色谱法	rejiesepufa
热酸处理	resuanchuli
热稳定性	rewendingxing
热稳聚晶金刚石钻头	rewenjujingjingangshizuantou
热油清蜡车	reyouqinglache
热油循环	reyouxunhuan
热运转	reyunzhuan
人机交互联作解释	renjijiaohulianzuojieshi
人力资源	renliziyuan
任意单位	renyidanwei
人造石油沥青	renzaoshiyouliqing
人字架	renzijia
溶洞	rongdong
溶剂抽提塔	rongjichoutita
溶剂段塞驱	rongjiduansaiqu
溶解气油比	rongjieqiyoubi
溶解烃	rongjieting
溶孔	rongkong
熔融指数	rongrongzhishu
柔软剂	rouruanji
乳化石油	ruhuashiyou
乳化型液压液	ruhuaxingyeyaye
乳化油输送泵	ruhuayoushusongbeng
入级检验	rujijianyan
铷蒸气磁力仪	ruzhengqiciliyi
软磁化	ruancihua
软管起升吊机	ruanguanqishengdiaoji
软管束	ruanguanshu
软沥青	ruanliqing
润滑油	runhuayou
润滑油氧化安定性测定仪	runhuayouyanghuaandingxingcedingyi
润滑脂	runhuazhi
润滑脂滚筒安定性测定仪	runhuazhiguntongandingxingcedingyi
撒粉器	safenqi
塞流反应器	sailiufanyingqi
三臂风车型	sanbifengchexing
三次采油	sancicaiyou
三度三线制	sandusanxianzhi
三度四线制	sandusixianzhi
三分量检波器	sanfenliangjianboqi
三缸单作用泵	sangangdanzuoyongbeng
三距交汇	sanjujiaohui
三氯乙烷	sanlvyiwan
三氯乙烯	sanlvyixi
三年室外耐候性	sannianshiwainaihouxing
伞式流量计	sanshiliuliangji
三萜类	santielei
三维采集系统	sanweicaijixitong
三维处理	sanweichuli
三维地震	sanweidizhen
三维地震数据	sanweidizhenshuju
三维地震学	sanweidizhenxue
三维电视显示	sanweidianshixianshi
三维叠加波场	sanweidiejiabochang
三维共深度点道集	sanweigongshendudiandaoji
三维技术	sanweijishu
三维解释	sanweijieshi
三维静校正	sanweijingxiaozheng
三维偏移	sanweipianyi
三维倾角时差校正	sanweiqingjiaoshichajiaozheng
三维全息	sanweiquanxi
三维射线跟踪	sanweishexiangenzong
三维数据采集	sanweishujucaiji
三维数据集	sanweishujuji
三维数据体	sanweishujuti
三维速度场	sanweisuduchang
三维透视图	sanweitoushitu
三维网格	sanweiwangge
三维显示	sanweixianshi
三维直方图	sanweizhifangtu
三向阀	sanxiangfa
三相分离器	sanxiangfenliqi
扫描电镜	saomiaodianjing
色谱分析	sepufenxi
刹带	shadai
砂滤装置	shalvzhuangzhi
沙漠相	shamoxiang
砂桥卡钻	shaqiaokazuan
沙特阿拉伯	shatealabo
砂岩百分含量	shayanbaifenhanliang
筛面倾角	shaimianqingjiao
筛网	shaiwang
筛析	shaixi
闪点	shandian
山前拗陷盆地	shanqianniuxianpendi
扇三角洲相	shansanjiaozhouxiang
扇形滤波器	shanxinglvboqi
闪云粗面岩	shanyuncumianyan
闪蒸	shanzheng
上超	shangchao
上覆岩层压力	shangfuyancengyali
上胶塞	shangjiaosai
上行波	shangxingbo
上游相对渗透率	shangyouxiangduishentoulv
烧焦试验	shaojiaoshiyan
少量的残剩物	shaoliangdecanshengwu
射孔穿透深度	shekongchuantoushendu
射孔液	shekongye
射流冲击力	sheliuchongjili
射流等速核	sheliudengsuhe
射线参数	shexiancanshu
射线理论	shexianlilun
深度基准	shendujizhun
深度加工	shendujiagong
深感应测井	shenganyingcejing
深冷分离	shenlengfenli
渗流雷诺数	shenliuleinuoshu
砷硫镍矿	shenliuniekuang
渗漏地层	shenloudiceng
深水顶超	shenshuidingchao
伸缩管	shensuoguan
渗透剂	shentouji
渗析作用	shenxizuoyong
深源硫化氢	shenyuanliuhuaqing
声波变密度测井	shengbobianmiducejing
声波测井	shengbocejing
生产测井	shengchancejing
生产分离器	shengchanfenliqi
生产管汇	shengchanguanhui
生产管柱	shengchanguanzhu
生产甲板	shengchanjiaban
生产井	shengchanjing
生产系列控制盘	shengchanxiliekongzhipan
生产压差	shengchanyacha
升沉补偿器	shengchenbuchangqi
升沉补偿装置	shengchenbuchangzhuangzhi
生存条件	shengcuntiaojian
升降条件	shengjiangtiaojian
生物骨架孔隙	shengwugujiakongxi
生物化学生气阶段	shengwuhuaxueshengqijieduan
生物葡聚糖	shengwupujutang
声响信号器	shengxiangxinhaoqi
生油率	shengyoulv
生油指标	shengyouzhibiao
剩余静校正	shengyujingxiaozheng|shengyujingjiaozheng
剩余偏移	shengyupianyi
声阻抗差	shengzukangcha
使表面光洁	shibiaomianguangjie
视表皮系数	shibiaopixishu
适当处理	shidangchuli
十二烷硫醇	shierwanliuchun
时间分辨率	shijianfenbianlv
世界产油国	shijiechanyouguo
试井车	shijingche
试井法	shijingfa
试井解释图版	shijingjieshituban
视觉三色原理	shijuesanseyuanli
石蜡	shila
石蜡含油量	shilahanyouliang
十六烷醇硫酸盐	shiliuwanchunliusuanyan
十六烷值	shiliuwanzhi
试硫液	shiliuye
视密度	shimidu
石棉水泥	shimianshuini
石脑油脱硫装置	shinaoyoutuoliuzhuangzhi
石脑油蒸汽裂解	shinaoyouzhengqiliejie
视倾角	shiqingjiao
时深转换	shishenzhuanhuan
实时处理	shishichuli
视衰减	shishuaijian
实验室分析	shiyanshifenxi
试油	shiyou
石油比重计	shiyoubizhongji
石油捕集作用	shiyoubujizuoyong
石油产地	shiyouchandi
石油产地使用费	shiyouchandishiyongfei
石油产品	shiyouchanpin
石油产品浊点或凝固点测定	shiyouchanpinzhuodianhuoninggudianceding
石油产区	shiyouchanqu
石油城	shiyoucheng
石油抽提	shiyouchouti
石油出口国	shiyouchukouguo
石油的运移	shiyoudeyunyi
石油地质	shiyoudizhi
石油抵制	shiyoudizhi
石油地质储量	shiyoudizhichuliang
石油工程师	shiyougongchengshi
石油公司	shiyougongsi
石油工业部	shiyougongyebu
石油工业情报委员会	shiyougongyeqingbaoweiyuanhui
石油工业委员会	shiyougongyeweiyuanhui
石油管材	shiyouguancai
石油管路	shiyouguanlu
石油含量	shiyouhanliang
石油和天然气开发公司	shiyouhetianranqikaifagongsi
石油化工厂	shiyouhuagongchang
石油化学合成	shiyouhuaxuehecheng
石油火焰	shiyouhuoyan
石油基地	shiyoujidi
石油积聚	shiyoujiju
石油及天然气地质学	shiyoujitianranqidizhixue
石油加工	shiyoujiagong
石油加工化学	shiyoujiagonghuaxue
石油焦	shiyoujiao
石油交易所	shiyoujiaoyisuo
石油禁运	shiyoujinyun
石油经纪人	shiyoujingjiren
石油聚集	shiyoujuji
石油菌	shiyoujun
石油开采工	shiyoukaicaigong
石油开采技术研究协会	shiyoukaicaijishuyanjiuxiehui
石油开采业	shiyoukaicaiye
石油开发	shiyoukaifa
石油勘探	shiyoukantan
石油勘探工作者	shiyoukantangongzuozhe
石油矿床	shiyoukuangchuang
石油沥青	shiyouliqing
石油沥青防腐层	shiyouliqingfangfuceng
石油沥青延伸度测定仪	shiyouliqingyanshenducedingyi
石油裂解焦油	shiyouliejiejiaoyou
石油裂解气	shiyouliejieqi
石油馏分	shiyouliufen
石油论坛	shiyouluntan
石油美元	shiyoumeiyuan
石油醚	shiyoumi
石油逆差	shiyounicha
石油汽	shiyouqi
石油侵位	shiyouqinwei
石油燃料	shiyouranliao
石油燃烧造成的火灾	shiyouranshaozaochengdehuozai
石油热	shiyoure
石油溶剂油	shiyourongjiyou
石油设备	shiyoushebei
石油输出国组织	shiyoushuchuguozuzhi
石油输送	shiyoushusong
石油树脂	shiyoushuzhi
石油酸类	shiyousuanlei
石油特性	shiyoutexing
石油特许权	shiyoutexuquan
石油天然气管道	shiyoutianranqiguandao
石油天然汽开采	shiyoutianranqikaicai
石油桶数	shiyoutongshu
石油脱蜡	shiyoutuola
石油脱水	shiyoutuoshui
石油脱水器	shiyoutuoshuiqi
石油危机	shiyouweiji
石油消费国	shiyouxiaofeiguo
石油销售站	shiyouxiaoshouzhan
石油信息委员会	shiyouxinxiweiyuanhui
石油需求	shiyouxuqiu
石油学	shiyouxue
石油荧光	shiyouyingguang
石油专业词汇	shiyouzhuanyecihui
石油浊点测定仪	shiyouzhuodiancedingyi
石油资源保护	shiyouziyuanbaohu
试注	shizhu
十字排列装置	shizipailiezhuangzhi
示踪剂	shizongji
示踪剂突破时间	shizongjituposhijian
首波	shoubo
手动球阀	shoudongqiufa
手动闸阀	shoudongzhafa
收发球筒	shoufaqiutong
收发油损耗	shoufayousunhao
艏尖压载舱	shoujianyazaicang
收敛压力	shoulianyali
收缩变形	shousuobianxing
售油立管	shouyouliguan
束缚水	shufushui
数据采集单元	shujucaijidanyuan
数据减化和处理设备	shujujianhuahechulishebei
数据链	shujulian
疏浚	shujun
疏浚浮标	shujunfubiao
输气管道	shuqiguandao
输送顺序	shusongshunxu
输油泵	shuyoubeng
输油管道	shuyouguandao
输油末站	shuyoumozhan
数字传输	shuzichuanshu
数字磁带测井记录仪	shuzicidaicejingjiluyi
数字记录测井仪	shuzijilucejingyi
数字记录仪	shuzijiluyi
数字型钻杆接头	shuzixingzuanganjietou
衰竭区	shuaijiequ
双边离开排列	shuangbianlikaipailie
双层取心筒	shuangcengquxintong
双根	shuanggen
双罐砾石充填过滤装置	shuangguanlishichongtianguolvzhuangzhi
双金属重整催化剂	shuangjinshuchongzhengcuihuaji
双金属缸套	shuangjinshugangtao
双矿物模型	shuangkuangwumoxing
双缆单源法	shuanglandanyuanfa
双螺杆挤出机	shuangluoganjichuji
双盘浮船	shuangpanfuchuan
双曲线方式	shuangquxianfangshi
双水模型	shuangshuimoxing
双筒井	shuangtongjing
双线控制井下安全阀	shuangxiankongzhijingxiaanquanfa
双液法调剖剂	shuangyefatiaopouji
双翼控制头	shuangyikongzhitou
双油管采油井口	shuangyouguancaiyoujingkou
双闸板防喷器	shuangzhabanfangpenqi
双作用抽油泵	shuangzuoyongchouyoubeng
双作用式水力活塞泵	shuangzuoyongshishuilihuosaibeng
水包油型清蜡剂	shuibaoyouxingqinglaji
水底拖管法	shuidituoguanfa
水动力圈闭	shuidongliquanbi
水封	shuifeng
水灰比	shuihuibi
水基钻井液	shuijizuanjingye
水净化	shuijinghua
水力活塞泵	shuilihuosaibeng
水力效率	shuilixiaolv
水力压缩式封隔器	shuiliyasuoshifenggeqi
水硫酸铜	shuiliusuantong
水龙头	shuilongtou
水龙头额定工作载荷	shuilongtouedinggongzuozaihe
水龙头中心管	shuilongtouzhongxinguan
水镁矾	shuimeifan
水敏性评价	shuiminxingpingjia
水泥池	shuinichi
水泥窜槽	shuinicuancao
水泥减轻外掺料	shuinijianqingwaichanliao
水泥浆	shuinijiang
水泥浆流变学	shuinijiangliubianxue
水泥浆泥浆隔离液配伍性	shuinijiangnijianggeliyepeiwuxing
水泥膨胀剂	shuinipengzhangji
水泥砂浆	shuinishajiang
水泥外加剂	shuiniwaijiaji
水泥造浆量	shuinizaojiangliang
水平定向钻机	shuipingdingxiangzuanji
水平极性	shuipingjixing
水平裂缝	shuipingliefeng
水枪	shuiqiang
水侵	shuiqin
水侵系数	shuiqinxishu
水驱比	shuiqubi
水渠发送道	shuiqufasongdao
水驱气藏	shuiquqicang
水系	shuixi
水系分析	shuixifenxi
水系格局	shuixigeju
水系特征	shuixitezheng
水系样式	shuixiyangshi
水下安装	shuixiaanzhuang
水下常压工作站	shuixiachangyagongzuozhan
水下出油管线	shuixiachuyouguanxian
水下粘合	shuixianianhe
水下摄象机起下装置	shuixiashexiangjiqixiazhuangzhi
水下释放塞注水泥系统	shuixiashifangsaizhushuinixitong
水下系泊装置	shuixiaxibozhuangzhi|shuixiajibozhuangzhi
水压驱动	shuiyaqudong
水淹气井	shuiyanqijing
水质标准	shuizhibiaozhun
瞬变磁场	shunbiancichang
顺磁磁化率	shuncicihualv
瞬时浮点增益	shunshifudianzengyi
瞬时属性	shunshishuxing
顺应式结构	shunyingshijiegou
四臂地层倾角仪	sibidicengqingjiaoyi
四臂井径仪测井	sibijingjingyicejing
四环萜烷	sihuantiewan
四甲基二苯并噻吩	sijiajierbenbingsaifen
四甲基一戊烯	sijiajiyiwuxi
丝扣粘结剂	sikounianjieji
死绳固定器	sishenggudingqi
丝质体	sizhiti
司钻	sizuan
司钻房	sizuanfang
司钻控制台	sizuankongzhitai
速度检波器	sudujianboqi
速度门值	sudumenzhi
速度谱	sudupu
速度深度模型	sudushendumoxing
速度下拉	suduxiala
酸处理	suanchuli
酸化压裂泵	suanhuayaliebeng
酸基压裂液	suanjiyalieye
酸溶性完井液	suanrongxingwanjingye
酸式硫酸盐	suanshiliusuanyan
酸性岩类	suanxingyanlei
酸岩反应静态试验	suanyanfanyingjingtaishiyan
酸岩反应速率	suanyanfanyingsulv
算子	suanzi
随机噪声	suijizaosheng
碎屑岩	suixieyan
碎屑岩类储集层	suixieyanleichujiceng
随钻测量	suizuanceliang
随钻测量仪	suizuanceliangyi
羧甲基淀粉	suojiajidianfen
羧甲基纤维素	suojiajixianweisu
缩孔	suokong
索拉油	suolayou
缩硫醇	suoliuchun
缩硫醛	suoliuquan
塔顶馏出物	tadingliuchuwu
台背斜	taibeixie
台地前缘斜坡相	taidiqianyuanxiepoxiang
钛铁矿	taitiekuang
太阳油	taiyangyou
弹簧加压气举阀	tanhuangjiayaqijufa
探坑	tankeng
弹性介质	tanxingjiezhi
碳质沥青	tanzhiliqing
滩状地震相	tanzhuangdizhenxiang
套管	taoguan
套管补贴	taoguanbutie
套管长圆螺纹	taoguanchangyuanluowen
套管灌泥浆装置	taoguanguannijiangzhuangzhi
套管接箍	taoguanjiegu
套管钻进	taoguanzuanjin
套管钻井	taoguanzuanjing
套筒气枪	taotongqiqiang
特大油气田	tedayouqitian
提环	tihuan
提捞	tilao
梯形螺纹	tixingluowen
替载电阻	tizaidianzu
天车台	tianchetai
添加物	tianjiawu
天然金刚石取心钻头	tianranjingangshiquxinzuantou
天然聚合物	tianranjuhewu
天然硫砷化铂	tianranliushenhuabo
天然硫酸铜	tianranliusuantong
天然气产量	tianranqichanliang
天然气成因类型	tianranqichengyinleixing
天然气导热系数	tianranqidaorexishu
天然气密度	tianranqimidu
天然气热裂解	tianranqireliejie
天然气脱硫	tianranqituoliu
天然气压缩系数	tianranqiyasuoxishu
天然气引射器	tianranqiyinsheqi
天线位置控制机构	tianxianweizhikongzhijigou
调节阀	tiaojiefa
调节剂	tiaojieji
调向叠加	tiaoxiangdiejia
铁磁性岩墙侵入体	tiecixingyanqiangqinruti
烃相	tingxiang
通风橱	tongfengchu
通风装置	tongfengzhuangzhi
通井	tongjing
通径	tongjing
通井规	tongjinggui
通径规	tongjinggui
通径规检验过的套管	tongjingguijianyanguodetaoguan
通径检验	tongjingjianyan
铜硫酸铜半电极	tongliusuantongbandianji
同期运移	tongqiyunyi
同生作用	tongshengzuoyong
同态滤波	tongtailvbo
同相轴	tongxiangzhou
同相轴合并	tongxiangzhouhebing
通信集成管	tongxinjichengguan
同心圆观测	tongxinyuanguance
通用导向架	tongyongdaoxiangjia
通用聚苯乙烯	tongyongjubenyixi
通用内燃机油	tongyongneiranjiyou
透光率	touguanglv
透镜状结构	toujingzhuangjiegou
透平膨胀机	toupingpengzhangji
投球压裂	touqiuyalie
突变压实阶段	tubianyashijieduan
涂漆	tuqi
土壤电阻率	turangdianzulv
土壤腐蚀	turangfushi
土壤盐测量	turangyanceliang
推测储量	tuicechuliang
退汞效率	tuigongxiaolv
脱除硫醇	tuochuliuchun
脱硫	tuoliu
脱硫催化剂	tuoliucuihuaji
脱硫弧菌	tuoliuhujun
脱硫弧菌属	tuoliuhujunshu
脱硫塔	tuoliuta
脱硫作用	tuoliuzuoyong
脱模剂	tuomoji
脱砂压力	tuoshayali
脱水器	tuoshuiqi
脱水石油	tuoshuishiyou
脱盐石油	tuoyanshiyou
脱氧塔	tuoyangta
拖曳者	tuoyezhe
脱乙烷	tuoyiwan
拖引断层	tuoyinduanceng
挖掘	wajue
挖掘效应	wajuexiaoying
挖泥船	wanichuan
挖泥工	wanigong
挖泥机	waniji
挖土机	watuji
外部边界	waibubianjie
外加厚油管	waijiahouyouguan
外加厚油管螺纹	waijiahouyouguanluowen
外加厚钻杆	waijiahouzuangan
外接套总成	waijietaozongcheng
外螺纹钻杆接头	wailuowenzuanganjietou
顽磁性	wancixing
烷基	wanji
烷基苯磺酸盐	wanjibenhuangsuanyan
完井测试	wanjingceshi
弯螺杆钻具	wanluoganzuanju
弯曲井眼	wanqujingyan
万有引力常量	wanyouyinlichangliang
完钻	wanzuan
网格法	wanggefa
微波定位	weibodingwei
微差井径曲线	weichajingjingquxian
微地震测井	weidizhencejing
微电极测井	weidianjicejing
尾端校正	weiduanjiaozheng
尾管	weiguan
尾管悬挂器	weiguanxuanguaqi
微晶高岭土	weijinggaolingtu
未经检验的石油产品	weijingjianyandeshiyouchanpin
微晶蜡	weijingla
微米级长丝的拉伸	weimijizhangsidelashen
委内瑞拉	weineiruila
微球形聚焦测井	weiqiuxingjujiaocejing
微乳驱	weiruqu
微生物采油	weishengwucaiyou
微生物脱硫	weishengwutuoliu
未熟期	weishuqi
危险区划分	weixianquhuafen
卫星平台	weixingpingtai
微形旋流器	weixingxuanliuqi
维也纳	weiyena
围油栅卷筒	weiyouzhajuantong
稳定渗流	wendingshenliu
文石泥	wenshini
稳心	wenxin
稳性消失角	wenxingxiaoshijiao
涡流消除器	woliuxiaochuqi
沃伦鲁特模型	wolunlutemoxing
沃伦渗透率模型	wolunshentoulvmoxing
涡轮钻具	wolunzuanju
无导绳重返井口加强喇叭口	wudaoshengchongfanjingkoujiaqianglabakou
雾笛	wudi
五点法注水	wudianfazhushui
无反射结构	wufanshejiegou
无机碳分析	wujitanfenxi
无机盐类分解气	wujiyanleifenjieqi
无结构镜质体	wujiegoujingzhiti
无接箍套管	wujiegutaoguan
无枪身射孔枪	wuqiangshenshekongqiang
无水采收率	wushuicaishoulv
戊烯	wuxi
无线电定位系统	wuxiandiandingweixitong
无线电遥测地震数据采集	wuxiandianyaocedizhenshujucaiji
污油泵	wuyoubeng
污油罐	wuyouguan
无游梁抽油机	wuyouliangchouyouji
污渣磨碎机	wuzhamosuiji
物质平衡法	wuzhipinghengfa
系泊刚臂	xibogangbi|jibogangbi
系泊羊角	xiboyangjiao|jiboyangjiao
洗舱机	xicangji
西方石油公司	xifangshiyougongsi
吸附水	xifushui
析蜡点	xiladian
细粒	xili
细流	xiliu
吸泥泵	xinibeng
洗气瓶	xiqiping
吸入口滤器	xirukoulvqi
吸入压力	xiruyali
牺牲剂	xishengji
牺牲阳极电流效率	xishengyangjidianliuxiaolv
吸收边界条件	xishoubianjietiaojian
吸收系数	xishouxishu
系栓	xishuan
吸水层段	xishuicengduan
吸水能力	xishuinengli
吸水指数	xishuizhishu
烯烃	xiting
系统试井	xitongshijing
铣鞋	xixie
下冲断层	xiachongduanceng
下降	xiajiang
下相微乳	xiaxiangweiru
下行测井	xiaxingcejing
现场测定	xianchangceding
现场费用支付权	xianchangfeiyongzhifuquan
限流法压裂	xianliufayalie
先期砾石充填筛管	xianqilishichongtianshaiguan
线圈系	xianquanxi
显式算子	xianshisuanzi
先天的	xiantiande
显微光度法	xianweiguangdufa
纤维支数	xianweizhishu
显微组分	xianweizufen
线性组合	xianxingzuhe
先验估计	xianyanguji
线质量	xianzhiliang
镶齿钻头	xiangchizuantou
相对磁导率	xiangduicidaolv
相对渗透率	xiangduishentoulv
相对吸水量	xiangduixishuiliang
相干性	xiangganxing
相干噪声	xiangganzaosheng
相关虚象	xiangguanxuxiang
相模式	xiangmoshi
巷识别	xiangshibie
箱式干燥器	xiangshiganzaoqi
箱式显示	xiangshixianshi
箱式装置	xiangshizhuangzhi
详探井	xiangtanjing
相位	xiangwei
相位滞后	xiangweizhihou
消防控制盘	xiaofangkongzhipan
消防炮	xiaofangpao
消防水增压泵	xiaofangshuizengyabeng
小鼠洞	xiaoshudong
硝酸纤维素	xiaosuanxianweisu
斜杆	xiegan
写后直读	xiehouzhidu
斜角	xiejiao
斜井钻机	xiejingzuanji
泄水阀	xieshuifa
泄水柜	xieshuigui
泄水区	xieshuiqu
泄油半径	xieyoubanjing
泄油边界	xieyoubianjie
泄油方向	xieyoufangxiang
泄油分界	xieyoufenjie
泄油孔完井	xieyoukongwanjing
泄油孔钻井	xieyoukongzuanjing
泄油模数	xieyoumoshu
泄油前缘	xieyouqianyuan
泄油区	xieyouqu
泄油区形状	xieyouquxingzhuang
泄油区形状因子	xieyouquxingzhuangyinzi
泄油体积	xieyoutiji
泄油异常	xieyouyichang
泄油滞后现象	xieyouzhihouxianxiang
泄油指数	xieyouzhishu
斜轴	xiezhou
楔状前积体	xiezhuangqianjiti
楔状相	xiezhuangxiang
信标	xinbiao
新生石油	xinshengshiyou
心滩沉积	xintanchenji
型剖面	xingpoumian
修复	xiufu
修理	xiuli
修正率	xiuzhenglv
修整套管柱用钻头	xiuzhengtaoguanzhuyongzuantou
修整钻具用的砧铁	xiuzhengzuanjuyongdezhentie
修整钻头用的钳子	xiuzhengzuantouyongdeqianzi
溴指数	xiuzhishu
蓄热炉热裂解	xurelureliejie
悬点静载荷	xuandianjingzaihe
悬点最大载荷	xuandianzuidazaihe
旋回式生储盖组合	xuanhuishishengchugaizuhe
选矿	xuankuang
悬链锚腿系泊	xuanlianmaotuixibo|xuanlianmaotuijibo
旋流分离器	xuanliufenliqi
选排	xuanpai
悬绳器	xuanshengqi
旋升式底座	xuanshengshidizuo
玄武岩	xuanwuyan
选择加氢催化剂	xuanzejiaqingcuihuaji
选择性润湿	xuanzexingrunshi
选择性压裂	xuanzexingyalie
悬重	xuanzhong
旋转粘度计	xuanzhuannianduji
旋转燃烧器	xuanzhuanranshaoqi
旋转式气体分离器	xuanzhuanshiqitifenliqi
旋转头总成	xuanzhuantouzongcheng
旋转性孔隙结构	xuanzhuanxingkongxijiegou
旋转钻机	xuanzhuanzuanji
雪松烷	xuesongwan
循环阀	xunhuanfa
循环注气	xunhuanzhuqi
牙齿磨损系数	yachimosunxishu
亚非经济合作组织	yafeijingjihezuozuzhi
压降层	yajiangceng
压降分析	yajiangfenxi
压降曲线	yajiangquxian
压降试井	yajiangshijing
压降样板曲线	yajiangyangbanquxian
压井阀	yajingfa
压井液	yajingye
压力降落法试井	yalijiangluofashijing
压力梯度	yalitidu
压裂车	yalieche
压裂管柱	yalieguanzhu
压裂混砂机	yaliehunshaji
压裂液降滤失剂	yalieyejianglvshiji
压裂液利用效率	yalieyeliyongxiaolv
压裂液滤失性	yalieyelvshixing
亚硫酸钙	yaliusuangai
亚硫酸氢盐	yaliusuanqingyan
亚硫酸氢盐蒸煮	yaliusuanqingyanzhengzhu
亚硫酸纸浆废液	yaliusuanzhijiangfeiye
压扭作用	yaniuzuoyong
压实校正	yashijiaozheng
压缩量	yasuoliang
压缩系数	yasuoxishu
亚铁磁性	yatiecixing
压头损失	yatousunshi
亚硝基硫酸	yaxiaojiliusuan
牙形石鉴定	yaxingshijianding
牙形石色变指数	yaxingshisebianzhishu
压延性	yayanxing
亚洲石油价格指数	yazhoushiyoujiagezhishu
沿层切片	yancengqiepian
烟道气脱硫过程	yandaoqituoliuguocheng
烟点	yandian
岩电地层单位	yandiandicengdanwei
盐构造作用	yangouzaozuoyong
严密性试验	yanmixingshiyan
岩石表面破碎	yanshibiaomianposui
岩石泊松比	yanshibosongbi
岩石基质孔隙度	yanshijizhikongxidu
岩石抗压强度	yanshikangyaqiangdu
岩石可钻性	yanshikezuanxing
岩石孔隙压缩系数	yanshikongxiyasuoxishu
岩石热导率	yanshiredaolv
盐水顶替	yanshuidingti
盐水钻井液	yanshuizuanjingye
烟雾探测报警系统	yanwutancebaojingxitong
岩相	yanxiang
岩屑	yanxie
岩屑运移比	yanxieyunyibi
岩心	yanxin
岩心直径	yanxinzhijing
岩性对比	yanxingduibi
岩性透镜体油气藏	yanxingtoujingtiyouqicang
仰冲	yangchong
氧化还原催化剂	yanghuahuanyuancuihuaji
氧化热裂化	yanghuareliehua
氧化塔	yanghuata
氧化型缓蚀剂	yanghuaxinghuanshiji
氧化型杀菌剂	yanghuaxingshajunji
阳离子非离子型表面活性剂	yanglizifeilizixingbiaomianhuoxingji
阳离子型表面活性剂	yanglizixingbiaomianhuoxingji
阳离子型聚合物	yanglizixingjuhewu
氧指数	yangzhishu
遥测地震仪	yaocedizhenyi
液化煤气	yehuameiqi
液化天然气运输船	yehuatianranqiyunshuchuan
液硫脱气	yeliutuoqi
液面下降时间	yemianxiajiangshijian
叶片式混砂器	yepianshihunshaqi
液态窗	yetaichuang
液体密度计	yetimiduji
野外装备	yewaizhuangbei
液相聚合釜	yexiangjuhefu
液压管线	yeyaguanxian
液压控制采油树	yeyakongzhicaiyoushu
液压主控盘	yeyazhukongpan
仪表符号	yibiaofuhao
异丙苯	yibingben
一步法三维偏移	yibufasanweipianyi
异常低压	yichangdiya
乙醇	yichun
异地生成煤	yidishengchengmei
议定书草案	yidingshucaoan
异丁烷正丁烷比	yidingwanzhengdingwanbi
异丁烯	yidingxi
异丁烯分离	yidingxifenli
移动式钻井平台	yidongshizuanjingpingtai
乙二醇单乙醚	yierchundanyimi
倚方位速度	yifangweisudu
异构化	yigouhua
乙基硫酸	yijiliusuan
一甲基蒽	yijiajien
伊朗国家石油公司	yilangguojiashiyougongsi
伊利石	yilishi
乙硫醇	yiliuchun
仪器接口	yiqijiekou
已燃区	yiranqu
一时性繁荣	yishixingfanrong
乙酸	yisuan
乙烯高压法聚合	yixigaoyafajuhe
乙烯基醚	yixijimi
乙烯精馏塔	yixijingliuta
乙烯氧化	yixiyanghua
乙烯氧氯化	yixiyanglvhua
乙酰基间苯二酚	yixianjijianbenerfen
一氧化碳助燃剂	yiyanghuatanzhuranji
溢油	yiyou
印度尼西亚	yindunixiya
阴极保护站	yinjibaohuzhan
音频放大器	yinpinfangdaqi
音频设备	yinpinshebei
印染助剂	yinranzhuji
引鞋	yinxie
饮用水舱	yinyongshuicang
荧光沥青	yingguangliqing
荧光显微镜	yingguangxianweijing
英国海洋协会	yingguohaiyangxiehui
英国机床制造商协会	yingguojichuangzhizaoshangxiehui
英国石油公司	yingguoshiyougongsi
硬沥青	yingliqing
硬粘土	yingniantu
影区	yingqu
永磁性	yongcixing
永久导向基盘	yongjiudaoxiangjipan
永久性完井	yongjiuxingwanjing
油包水乳状液破乳剂	youbaoshuiruzhuangyeporuji
油藏电模型	youcangdianmoxing
油藏管理测井	youcangguanlicejing
油藏描述	youcangmiaoshu
油藏模拟器	youcangmoniqi
油藏模型	youcangmoxing
油藏数学模型	youcangshuxuemoxing
油藏油	youcangyou
油藏总压降	youcangzongyajiang
油层产出水结垢	youcengchanchushuijiegou
油层水力压裂	youcengshuiliyalie
油层酸处理	youcengsuanchuli
游动阀	youdongfa
有杆抽油装置	youganchouyouzhuangzhi
油港	yougang
油罐	youguan
油管打捞矛	youguandalaomao
油管堵塞器	youguanduseqi
油管锚	youguanmao
油管压力	youguanyali
油管柱	youguanzhu
油基	youji
有机成因论	youjichengyinlun
油基堵水剂	youjidushuiji
有机硫	youjiliu
有机硫化物	youjiliuhuawu
有机硫排放物	youjiliupaifangwu
油基压裂液	youjiyalieye
有机质变生作用	youjizhibianshengzuoyong
油浆	youjiang
油井	youjing
油井产能方程	youjingchannengfangcheng
油井清蜡设备	youjingqinglashebei
油井压力产量曲线	youjingyalichanliangquxian
油井折算半径	youjingzhesuanbanjing
油库	youku
油矿	youkuang
油泥	youni
